uid,title,abstract,year,venue,authors,doi,arxiv_id,url,source,query,query_role,family,advisor_seed,citation_count,matched_terms,retrieved_at,relevance_score,hostile_score
doi:10.1177/0278364906063979,Motion Planning of Multi-Limbed Robots Subject to Equilibrium Constraints: The Free-Climbing Robot Problem,"This paper addresses the problem of planning the motion of a multilimbed robot in order to “free-climb” vertical rock surfaces. Freeclimbing only relies on frictional contact with the surfaces rather than on special fixtures or tools like pitons. It requires strength, but more importantly it requires deliberate reasoning: not only must the robot decide how to adjust its posture to reach the next feature without falling, it must plan an entire sequence of steps, where each one might have future consequences. In this paper, this process of reasoning is broken into manageable pieces by decomposing a freeclimbing robot's configuration space into manifolds associated with each state of contact between the robot and its environment. A multistep planning framework is presented that decides which manifolds to explore by generating a candidate sequence of hand and foot placements first. A one-ste",2006,The International Journal of Robotics Research,Timothy Bretl,10.1177/0278364906063979,,https://doi.org/10.1177/0278364906063979,crossref,task and motion planning robotics,anti_myopia,classic,,144,motion planning; task and motion planning,2026-06-12T15:07:36Z,29.138,33.138
doi:10.1007/s40313-022-00915-0,Manipulation Task Planning and Motion Control Using Task Relaxations,"Abstract This paper proposes a robotic manipulation task relaxation method applied to a task and motion planning framework adapted from the literature. The task relaxation method consists of defining regions of interest instead of defining the end-effector pose, which can potentially increase the robot’s redundancy with respect to the manipulation task. Tasks are relaxed by controlling the end-effector distance to a target plane while respecting suitable constraints in the task-space. We formulate the problem as a constrained control problem that enforces both equality and inequality constraints while being reactive to changes in the workspace. We evaluate the adapted framework in a simulated pick-and-place task with similar complexity to the one evaluated in the original framework. The number of plan nodes that our framework generates is 54% smaller than the one in the original framewor",2022,"Journal of Control, Automation and Electrical Systems",Marcos S. Pereira; Bruno V. Adorno,10.1007/s40313-022-00915-0,,https://doi.org/10.1007/s40313-022-00915-0,crossref,task and motion planning robotics,anti_myopia,classic,,4,motion planning; task and motion planning,2026-06-12T15:07:36Z,27.505,31.505
arxiv:2306.06531v3,AutoTAMP: Autoregressive Task and Motion Planning with LLMs as Translators and Checkers,"For effective human-robot interaction, robots need to understand, plan, and execute complex, long-horizon tasks described by natural language. Recent advances in large language models (LLMs) have shown promise for translating natural language into robot action sequences for complex tasks. However, existing approaches either translate the natural language directly into robot trajectories or factor the inference process by decomposing language into task sub-goals and relying on a motion planner to execute each sub-goal. When complex environmental and temporal constraints are involved, inference over planning tasks must be performed jointly with motion plans using traditional task-and-motion planning (TAMP) algorithms, making factorization into subgoals untenable. Rather than using LLMs to directly plan task sub-goals, we instead perform few-shot translation from natural language task descr",2023,arXiv,Yongchao Chen; Jacob Arkin; Charles Dawson; Yang Zhang; Nicholas Roy; Chuchu Fan,,2306.06531v3,http://arxiv.org/abs/2306.06531v3,arxiv,task and motion planning robotics,anti_myopia,classic,,,motion planning; task and motion planning; human robot interaction; long horizon,2026-06-12T15:07:36Z,27.100,31.100
arxiv:2506.00351v2,Recasting Classical Motion Planning for Contact-Rich Manipulation,"In this work, we explore how conventional motion planning algorithms can be reapplied to contact-rich manipulation tasks. Rather than focusing solely on efficiency, we investigate how manipulation aspects can be recast in terms of conventional motion-planning algorithms. Conventional motion planners, such as Rapidly-Exploring Random Trees (RRT), typically compute collision-free paths in configuration space. However, in many manipulation tasks, contact is either unavoidable or essential for task success, such as for creating space or maintaining physical equilibrium. As such, we presents Haptic Rapidly-Exploring Random Trees (HapticRRT), a planning algorithm that incorporates a recently proposed optimality measure in the context of \textit{quasi-static} manipulation, based on the (squared) Hessian of manipulation potential. The key contributions are i) adapting classical RRT to operate on",2025,arXiv,Lin Yang; Huu-Thiet Nguyen; Chen Lv; Domenico Campolo,,2506.00351v2,http://arxiv.org/abs/2506.00351v2,arxiv,contact rich manipulation learning,concept,contact,,,contact rich manipulation; motion planning,2026-06-12T14:45:03Z,26.900,28.900
arxiv:2508.14099v1,Task and Motion Planning for Humanoid Loco-manipulation,"This work presents an optimization-based task and motion planning (TAMP) framework that unifies planning for locomotion and manipulation through a shared representation of contact modes. We define symbolic actions as contact mode changes, grounding high-level planning in low-level motion. This enables a unified search that spans task, contact, and motion planning while incorporating whole-body dynamics, as well as all constraints between the robot, the manipulated object, and the environment. Results on a humanoid platform show that our method can generate a broad range of physically consistent loco-manipulation behaviors over long action sequences requiring complex reasoning. To the best of our knowledge, this is the first work that enables the resolution of an integrated TAMP formulation with fully acyclic planning and whole body dynamics with actuation constraints for the humanoid loc",2025,arXiv,Michal Ciebielski; Victor Dhédin; Majid Khadiv,,2508.14099v1,http://arxiv.org/abs/2508.14099v1,arxiv,whole body manipulation humanoid,concept,humanoid,,,motion planning; task and motion planning,2026-06-12T14:45:03Z,26.900,27.900
doi:10.1145/3583136,Recent Trends in Task and Motion Planning for Robotics: A Survey,"Autonomous robots are increasingly served in real-world unstructured human environments with complex long-horizon tasks, such as restaurant serving and office delivery. Task and motion planning (TAMP) is a recent research method in Artificial Intelligence Planning for these applications. TAMP integrates high-level abstract reasoning with the low-level geometric feasibility check and thus is more comprehensive than traditional task planning methods. While regular TAMP approaches are challenged by different types of uncertainties and the generalization of various applications when implemented in real-world scenarios. This article systematically reviews the most relevant approaches to TAMP and classifies them according to their features and emphasis; it categorizes the challenges and presents online TAMP and machine learning-based TAMP approaches for addressing them.",2023,ACM Computing Surveys,Huihui Guo; Fan Wu; Yunchuan Qin; Ruihui Li; Keqin Li; Kenli Li,10.1145/3583136,,https://doi.org/10.1145/3583136,crossref,task and motion planning robotics,anti_myopia,classic,,88,motion planning; task and motion planning; generalization; long horizon,2026-06-12T15:07:36Z,26.794,32.794
doi:10.1177/0278364904050079,Task Planning With Active Sensing For Autonomous Compliant Motion,"Previous research has shown that the execution of contact tasks under uncertainty benefits from on-line estimation of the geometrical contact parameters, such as positions, orientations and dimensions of the contacting objects. However, the constant translational and rotational velocities commonly used to trigger the contact formation (CF) transitions are often not sufficiently exciting to estimate all geometrical parameters. In this paper, we focus on the calculation of a fine-motion task plan, which improves the observation of inaccurately known geometrical parameters. This is called active sensing. Our approach to active sensing is to optimize the task plan (i) by minimizing an objective function, such as the expected execution time, which is an important criterion in industrial applications, and (ii) by constraining the task plans to plans which observe the geometrical parameter esti",2005,The International Journal of Robotics Research,Tine Lefebvre; Herman Bruyninckx; Joris De Schutter,10.1177/0278364904050079,,https://doi.org/10.1177/0278364904050079,crossref,task and motion planning robotics,anti_myopia,classic,,19,motion planning; task and motion planning,2026-06-12T15:07:36Z,26.448,31.448
doi:10.3390/app10051665,Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,"Manipulation planning under incomplete information is a highly challenging task for mobile manipulators. Uncertainty can be resolved by robot perception modules or using human knowledge in the execution process. Human operators can also collaborate with robots for the execution of some difficult actions or as helpers in sharing the task knowledge. In this scope, a contingent-based task and motion planning is proposed taking into account robot uncertainty and human–robot interactions, resulting a tree-shaped set of geometrically feasible plans. Different sorts of geometric reasoning processes are embedded inside the planner to cope with task constraints like detecting occluding objects when a robot needs to grasp an object. The proposal has been evaluated with different challenging scenarios in simulation and a real environment.",2020,Applied Sciences,Aliakbar Akbari; Mohammed Diab; Jan Rosell,10.3390/app10051665,,https://doi.org/10.3390/app10051665,crossref,robot world model failure planning,hostile,failure,,13,robot world model; motion planning; task and motion planning; human robot interaction; robot world model failure,2026-06-12T15:07:36Z,26.320,32.320
doi:10.1007/s10846-023-01935-x,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,"Abstract This paper presents a task allocation strategy for a multi-robot system with a human supervisor. The multi-robot system consists of a team of heterogeneous robots with different capabilities that operate in a dynamic scenario that can change in the robots’ capabilities or in the operational requirements. The human supervisor can intervene in the operation scenario by approving the final plan before its execution or forcing a robot to execute a specific task. The proposed task allocation strategy leverages an auction-based method in combination with a sampling-based multi-goal motion planning. The latter is used to evaluate the costs of execution of tasks based on realistic features of paths. The proposed architecture enables the allocation of tasks accounting for priorities and precedence constraints, as well as the quick re-allocation of tasks after a dynamic perturbation occur",2023,Journal of Intelligent & Robotic Systems,Giada Galati; Stefano Primatesta; Alessandro Rizzo,10.1007/s10846-023-01935-x,,https://doi.org/10.1007/s10846-023-01935-x,crossref,robot world model failure planning,hostile,failure,,10,robot world model; multi robot system; motion planning; robot world model failure,2026-06-12T15:07:36Z,26.149,31.149
doi:10.1177/0278364917739114,FFRob: Leveraging symbolic planning for efficient task and motion planning,"Mobile manipulation problems involving many objects are challenging to solve due to the high dimensionality and multi-modality of their hybrid configuration spaces. Planners that perform a purely geometric search are prohibitively slow for solving these problems because they are unable to factor the configuration space. Symbolic task planners can efficiently construct plans involving many variables but cannot represent the geometric and kinematic constraints required in manipulation. We present the FFRob algorithm for solving task and motion planning problems. First, we introduce extended action specification (EAS) as a general purpose planning representation that supports arbitrary predicates as conditions. We adapt existing heuristic search ideas for solving strips planning problems, particularly delete-relaxations, to solve EAS problem instances. We then apply the EAS representation a",2018,The International Journal of Robotics Research,Caelan Reed Garrett; Tomás Lozano-Pérez; Leslie Pack Kaelbling,10.1177/0278364917739114,,https://doi.org/10.1177/0278364917739114,crossref,neuro symbolic robot planning,concept,architecture,,100,neuro symbolic robot planning; mobile manipulation; motion planning; task and motion planning,2026-06-12T15:07:36Z,25.908,26.908
