method,split,seed,success,success_ci95,precondition_violation,precondition_violation_ci95,belief_ece,belief_ece_ci95,recovery_success,recovery_success_ci95,damage_rate,damage_rate_ci95,wasted_action,wasted_action_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
deterministic_symbolic_tamp,nominal,0,0.4694,0.0241,0.1546,0.0142,0.1122,0.0065,0.1994,0.0028,0.0629,0.0046,0.1167,0.0104,0.1114,0.0011,0.2204,0.0028,35,0.2605
deterministic_symbolic_tamp,nominal,1,0.4585,0.0234,0.1552,0.0133,0.1115,0.007,0.1946,0.0045,0.0622,0.0042,0.116,0.0101,0.1114,0.0011,0.2196,0.0028,35,0.2721
deterministic_symbolic_tamp,nominal,2,0.467,0.0241,0.1544,0.0143,0.1113,0.0065,0.1984,0.0028,0.0626,0.0044,0.1156,0.0105,0.1114,0.0011,0.2187,0.0025,35,0.2796
deterministic_symbolic_tamp,nominal,3,0.4395,0.0241,0.1549,0.014,0.1119,0.0068,0.1983,0.0032,0.0623,0.0042,0.1154,0.0105,0.1114,0.0011,0.2225,0.0026,35,0.2915
deterministic_symbolic_tamp,nominal,4,0.4568,0.0229,0.1533,0.0131,0.1119,0.0076,0.1999,0.0038,0.0624,0.004,0.1141,0.0102,0.1114,0.0011,0.2212,0.0032,35,0.281
deterministic_symbolic_tamp,nominal,5,0.4663,0.0241,0.1528,0.0142,0.1121,0.007,0.1957,0.0037,0.0624,0.0042,0.1156,0.0102,0.1114,0.0011,0.2217,0.0029,35,0.2707
deterministic_symbolic_tamp,nominal,6,0.4633,0.021,0.1551,0.0142,0.1135,0.0068,0.1998,0.0037,0.0631,0.0041,0.1156,0.0102,0.1114,0.0011,0.2229,0.0028,35,0.2684
deterministic_symbolic_tamp,seen_shift,0,0.4201,0.0202,0.1773,0.0161,0.1407,0.0087,0.1987,0.0034,0.078,0.0051,0.1331,0.0122,0.1219,0.0013,0.2086,0.0022,35,0.2721
deterministic_symbolic_tamp,seen_shift,1,0.4129,0.0263,0.179,0.0165,0.1389,0.0086,0.1985,0.0028,0.0779,0.0051,0.1337,0.0127,0.1219,0.0013,0.209,0.003,35,0.2918
deterministic_symbolic_tamp,seen_shift,2,0.3956,0.0217,0.1794,0.0169,0.1405,0.0083,0.1936,0.0034,0.0784,0.005,0.1338,0.012,0.1219,0.0013,0.2086,0.002,35,0.3095
deterministic_symbolic_tamp,seen_shift,3,0.4105,0.0196,0.1777,0.0167,0.1406,0.0084,0.1972,0.0039,0.0774,0.0053,0.1336,0.0125,0.1219,0.0013,0.2103,0.0025,35,0.2867
deterministic_symbolic_tamp,seen_shift,4,0.3969,0.0224,0.1784,0.0166,0.1416,0.0086,0.1957,0.003,0.0774,0.0052,0.133,0.0127,0.1219,0.0013,0.2078,0.0035,35,0.3153
deterministic_symbolic_tamp,seen_shift,5,0.398,0.0216,0.1788,0.0164,0.1399,0.0083,0.1962,0.0035,0.0767,0.0054,0.1349,0.0124,0.1219,0.0013,0.209,0.0023,35,0.3211
deterministic_symbolic_tamp,seen_shift,6,0.4119,0.019,0.1789,0.0172,0.1405,0.0084,0.1993,0.0041,0.0781,0.0054,0.1331,0.0127,0.1219,0.0013,0.2102,0.0024,35,0.285
deterministic_symbolic_tamp,unseen_object,0,0.383,0.0266,0.2002,0.0198,0.1595,0.0096,0.1961,0.0048,0.0859,0.0056,0.1472,0.0144,0.1273,0.0015,0.2023,0.003,35,0.3088
deterministic_symbolic_tamp,unseen_object,1,0.3643,0.0295,0.1996,0.02,0.1574,0.0091,0.1963,0.0038,0.0848,0.0057,0.1463,0.0145,0.1273,0.0015,0.2039,0.0029,35,0.3092
deterministic_symbolic_tamp,unseen_object,2,0.3646,0.029,0.1995,0.02,0.1584,0.0093,0.1933,0.0045,0.0867,0.0058,0.146,0.0143,0.1273,0.0015,0.202,0.0028,35,0.3439
deterministic_symbolic_tamp,unseen_object,3,0.3687,0.026,0.2,0.0197,0.1586,0.0093,0.1975,0.0037,0.0867,0.0061,0.1465,0.0147,0.1273,0.0015,0.2016,0.0021,35,0.3139
deterministic_symbolic_tamp,unseen_object,4,0.3762,0.0217,0.1998,0.02,0.1586,0.0096,0.1946,0.0031,0.0862,0.0062,0.1477,0.0143,0.1273,0.0015,0.2016,0.0028,35,0.3071
deterministic_symbolic_tamp,unseen_object,5,0.3786,0.0303,0.1983,0.0199,0.1581,0.0093,0.1971,0.0038,0.0851,0.0056,0.1471,0.0147,0.1273,0.0015,0.2021,0.0026,35,0.3204
deterministic_symbolic_tamp,unseen_object,6,0.3813,0.0304,0.2001,0.02,0.1577,0.0093,0.1964,0.0036,0.0862,0.0057,0.1485,0.0144,0.1273,0.0015,0.201,0.0028,35,0.3143
deterministic_symbolic_tamp,unseen_contact,0,0.3616,0.0306,0.2085,0.0204,0.1749,0.0102,0.1957,0.0038,0.0915,0.0067,0.1503,0.0144,0.1316,0.0016,0.1967,0.0026,35,0.318
deterministic_symbolic_tamp,unseen_contact,1,0.3439,0.0272,0.2091,0.02,0.1765,0.0104,0.1941,0.0036,0.0905,0.006,0.1502,0.0148,0.1316,0.0016,0.1989,0.0025,35,0.3364
