method,split,seed,success,success_ci95,precondition_violation,precondition_violation_ci95,belief_ece,belief_ece_ci95,recovery_success,recovery_success_ci95,damage_rate,damage_rate_ci95,wasted_action,wasted_action_ci95,intervention_cost,intervention_cost_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
deterministic_symbolic_tamp,unseen_contact,2,0.3653,0.0276,0.2085,0.0203,0.1766,0.0103,0.1959,0.0034,0.0902,0.0066,0.1497,0.0152,0.1316,0.0016,0.1989,0.003,35,0.3136
deterministic_symbolic_tamp,unseen_contact,3,0.3537,0.026,0.2086,0.0202,0.1762,0.0102,0.1957,0.0042,0.0908,0.0066,0.1494,0.0149,0.1316,0.0016,0.1989,0.0026,35,0.3282
deterministic_symbolic_tamp,unseen_contact,4,0.3514,0.0269,0.2099,0.0204,0.1759,0.0102,0.1928,0.0038,0.0912,0.0063,0.15,0.0141,0.1316,0.0016,0.1969,0.0027,35,0.3187
deterministic_symbolic_tamp,unseen_contact,5,0.3514,0.0276,0.2091,0.0205,0.1767,0.0102,0.1944,0.0038,0.0911,0.0065,0.1505,0.0151,0.1316,0.0016,0.1991,0.0027,35,0.3449
deterministic_symbolic_tamp,unseen_contact,6,0.3609,0.0249,0.2101,0.0202,0.177,0.0106,0.1941,0.0029,0.0913,0.0067,0.1509,0.0156,0.1316,0.0016,0.1977,0.002,35,0.3187
deterministic_symbolic_tamp,combined_stress,0,0.3,0.0277,0.236,0.0241,0.2092,0.012,0.1947,0.0031,0.1044,0.0071,0.1724,0.0176,0.1412,0.0019,0.186,0.0024,35,0.3537
deterministic_symbolic_tamp,combined_stress,1,0.3051,0.0312,0.2353,0.0237,0.2099,0.0118,0.1963,0.0038,0.1033,0.0074,0.1703,0.0174,0.1412,0.0019,0.1893,0.003,35,0.3469
deterministic_symbolic_tamp,combined_stress,2,0.319,0.0303,0.2346,0.024,0.2099,0.0119,0.1941,0.0035,0.1035,0.0072,0.1708,0.0174,0.1412,0.0019,0.1874,0.0027,35,0.332
deterministic_symbolic_tamp,combined_stress,3,0.3167,0.0278,0.2339,0.0235,0.2091,0.0124,0.1905,0.0044,0.1039,0.0072,0.1714,0.018,0.1412,0.0019,0.1857,0.0025,35,0.3469
deterministic_symbolic_tamp,combined_stress,4,0.3156,0.0268,0.2364,0.0235,0.2104,0.012,0.1924,0.0035,0.105,0.0071,0.173,0.0175,0.1412,0.0019,0.1881,0.0028,35,0.3415
deterministic_symbolic_tamp,combined_stress,5,0.3245,0.029,0.2353,0.024,0.2097,0.0121,0.1937,0.0038,0.1039,0.0071,0.1714,0.0173,0.1412,0.0019,0.185,0.0027,35,0.3296
deterministic_symbolic_tamp,combined_stress,6,0.3061,0.0285,0.2341,0.0236,0.2098,0.012,0.1945,0.0036,0.104,0.0068,0.1703,0.0174,0.1412,0.0019,0.1856,0.0026,35,0.3514
robust_geometric_tamp,nominal,0,0.5173,0.0248,0.1291,0.0119,0.103,0.0067,0.2619,0.0036,0.0531,0.0034,0.1084,0.0091,0.2404,0.0011,0.2986,0.0029,35,0.2126
robust_geometric_tamp,nominal,1,0.5265,0.0213,0.1294,0.0121,0.1035,0.0061,0.2597,0.0036,0.0519,0.0032,0.1077,0.0092,0.2404,0.0011,0.2971,0.0029,35,0.2041
robust_geometric_tamp,nominal,2,0.5221,0.0187,0.1287,0.012,0.1016,0.0062,0.2589,0.003,0.0517,0.0028,0.1074,0.0093,0.2404,0.0011,0.2967,0.0024,35,0.2245
robust_geometric_tamp,nominal,3,0.5146,0.017,0.1301,0.012,0.1022,0.0061,0.2577,0.0034,0.052,0.0032,0.1057,0.0094,0.2404,0.0011,0.296,0.0029,35,0.2163
robust_geometric_tamp,nominal,4,0.5201,0.022,0.1287,0.0116,0.1024,0.0061,0.2585,0.0038,0.0513,0.0031,0.1071,0.0089,0.2404,0.0011,0.2988,0.0028,35,0.2177
robust_geometric_tamp,nominal,5,0.517,0.019,0.1305,0.0118,0.1017,0.0061,0.26,0.0037,0.0518,0.0032,0.1066,0.0091,0.2404,0.0011,0.2988,0.0026,35,0.2201
robust_geometric_tamp,nominal,6,0.5024,0.0222,0.1275,0.0116,0.1006,0.0065,0.2557,0.0032,0.0526,0.0034,0.1086,0.0093,0.2404,0.0011,0.2964,0.003,35,0.2293
robust_geometric_tamp,seen_shift,0,0.4646,0.0296,0.1504,0.0142,0.1244,0.0073,0.2575,0.0031,0.0623,0.0042,0.1221,0.0112,0.2508,0.0013,0.2852,0.0023,35,0.2276
robust_geometric_tamp,seen_shift,1,0.467,0.0188,0.1496,0.0147,0.1258,0.0074,0.2586,0.0036,0.0636,0.004,0.1216,0.0111,0.2508,0.0013,0.2851,0.0028,35,0.2378
robust_geometric_tamp,seen_shift,2,0.467,0.0207,0.1491,0.0147,0.1258,0.0076,0.2569,0.0039,0.0633,0.0042,0.1233,0.0112,0.2508,0.0013,0.2861,0.0029,35,0.2381
robust_geometric_tamp,seen_shift,3,0.4827,0.0239,0.1509,0.0143,0.1271,0.0075,0.2593,0.0039,0.0641,0.0036,0.1209,0.0111,0.2508,0.0013,0.2857,0.0026,35,0.2146
robust_geometric_tamp,seen_shift,4,0.4741,0.0253,0.1501,0.0144,0.1263,0.0075,0.2554,0.0035,0.0642,0.0041,0.122,0.0109,0.2508,0.0013,0.2843,0.0022,35,0.2381
robust_geometric_tamp,seen_shift,5,0.4786,0.026,0.1505,0.0145,0.1255,0.0072,0.2601,0.0041,0.0622,0.004,0.121,0.0117,0.2508,0.0013,0.2861,0.0029,35,0.2405
robust_geometric_tamp,seen_shift,6,0.4667,0.0217,0.1494,0.0147,0.1257,0.0073,0.2576,0.003,0.0624,0.004,0.1213,0.0109,0.2508,0.0013,0.2871,0.0021,35,0.2303
robust_geometric_tamp,unseen_object,0,0.4473,0.0227,0.1679,0.0172,0.1399,0.0082,0.2624,0.0032,0.0687,0.0042,0.1364,0.0135,0.2563,0.0015,0.2806,0.0026,35,0.2446
robust_geometric_tamp,unseen_object,1,0.435,0.0231,0.1682,0.017,0.1408,0.0085,0.2602,0.0034,0.0688,0.0041,0.1354,0.0125,0.2563,0.0015,0.2787,0.0022,35,0.2384
robust_geometric_tamp,unseen_object,2,0.4201,0.0269,0.1677,0.0171,0.139,0.0082,0.2575,0.0035,0.0686,0.0042,0.1356,0.0128,0.2563,0.0015,0.2791,0.0024,35,0.2884
robust_geometric_tamp,unseen_object,3,0.4442,0.0254,0.1689,0.0174,0.1403,0.008,0.256,0.0037,0.0694,0.0044,0.1358,0.0125,0.2563,0.0015,0.2791,0.0027,35,0.2384
robust_geometric_tamp,unseen_object,4,0.4395,0.0252,0.1701,0.0171,0.1409,0.0084,0.2539,0.0039,0.0691,0.0043,0.1363,0.013,0.2563,0.0015,0.2783,0.0033,35,0.2439
robust_geometric_tamp,unseen_object,5,0.4388,0.0241,0.1682,0.0174,0.1397,0.0082,0.2575,0.0032,0.0688,0.0048,0.1375,0.0133,0.2563,0.0015,0.2796,0.0029,35,0.2602
robust_geometric_tamp,unseen_object,6,0.4497,0.0236,0.1684,0.0172,0.1398,0.0084,0.257,0.0039,0.0691,0.0045,0.1375,0.0129,0.2563,0.0015,0.2788,0.0032,35,0.2459
robust_geometric_tamp,unseen_contact,0,0.4184,0.0247,0.1763,0.0176,0.1563,0.0093,0.254,0.0033,0.0739,0.0044,0.1383,0.013,0.2606,0.0016,0.2769,0.0018,35,0.2612
robust_geometric_tamp,unseen_contact,1,0.4378,0.0241,0.1767,0.0177,0.1547,0.0093,0.2556,0.004,0.0713,0.0044,0.1386,0.0134,0.2606,0.0016,0.276,0.0022,35,0.2425
robust_geometric_tamp,unseen_contact,2,0.4187,0.0263,0.1766,0.0174,0.1536,0.0089,0.2578,0.0041,0.0725,0.0041,0.1395,0.0136,0.2606,0.0016,0.2755,0.0029,35,0.2602
robust_geometric_tamp,unseen_contact,3,0.4241,0.0281,0.175,0.0178,0.1563,0.0091,0.2573,0.0032,0.0743,0.0044,0.1375,0.0134,0.2606,0.0016,0.2766,0.0027,35,0.2578
robust_geometric_tamp,unseen_contact,4,0.4156,0.024,0.1751,0.0182,0.1554,0.0092,0.2575,0.0041,0.0743,0.0047,0.1385,0.0131,0.2606,0.0016,0.277,0.0021,35,0.2544
robust_geometric_tamp,unseen_contact,5,0.4105,0.0197,0.1751,0.0171,0.1544,0.0095,0.2599,0.0042,0.0724,0.004,0.1376,0.0129,0.2606,0.0016,0.2749,0.0025,35,0.2857
robust_geometric_tamp,unseen_contact,6,0.4238,0.0239,0.1768,0.0174,0.1542,0.009,0.2586,0.0036,0.0733,0.0045,0.1381,0.0132,0.2606,0.0016,0.276,0.0025,35,0.2558
robust_geometric_tamp,combined_stress,0,0.3857,0.0255,0.199,0.0208,0.1827,0.0108,0.2543,0.0038,0.0825,0.005,0.1577,0.0154,0.2701,0.0019,0.2647,0.0028,35,0.268
robust_geometric_tamp,combined_stress,1,0.3847,0.0275,0.1999,0.0205,0.182,0.0106,0.2545,0.0039,0.0817,0.0054,0.1573,0.0158,0.2701,0.0019,0.2631,0.0029,35,0.2673
robust_geometric_tamp,combined_stress,2,0.4034,0.0258,0.1996,0.0206,0.1818,0.0109,0.2555,0.0032,0.0812,0.0055,0.1551,0.0157,0.2701,0.0019,0.2624,0.0021,35,0.2476
robust_geometric_tamp,combined_stress,3,0.381,0.0269,0.2001,0.0208,0.1827,0.0108,0.2557,0.0035,0.0832,0.0055,0.1572,0.0157,0.2701,0.0019,0.2632,0.0024,35,0.2827
robust_geometric_tamp,combined_stress,4,0.3844,0.0252,0.1987,0.021,0.1821,0.0107,0.2583,0.0029,0.0825,0.0052,0.1586,0.0157,0.2701,0.0019,0.2625,0.0031,35,0.2728
robust_geometric_tamp,combined_stress,5,0.3724,0.0259,0.1986,0.0202,0.1816,0.0109,0.2549,0.0035,0.0834,0.0051,0.1581,0.0155,0.2701,0.0019,0.2667,0.0032,35,0.2816
robust_geometric_tamp,combined_stress,6,0.3605,0.0281,0.1995,0.0212,0.1822,0.0107,0.2559,0.0039,0.0832,0.0048,0.1565,0.0151,0.2701,0.0019,0.2654,0.0029,35,0.2969
receding_horizon_mpc,nominal,0,0.5429,0.0218,0.1134,0.0101,0.0923,0.0054,0.3319,0.0039,0.0506,0.0036,0.1001,0.0079,0.2299,0.0011,0.3626,0.0028,35,0.1871
receding_horizon_mpc,nominal,1,0.5565,0.0209,0.1118,0.0103,0.0925,0.0054,0.3279,0.004,0.0505,0.0031,0.0995,0.0078,0.2299,0.0011,0.363,0.0031,35,0.1741
receding_horizon_mpc,nominal,2,0.5381,0.02,0.1118,0.0101,0.0936,0.0057,0.3312,0.0034,0.0515,0.0031,0.0978,0.0078,0.2299,0.0011,0.3638,0.0025,35,0.2085
receding_horizon_mpc,nominal,3,0.5405,0.0161,0.113,0.0104,0.0929,0.0057,0.3285,0.0036,0.0512,0.0031,0.0978,0.0084,0.2299,0.0011,0.3638,0.0023,35,0.1905
receding_horizon_mpc,nominal,4,0.5422,0.0198,0.1133,0.0105,0.0922,0.0055,0.3309,0.0034,0.0518,0.0026,0.0983,0.0077,0.2299,0.0011,0.363,0.0028,35,0.1956
receding_horizon_mpc,nominal,5,0.5405,0.0249,0.1115,0.0105,0.0932,0.0053,0.3284,0.0036,0.0505,0.0033,0.0982,0.0076,0.2299,0.0011,0.3633,0.0023,35,0.1966
receding_horizon_mpc,nominal,6,0.5432,0.0254,0.1145,0.0101,0.0924,0.0054,0.3282,0.0028,0.052,0.003,0.099,0.0075,0.2299,0.0011,0.3627,0.0029,35,0.1884
receding_horizon_mpc,seen_shift,0,0.4803,0.0214,0.1314,0.012,0.1125,0.0063,0.3301,0.0037,0.0619,0.0035,0.111,0.0091,0.2404,0.0013,0.3504,0.0026,35,0.2119
receding_horizon_mpc,seen_shift,1,0.4881,0.0197,0.1323,0.0125,0.1136,0.0068,0.3282,0.0038,0.0619,0.0037,0.1115,0.0093,0.2404,0.0013,0.3508,0.0032,35,0.2167
receding_horizon_mpc,seen_shift,2,0.4983,0.0233,0.1293,0.0123,0.1139,0.0066,0.3335,0.0035,0.0618,0.004,0.1132,0.0095,0.2404,0.0013,0.3529,0.0032,35,0.2068
receding_horizon_mpc,seen_shift,3,0.4929,0.0232,0.1313,0.0124,0.1127,0.0066,0.3282,0.0036,0.0625,0.0037,0.1095,0.0095,0.2404,0.0013,0.3504,0.0024,35,0.2044
receding_horizon_mpc,seen_shift,4,0.4918,0.0218,0.1301,0.012,0.1136,0.0068,0.3272,0.0039,0.0619,0.0035,0.1108,0.0097,0.2404,0.0013,0.3522,0.003,35,0.2204
receding_horizon_mpc,seen_shift,5,0.5003,0.0215,0.1297,0.0121,0.1129,0.0065,0.328,0.004,0.063,0.0034,0.1109,0.0096,0.2404,0.0013,0.3502,0.0028,35,0.2187
receding_horizon_mpc,seen_shift,6,0.5017,0.0212,0.1305,0.012,0.1142,0.0063,0.3271,0.0035,0.0615,0.0038,0.113,0.0097,0.2404,0.0013,0.3532,0.0026,35,0.1952
receding_horizon_mpc,unseen_object,0,0.4738,0.0227,0.1454,0.0137,0.1264,0.0072,0.3258,0.0034,0.0662,0.0043,0.1228,0.0115,0.2458,0.0015,0.3457,0.0029,35,0.218
receding_horizon_mpc,unseen_object,1,0.4759,0.0244,0.1475,0.0145,0.1268,0.0073,0.332,0.0033,0.0665,0.0041,0.1229,0.0113,0.2458,0.0015,0.3441,0.0025,35,0.1976
receding_horizon_mpc,unseen_object,2,0.4765,0.0186,0.1449,0.0149,0.1259,0.0076,0.3277,0.0035,0.0672,0.0043,0.1225,0.0112,0.2458,0.0015,0.3425,0.0024,35,0.232
receding_horizon_mpc,unseen_object,3,0.4741,0.0291,0.1471,0.0149,0.1264,0.0071,0.3294,0.0031,0.067,0.0045,0.1244,0.0114,0.2458,0.0015,0.3432,0.0038,35,0.2085
receding_horizon_mpc,unseen_object,4,0.4738,0.0229,0.1473,0.0147,0.1268,0.0072,0.3287,0.0034,0.0676,0.0041,0.124,0.0111,0.2458,0.0015,0.3453,0.0023,35,0.2095
receding_horizon_mpc,unseen_object,5,0.4612,0.0194,0.1467,0.0145,0.1272,0.007,0.3266,0.0036,0.068,0.004,0.1228,0.0108,0.2458,0.0015,0.3454,0.003,35,0.2378
receding_horizon_mpc,unseen_object,6,0.4745,0.023,0.1472,0.0139,0.1257,0.0074,0.325,0.0028,0.067,0.004,0.124,0.0115,0.2458,0.0015,0.3454,0.0026,35,0.2211
receding_horizon_mpc,unseen_contact,0,0.4412,0.0213,0.1543,0.0153,0.1402,0.0076,0.3252,0.004,0.0707,0.0043,0.1234,0.0112,0.2501,0.0016,0.3402,0.0023,35,0.2384
receding_horizon_mpc,unseen_contact,1,0.45,0.0225,0.1524,0.0152,0.1399,0.0083,0.3268,0.0033,0.0704,0.0044,0.1243,0.0112,0.2501,0.0016,0.3389,0.0028,35,0.2303
receding_horizon_mpc,unseen_contact,2,0.4616,0.0239,0.1529,0.0155,0.1393,0.0083,0.3269,0.004,0.0714,0.0045,0.124,0.0114,0.2501,0.0016,0.3401,0.003,35,0.2173
receding_horizon_mpc,unseen_contact,3,0.4609,0.026,0.1548,0.0146,0.1404,0.0081,0.3294,0.0041,0.0705,0.0045,0.1246,0.0112,0.2501,0.0016,0.3401,0.0027,35,0.2211
receding_horizon_mpc,unseen_contact,4,0.4656,0.022,0.1517,0.0151,0.1392,0.0083,0.3275,0.0037,0.0715,0.0042,0.126,0.0111,0.2501,0.0016,0.3394,0.0028,35,0.2044
receding_horizon_mpc,unseen_contact,5,0.4605,0.0209,0.1513,0.0151,0.1398,0.0081,0.3282,0.0037,0.0709,0.0039,0.1254,0.0113,0.2501,0.0016,0.3368,0.0027,35,0.2357
receding_horizon_mpc,unseen_contact,6,0.4636,0.025,0.153,0.0145,0.1397,0.0084,0.3283,0.0035,0.0714,0.0048,0.1247,0.0112,0.2501,0.0016,0.3404,0.0026,35,0.216
receding_horizon_mpc,combined_stress,0,0.4109,0.0262,0.1722,0.0179,0.1636,0.0092,0.3258,0.0036,0.0808,0.0048,0.1412,0.0134,0.2597,0.0019,0.3294,0.0023,35,0.2429
receding_horizon_mpc,combined_stress,1,0.4153,0.0246,0.1734,0.0169,0.1644,0.0092,0.3252,0.0037,0.0797,0.0051,0.1411,0.0134,0.2597,0.0019,0.3304,0.0021,35,0.2367
receding_horizon_mpc,combined_stress,2,0.4136,0.0243,0.1736,0.0181,0.1642,0.0097,0.3249,0.0037,0.0803,0.0053,0.1406,0.0132,0.2597,0.0019,0.3269,0.003,35,0.2374
receding_horizon_mpc,combined_stress,3,0.4099,0.0248,0.1722,0.0181,0.1654,0.0096,0.3243,0.0028,0.081,0.0049,0.1406,0.014,0.2597,0.0019,0.3279,0.0026,35,0.2537
receding_horizon_mpc,combined_stress,4,0.3966,0.0231,0.174,0.0177,0.1638,0.0094,0.3244,0.0037,0.0798,0.005,0.1411,0.0131,0.2597,0.0019,0.3311,0.0021,35,0.2605
receding_horizon_mpc,combined_stress,5,0.4252,0.0253,0.1728,0.0181,0.165,0.0092,0.3245,0.0032,0.0813,0.0051,0.1417,0.0135,0.2597,0.0019,0.3292,0.0023,35,0.2289
receding_horizon_mpc,combined_stress,6,0.4231,0.0226,0.1732,0.0176,0.1653,0.0093,0.3252,0.0035,0.08,0.0049,0.141,0.0129,0.2597,0.0019,0.3292,0.0027,35,0.2344
learned_failure_classifier,nominal,0,0.5626,0.0178,0.1014,0.0095,0.0843,0.0044,0.3643,0.0034,0.0487,0.0026,0.0888,0.0065,0.2133,0.0011,0.4148,0.0026,35,0.1673
learned_failure_classifier,nominal,1,0.5541,0.0195,0.1028,0.0097,0.0831,0.0044,0.3638,0.0031,0.049,0.0027,0.0894,0.007,0.2133,0.0011,0.4141,0.0029,35,0.1765
learned_failure_classifier,nominal,2,0.5439,0.0155,0.1019,0.0093,0.0853,0.0045,0.3647,0.0034,0.0499,0.0031,0.0915,0.0076,0.2133,0.0011,0.4133,0.0023,35,0.2027
learned_failure_classifier,nominal,3,0.5612,0.0247,0.1013,0.0097,0.0825,0.0044,0.3629,0.004,0.0498,0.003,0.0913,0.0068,0.2133,0.0011,0.412,0.0031,35,0.1697
learned_failure_classifier,nominal,4,0.5759,0.019,0.1014,0.0086,0.0844,0.0044,0.3639,0.0031,0.0486,0.0028,0.0912,0.0074,0.2133,0.0011,0.4119,0.0028,35,0.1619
learned_failure_classifier,nominal,5,0.5442,0.0247,0.1027,0.0094,0.0842,0.0044,0.3677,0.0035,0.0495,0.003,0.0906,0.007,0.2133,0.0011,0.4137,0.0027,35,0.1929
learned_failure_classifier,nominal,6,0.5571,0.0207,0.1028,0.0093,0.0846,0.0044,0.3651,0.0035,0.0497,0.0026,0.0919,0.0067,0.2133,0.0011,0.4142,0.0029,35,0.1745
learned_failure_classifier,seen_shift,0,0.5139,0.0188,0.1178,0.0114,0.101,0.0053,0.3624,0.0032,0.0586,0.0037,0.1036,0.0078,0.2238,0.0013,0.4016,0.0027,35,0.1782
learned_failure_classifier,seen_shift,1,0.4912,0.0202,0.118,0.0116,0.1027,0.0056,0.3632,0.0028,0.0592,0.0032,0.1018,0.0089,0.2238,0.0013,0.4019,0.003,35,0.2136
learned_failure_classifier,seen_shift,2,0.5133,0.0215,0.1183,0.0114,0.1029,0.0057,0.3633,0.0041,0.06,0.0036,0.1025,0.0088,0.2238,0.0013,0.4,0.0022,35,0.1918
learned_failure_classifier,seen_shift,3,0.5136,0.0253,0.1184,0.0112,0.1032,0.0059,0.3635,0.0034,0.0588,0.0032,0.1018,0.0086,0.2238,0.0013,0.3997,0.0026,35,0.1837
learned_failure_classifier,seen_shift,4,0.5211,0.0215,0.1174,0.0118,0.1019,0.0055,0.3606,0.0034,0.0585,0.0039,0.1017,0.0083,0.2238,0.0013,0.4017,0.0022,35,0.1912
learned_failure_classifier,seen_shift,5,0.5129,0.0219,0.119,0.0114,0.1027,0.0059,0.3632,0.0027,0.059,0.0034,0.1009,0.0082,0.2238,0.0013,0.4006,0.003,35,0.2061
learned_failure_classifier,seen_shift,6,0.5163,0.0193,0.1183,0.0113,0.1015,0.0057,0.3626,0.0029,0.0588,0.0034,0.1024,0.0083,0.2238,0.0013,0.4027,0.0024,35,0.1806
learned_failure_classifier,unseen_object,0,0.5044,0.0216,0.1305,0.0131,0.1142,0.006,0.3618,0.0033,0.064,0.0039,0.1119,0.01,0.2292,0.0015,0.3959,0.003,35,0.1874
learned_failure_classifier,unseen_object,1,0.485,0.0205,0.133,0.0134,0.1152,0.0061,0.3624,0.003,0.0637,0.0039,0.1107,0.01,0.2292,0.0015,0.3958,0.003,35,0.1884
learned_failure_classifier,unseen_object,2,0.4935,0.0214,0.1328,0.0126,0.1143,0.0063,0.3609,0.0036,0.0653,0.004,0.1133,0.0105,0.2292,0.0015,0.3966,0.0026,35,0.215
learned_failure_classifier,unseen_object,3,0.4912,0.0194,0.1338,0.0131,0.1136,0.0064,0.3619,0.0033,0.064,0.0038,0.1126,0.0101,0.2292,0.0015,0.3951,0.0028,35,0.1915
learned_failure_classifier,unseen_object,4,0.4905,0.0227,0.1317,0.013,0.1138,0.0058,0.3623,0.0032,0.0644,0.0041,0.1136,0.01,0.2292,0.0015,0.3944,0.0027,35,0.1929
learned_failure_classifier,unseen_object,5,0.5041,0.0228,0.1322,0.0126,0.1137,0.0063,0.3602,0.0036,0.0646,0.0041,0.1128,0.0099,0.2292,0.0015,0.3936,0.0022,35,0.1949
learned_failure_classifier,unseen_object,6,0.4755,0.0237,0.1324,0.0133,0.1136,0.0064,0.3608,0.0044,0.0636,0.004,0.1135,0.01,0.2292,0.0015,0.3986,0.0024,35,0.2201
learned_failure_classifier,unseen_contact,0,0.4673,0.0249,0.1403,0.014,0.1263,0.0068,0.3619,0.0033,0.0681,0.0041,0.1122,0.0099,0.2335,0.0016,0.3895,0.0021,35,0.2122
learned_failure_classifier,unseen_contact,1,0.4844,0.0186,0.1392,0.0138,0.1243,0.0066,0.3605,0.004,0.0688,0.0039,0.1143,0.0102,0.2335,0.0016,0.3927,0.0029,35,0.1959
learned_failure_classifier,unseen_contact,2,0.4738,0.0243,0.139,0.014,0.1261,0.0073,0.3601,0.0039,0.0677,0.0044,0.1137,0.0097,0.2335,0.0016,0.3872,0.0026,35,0.2051
learned_failure_classifier,unseen_contact,3,0.4793,0.019,0.1404,0.0136,0.1255,0.0072,0.3608,0.0032,0.0667,0.0042,0.1135,0.0101,0.2335,0.0016,0.389,0.0028,35,0.2027
