method,split,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,mean_regret_to_oracle,ci95_regret_to_oracle,groups
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,0,0.3,0.044027,-0.041281,0.043599,0.245996,0.014373,0.191967,0.010171,0.199602,0.008331,0.171359,0.002876,0.103706,0.00597,0.176197,0.010683,0.130043,0.000797,0.043642,0.0,0.118491,0.008999,0.165911,0.008011,0.414583,0.05811,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,1,0.316667,0.043331,-0.029725,0.047248,0.246893,0.014449,0.191276,0.01034,0.199713,0.008425,0.173642,0.002909,0.103641,0.005971,0.177732,0.010787,0.130043,0.000797,0.043642,0.0,0.118989,0.009039,0.165964,0.0079,0.4,0.054078,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,2,0.347917,0.039921,-0.000546,0.043722,0.247859,0.014526,0.19236,0.010117,0.199236,0.008382,0.172272,0.002896,0.102784,0.005935,0.176596,0.011015,0.130043,0.000797,0.043642,0.0,0.119381,0.008831,0.166654,0.008049,0.34375,0.049427,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,3,0.354167,0.042455,-0.001723,0.04693,0.247071,0.014584,0.19272,0.010202,0.199595,0.008173,0.173275,0.003052,0.103073,0.005972,0.176804,0.01073,0.130043,0.000797,0.043642,0.0,0.118802,0.00887,0.167019,0.007985,0.377083,0.050908,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,4,0.364583,0.043909,0.009823,0.048926,0.245873,0.014431,0.193673,0.010179,0.198789,0.008226,0.174258,0.002703,0.104473,0.005923,0.176725,0.010561,0.130043,0.000797,0.043642,0.0,0.118927,0.008987,0.167075,0.008039,0.360417,0.057364,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,5,0.310417,0.042996,-0.034664,0.046263,0.24569,0.014407,0.191817,0.010306,0.198545,0.008151,0.1709,0.002807,0.103733,0.005877,0.175961,0.010841,0.130043,0.000797,0.043642,0.0,0.119329,0.008992,0.166399,0.007843,0.397917,0.052137,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,6,0.333333,0.050326,-0.01223,0.055469,0.248138,0.014813,0.192161,0.010081,0.199391,0.008307,0.172596,0.00255,0.104327,0.005807,0.176981,0.010615,0.130043,0.000797,0.043642,0.0,0.119368,0.008893,0.166164,0.007859,0.383333,0.056461,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,7,0.34375,0.048391,-0.003973,0.05243,0.246823,0.014496,0.192952,0.010086,0.200252,0.008335,0.172097,0.0029,0.103931,0.005926,0.17646,0.010888,0.130043,0.000797,0.043642,0.0,0.120169,0.009013,0.166927,0.007924,0.352083,0.049648,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,8,0.320833,0.046407,-0.02058,0.049055,0.247053,0.014479,0.192552,0.010067,0.199474,0.008191,0.172907,0.002876,0.103896,0.005886,0.17702,0.010935,0.130043,0.000797,0.043642,0.0,0.118971,0.008875,0.166838,0.008027,0.3875,0.059483,80
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,9,0.295833,0.041895,-0.044313,0.044048,0.246071,0.014446,0.191804,0.010347,0.200555,0.008152,0.174231,0.003136,0.103551,0.00572,0.177124,0.010574,0.130043,0.000797,0.043642,0.0,0.11939,0.008957,0.166307,0.007938,0.370833,0.055122,80
