method,split,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,mean_regret_to_oracle,ci95_regret_to_oracle,groups
robust_geometric_tamp,heldout_combined_contact_uncertainty,0,0.404167,0.049232,0.087462,0.054357,0.207234,0.012576,0.171052,0.008824,0.177017,0.007221,0.234299,0.002523,0.081099,0.004288,0.158399,0.009281,0.259902,0.00098,0.042442,0.0,0.096641,0.00664,0.146653,0.006809,0.316667,0.056819,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,1,0.404167,0.040998,0.080283,0.049492,0.207931,0.012131,0.170541,0.008789,0.177233,0.006894,0.232109,0.003087,0.080545,0.004234,0.159197,0.008998,0.259902,0.00098,0.042442,0.0,0.096741,0.006638,0.145647,0.006634,0.31875,0.049716,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,2,0.402083,0.041781,0.080511,0.044585,0.208246,0.012337,0.170981,0.008793,0.177188,0.007105,0.23303,0.002791,0.081086,0.004417,0.157322,0.009051,0.259902,0.00098,0.042442,0.0,0.096858,0.006547,0.147456,0.006836,0.3125,0.056453,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,3,0.370833,0.040668,0.047238,0.049944,0.207423,0.012465,0.17196,0.008807,0.177827,0.00698,0.231673,0.002672,0.080811,0.004422,0.158801,0.009276,0.259902,0.00098,0.042442,0.0,0.097141,0.006639,0.14718,0.006624,0.360417,0.050475,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,4,0.4125,0.050652,0.097471,0.053965,0.208447,0.012557,0.170255,0.008892,0.176815,0.007127,0.232918,0.002427,0.081621,0.004465,0.15867,0.009195,0.259902,0.00098,0.042442,0.0,0.097456,0.006561,0.146951,0.006691,0.320833,0.05382,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,5,0.375,0.045941,0.060324,0.047402,0.207613,0.012536,0.171324,0.008904,0.176933,0.006867,0.233865,0.002659,0.08101,0.00417,0.159076,0.009028,0.259902,0.00098,0.042442,0.0,0.09689,0.006623,0.147104,0.006736,0.333333,0.055129,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,6,0.4,0.044485,0.078188,0.049361,0.208201,0.012415,0.17107,0.008969,0.176785,0.007236,0.23293,0.00304,0.08118,0.004343,0.158648,0.009224,0.259902,0.00098,0.042442,0.0,0.097265,0.006765,0.146981,0.006602,0.310417,0.051893,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,7,0.358333,0.04505,0.035559,0.049677,0.207609,0.012434,0.170349,0.008909,0.176843,0.006983,0.231351,0.003123,0.081878,0.004292,0.158797,0.009286,0.259902,0.00098,0.042442,0.0,0.096661,0.00677,0.146742,0.006576,0.339583,0.047368,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,8,0.366667,0.046634,0.046485,0.046572,0.20767,0.012448,0.171146,0.009059,0.177764,0.006829,0.233992,0.002733,0.081325,0.004301,0.157908,0.009327,0.259902,0.00098,0.042442,0.0,0.097825,0.006706,0.146867,0.006687,0.347917,0.053637,80
robust_geometric_tamp,heldout_combined_contact_uncertainty,9,0.385417,0.043717,0.063149,0.04914,0.206583,0.012357,0.171218,0.008697,0.176714,0.006907,0.233989,0.00257,0.081062,0.004307,0.157988,0.009255,0.259902,0.00098,0.042442,0.0,0.097034,0.006718,0.146079,0.006583,0.308333,0.052654,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,0,0.4125,0.047201,0.126055,0.049202,0.18106,0.010793,0.15396,0.007864,0.164095,0.00633,0.293769,0.003143,0.078665,0.004172,0.144346,0.007967,0.247621,0.000946,0.044591,0.0,0.095896,0.006567,0.137218,0.00614,0.30625,0.051795,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,1,0.4375,0.042056,0.150417,0.047092,0.181583,0.010778,0.153495,0.007753,0.164854,0.006277,0.294164,0.002903,0.07936,0.004052,0.144425,0.00806,0.247621,0.000946,0.044591,0.0,0.095859,0.006628,0.136879,0.006025,0.285417,0.046921,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,2,0.466667,0.047353,0.181567,0.053291,0.181918,0.010763,0.154161,0.00801,0.165078,0.006371,0.294406,0.002882,0.079301,0.004224,0.143746,0.008168,0.247621,0.000946,0.044591,0.0,0.095593,0.006497,0.137006,0.006212,0.247917,0.05262,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,3,0.402083,0.047457,0.118555,0.051735,0.180563,0.010706,0.15364,0.007729,0.163324,0.006389,0.294931,0.0028,0.078646,0.004259,0.143578,0.008136,0.247621,0.000946,0.044591,0.0,0.095783,0.006729,0.137056,0.006051,0.333333,0.056341,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,4,0.439583,0.042003,0.154379,0.042887,0.181134,0.01078,0.154086,0.007886,0.164063,0.006447,0.29471,0.003328,0.078679,0.004121,0.143545,0.007989,0.247621,0.000946,0.044591,0.0,0.094615,0.006404,0.136471,0.006137,0.3,0.057056,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,5,0.460417,0.046214,0.174895,0.050998,0.181466,0.01056,0.154336,0.00802,0.164641,0.006309,0.295051,0.003041,0.078769,0.004174,0.144393,0.008226,0.247621,0.000946,0.044591,0.0,0.095702,0.006496,0.137263,0.005961,0.260417,0.051271,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,6,0.435417,0.044063,0.153036,0.050049,0.181548,0.010841,0.153658,0.0082,0.164865,0.006397,0.294031,0.002852,0.078701,0.004045,0.143658,0.008421,0.247621,0.000946,0.044591,0.0,0.095824,0.006497,0.136143,0.006068,0.295833,0.046842,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,7,0.441667,0.047955,0.158921,0.054833,0.181055,0.010605,0.154673,0.007925,0.164731,0.006354,0.293584,0.002702,0.078855,0.004155,0.143732,0.008141,0.247621,0.000946,0.044591,0.0,0.096586,0.006584,0.137459,0.006052,0.258333,0.048585,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,8,0.46875,0.038588,0.183338,0.040859,0.180275,0.010855,0.154098,0.007822,0.164152,0.006409,0.294456,0.002511,0.078775,0.004168,0.143994,0.008304,0.247621,0.000946,0.044591,0.0,0.095577,0.006315,0.13714,0.006056,0.254167,0.050318,80
receding_horizon_mpc,heldout_combined_contact_uncertainty,9,0.452083,0.048687,0.169857,0.052198,0.180473,0.010804,0.154005,0.007607,0.164773,0.006321,0.295007,0.003048,0.07877,0.004004,0.144242,0.00798,0.247621,0.000946,0.044591,0.0,0.095552,0.006564,0.1373,0.005993,0.254167,0.058104,80
learned_failure_classifier,heldout_combined_contact_uncertainty,0,0.4,0.044863,0.142879,0.049631,0.16497,0.009641,0.138218,0.006708,0.155701,0.006007,0.324498,0.002866,0.07495,0.003894,0.133196,0.007282,0.228617,0.000968,0.044388,0.0,0.092439,0.006213,0.130758,0.005829,0.329167,0.054506,80
learned_failure_classifier,heldout_combined_contact_uncertainty,1,0.441667,0.043136,0.183068,0.048511,0.16589,0.009668,0.138024,0.0069,0.156812,0.005684,0.324237,0.002872,0.075085,0.003994,0.132319,0.007346,0.228617,0.000968,0.044388,0.0,0.091459,0.006085,0.131082,0.005861,0.285417,0.049375,80
learned_failure_classifier,heldout_combined_contact_uncertainty,2,0.45,0.045904,0.192335,0.051635,0.165311,0.010012,0.137734,0.006877,0.156488,0.006023,0.325226,0.003017,0.075285,0.003902,0.132065,0.007389,0.228617,0.000968,0.044388,0.0,0.092325,0.00628,0.130635,0.00579,0.28125,0.059431,80
learned_failure_classifier,heldout_combined_contact_uncertainty,3,0.458333,0.0452,0.202191,0.050394,0.164371,0.009777,0.137273,0.006678,0.15606,0.005942,0.325064,0.00311,0.074651,0.003934,0.132103,0.007367,0.228617,0.000968,0.044388,0.0,0.09123,0.006086,0.130656,0.005726,0.279167,0.05506,80
learned_failure_classifier,heldout_combined_contact_uncertainty,4,0.479167,0.047344,0.222899,0.050401,0.165554,0.009802,0.137244,0.006942,0.156587,0.006,0.325612,0.003131,0.074936,0.003731,0.131467,0.007388,0.228617,0.000968,0.044388,0.0,0.09223,0.00591,0.130172,0.0059,0.25625,0.053873,80
learned_failure_classifier,heldout_combined_contact_uncertainty,5,0.445833,0.042216,0.189499,0.044161,0.16547,0.009963,0.137606,0.006716,0.156486,0.005636,0.323294,0.00275,0.074892,0.003797,0.132257,0.007544,0.228617,0.000968,0.044388,0.0,0.092135,0.006094,0.13046,0.005709,0.272917,0.049733,80
learned_failure_classifier,heldout_combined_contact_uncertainty,6,0.48125,0.047564,0.226634,0.049715,0.164703,0.009716,0.137412,0.006933,0.156643,0.005938,0.32603,0.003299,0.074468,0.003941,0.131309,0.007208,0.228617,0.000968,0.044388,0.0,0.091161,0.005957,0.130556,0.005995,0.247917,0.047564,80
learned_failure_classifier,heldout_combined_contact_uncertainty,7,0.447917,0.049852,0.191506,0.053679,0.166234,0.009884,0.137273,0.006941,0.156556,0.005859,0.32367,0.002954,0.07543,0.003834,0.131363,0.007245,0.228617,0.000968,0.044388,0.0,0.091353,0.006092,0.130504,0.005789,0.252083,0.051648,80
learned_failure_classifier,heldout_combined_contact_uncertainty,8,0.441667,0.049,0.184723,0.052595,0.164374,0.009791,0.138511,0.006672,0.15705,0.005847,0.325664,0.00303,0.07457,0.004143,0.131939,0.007216,0.228617,0.000968,0.044388,0.0,0.091521,0.006107,0.130361,0.005761,0.289583,0.049903,80
learned_failure_classifier,heldout_combined_contact_uncertainty,9,0.422917,0.041477,0.165584,0.044512,0.165166,0.009861,0.137961,0.006652,0.156201,0.005958,0.325976,0.003205,0.07477,0.004104,0.131556,0.007436,0.228617,0.000968,0.044388,0.0,0.09163,0.006155,0.130586,0.005664,0.266667,0.052494,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,0,0.477083,0.04783,0.257315,0.053228,0.136203,0.008174,0.111579,0.004964,0.128112,0.004491,0.364219,0.002949,0.068252,0.003406,0.117287,0.006342,0.271074,0.001025,0.042004,0.0,0.083009,0.005154,0.108093,0.004661,0.258333,0.048931,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,1,0.460417,0.044349,0.240376,0.049624,0.136791,0.007983,0.111297,0.005298,0.126424,0.004532,0.364739,0.002717,0.068485,0.003426,0.116272,0.006176,0.271074,0.001025,0.042004,0.0,0.083012,0.005293,0.107814,0.004601,0.272917,0.050742,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,2,0.433333,0.040926,0.212779,0.043558,0.135967,0.008195,0.111184,0.005175,0.12734,0.004497,0.364115,0.002966,0.068961,0.003447,0.116911,0.006446,0.271074,0.001025,0.042004,0.0,0.083665,0.005356,0.107878,0.004521,0.275,0.049343,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,3,0.447917,0.041334,0.227884,0.04452,0.13618,0.008253,0.111383,0.00527,0.128376,0.004545,0.36377,0.003335,0.06861,0.003551,0.11745,0.006149,0.271074,0.001025,0.042004,0.0,0.081966,0.005495,0.108271,0.004588,0.2875,0.054195,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,4,0.45625,0.047475,0.236387,0.052627,0.135904,0.008209,0.111116,0.005271,0.127322,0.004596,0.365714,0.002855,0.069488,0.003399,0.116567,0.006339,0.271074,0.001025,0.042004,0.0,0.083109,0.005398,0.107378,0.004666,0.277083,0.056921,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,5,0.479167,0.046262,0.258293,0.050863,0.135598,0.008116,0.110907,0.005128,0.127574,0.004567,0.364931,0.002385,0.069184,0.00359,0.11784,0.006321,0.271074,0.001025,0.042004,0.0,0.08407,0.005239,0.108419,0.004586,0.25,0.05389,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,6,0.43125,0.04452,0.210582,0.046898,0.136475,0.008081,0.110683,0.00507,0.127659,0.004552,0.363687,0.002844,0.069188,0.003641,0.116768,0.006336,0.271074,0.001025,0.042004,0.0,0.083193,0.005264,0.107185,0.004849,0.289583,0.044539,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,7,0.477083,0.043387,0.256764,0.045956,0.137248,0.008182,0.111286,0.005301,0.127604,0.004499,0.364806,0.002989,0.068173,0.003427,0.117323,0.006293,0.271074,0.001025,0.042004,0.0,0.082849,0.005247,0.10801,0.004611,0.21875,0.04486,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,8,0.520833,0.044399,0.300329,0.048403,0.135489,0.008135,0.111158,0.005256,0.12697,0.004682,0.363565,0.003136,0.068476,0.003431,0.117828,0.006394,0.271074,0.001025,0.042004,0.0,0.083218,0.005394,0.10883,0.004695,0.225,0.052974,80
ensemble_belief_planner,heldout_combined_contact_uncertainty,9,0.470833,0.038448,0.250155,0.039394,0.136867,0.008006,0.110749,0.005142,0.128,0.004382,0.365437,0.002819,0.069292,0.003483,0.116876,0.006156,0.271074,0.001025,0.042004,0.0,0.082426,0.005352,0.107942,0.004746,0.229167,0.048052,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,0,0.425,0.047531,0.18939,0.048334,0.142355,0.009044,0.122553,0.005603,0.134875,0.005349,0.330682,0.003035,0.060998,0.003034,0.12727,0.006789,0.309156,0.001129,0.035711,0.0,0.074358,0.00452,0.11307,0.00536,0.295833,0.055427,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,1,0.414583,0.037207,0.175753,0.039251,0.144463,0.008869,0.122049,0.005819,0.134418,0.005154,0.329547,0.002964,0.061519,0.003118,0.12797,0.007066,0.309156,0.001129,0.035711,0.0,0.074558,0.004501,0.113215,0.005256,0.304167,0.047129,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,2,0.470833,0.048541,0.232871,0.052643,0.143602,0.008782,0.121636,0.005636,0.134937,0.005144,0.330626,0.003129,0.061059,0.002969,0.127812,0.006764,0.309156,0.001129,0.035711,0.0,0.074992,0.004496,0.112975,0.005108,0.254167,0.053568,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,3,0.425,0.041459,0.187833,0.047066,0.143905,0.008717,0.122514,0.005729,0.135089,0.005202,0.331477,0.002577,0.061153,0.002884,0.126824,0.006836,0.309156,0.001129,0.035711,0.0,0.075134,0.004372,0.112947,0.005211,0.310417,0.05286,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,4,0.445833,0.042614,0.207552,0.048724,0.143643,0.008628,0.12196,0.005642,0.135114,0.00538,0.328253,0.002497,0.0616,0.002986,0.126779,0.006901,0.309156,0.001129,0.035711,0.0,0.075009,0.004552,0.112625,0.005051,0.291667,0.053733,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,5,0.439583,0.041599,0.201657,0.043796,0.142997,0.008771,0.121226,0.005816,0.134144,0.005117,0.330147,0.002992,0.061462,0.003106,0.127968,0.007343,0.309156,0.001129,0.035711,0.0,0.074824,0.004513,0.113696,0.005338,0.272917,0.050408,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,6,0.402083,0.041375,0.163917,0.043965,0.143919,0.008976,0.121967,0.005687,0.135597,0.005332,0.329583,0.003107,0.060922,0.002784,0.127254,0.006929,0.309156,0.001129,0.035711,0.0,0.075218,0.004679,0.112684,0.005177,0.322917,0.050441,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,7,0.435417,0.041293,0.197648,0.043308,0.14379,0.00896,0.121716,0.005718,0.135387,0.005105,0.331379,0.002834,0.061255,0.002968,0.126983,0.007103,0.309156,0.001129,0.035711,0.0,0.075072,0.00429,0.112716,0.005158,0.266667,0.048131,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,8,0.45,0.044027,0.212566,0.046478,0.143617,0.008751,0.121906,0.005938,0.134674,0.005223,0.329315,0.002642,0.061284,0.00263,0.127841,0.006835,0.309156,0.001129,0.035711,0.0,0.074629,0.004367,0.113068,0.005317,0.270833,0.050785,80
conformal_risk_tamp,heldout_combined_contact_uncertainty,9,0.410417,0.046104,0.174455,0.050313,0.142049,0.008727,0.122151,0.00575,0.134753,0.005167,0.331804,0.002807,0.061463,0.002984,0.126661,0.006836,0.309156,0.001129,0.035711,0.0,0.075558,0.004482,0.112957,0.005302,0.2875,0.055731,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,0,0.452083,0.046195,0.17784,0.05158,0.181035,0.010748,0.148173,0.007341,0.161329,0.006189,0.292927,0.00283,0.077851,0.004183,0.139607,0.00773,0.213498,0.000935,0.041055,0.0,0.096532,0.006607,0.134567,0.00598,0.28125,0.056219,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,1,0.452083,0.043948,0.177204,0.048485,0.179159,0.010588,0.148346,0.007351,0.160683,0.006055,0.29238,0.002658,0.078391,0.004002,0.139133,0.007949,0.213498,0.000935,0.041055,0.0,0.096041,0.006707,0.133859,0.005912,0.2875,0.050652,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,2,0.452083,0.052363,0.179255,0.05656,0.180495,0.010717,0.147638,0.007369,0.16013,0.006115,0.293936,0.003155,0.078122,0.004177,0.139437,0.007829,0.213498,0.000935,0.041055,0.0,0.096394,0.006776,0.133805,0.00591,0.26875,0.054045,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,3,0.470833,0.045674,0.195183,0.051775,0.180703,0.010832,0.147873,0.007382,0.160642,0.006148,0.293783,0.002881,0.078026,0.004078,0.140625,0.007698,0.213498,0.000935,0.041055,0.0,0.095887,0.006652,0.133138,0.005923,0.275,0.05516,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,4,0.44375,0.045366,0.172165,0.05075,0.179541,0.010826,0.14731,0.007308,0.160721,0.006163,0.295116,0.002722,0.077992,0.004074,0.138356,0.007945,0.213498,0.000935,0.041055,0.0,0.095705,0.006649,0.133721,0.00602,0.295833,0.053568,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,5,0.429167,0.048541,0.158593,0.0532,0.179321,0.010471,0.14704,0.00735,0.160793,0.006096,0.293762,0.002622,0.077967,0.004063,0.139443,0.007839,0.213498,0.000935,0.041055,0.0,0.096477,0.006606,0.134288,0.005849,0.285417,0.057877,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,6,0.439583,0.043581,0.167331,0.047516,0.179879,0.010715,0.148066,0.007459,0.160655,0.006251,0.296109,0.002737,0.078136,0.003892,0.139127,0.007721,0.213498,0.000935,0.041055,0.0,0.095785,0.006611,0.133066,0.005872,0.275,0.04505,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,7,0.420833,0.051968,0.147796,0.058034,0.18014,0.010436,0.148832,0.007392,0.160889,0.00607,0.294267,0.002936,0.078193,0.004019,0.138768,0.007675,0.213498,0.000935,0.041055,0.0,0.096642,0.006632,0.134339,0.006051,0.28125,0.052169,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,8,0.495833,0.050984,0.221131,0.054392,0.180027,0.010739,0.148204,0.007281,0.160617,0.006143,0.294353,0.002918,0.078383,0.00419,0.139108,0.007843,0.213498,0.000935,0.041055,0.0,0.096313,0.006616,0.133884,0.005878,0.24375,0.055112,80
smooth_precondition_world_model,heldout_combined_contact_uncertainty,9,0.429167,0.045303,0.153312,0.05116,0.180642,0.01063,0.148704,0.007568,0.160922,0.006165,0.293308,0.002904,0.07857,0.004168,0.138243,0.007788,0.213498,0.000935,0.041055,0.0,0.096488,0.006575,0.134341,0.006052,0.266667,0.05086,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,0,0.495833,0.041895,0.271507,0.045139,0.134128,0.00812,0.124037,0.005963,0.139737,0.004977,0.365525,0.003228,0.065416,0.003104,0.116347,0.006425,0.287944,0.001025,0.04339,0.0,0.080491,0.005001,0.114521,0.004681,0.239583,0.048216,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,1,0.491667,0.045349,0.265977,0.047764,0.135612,0.008105,0.123825,0.00611,0.139075,0.004838,0.36792,0.002876,0.065442,0.003151,0.118684,0.006309,0.287944,0.001025,0.04339,0.0,0.08064,0.005128,0.115051,0.004535,0.241667,0.048585,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,2,0.466667,0.044787,0.241405,0.050113,0.13579,0.008143,0.123446,0.006005,0.139283,0.004759,0.368396,0.003245,0.065137,0.003167,0.117652,0.006048,0.287944,0.001025,0.04339,0.0,0.080547,0.005014,0.115667,0.004679,0.252083,0.051648,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,3,0.48125,0.047564,0.257477,0.048057,0.13423,0.008098,0.123746,0.006194,0.138847,0.004846,0.366139,0.002874,0.064903,0.003092,0.117969,0.006274,0.287944,0.001025,0.04339,0.0,0.080188,0.004992,0.115196,0.004597,0.264583,0.053163,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,4,0.485417,0.048339,0.261083,0.053008,0.13489,0.008003,0.124163,0.006098,0.139953,0.004975,0.366347,0.002436,0.065378,0.003006,0.117406,0.00627,0.287944,0.001025,0.04339,0.0,0.079487,0.004951,0.114175,0.004742,0.266667,0.053765,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,5,0.475,0.049343,0.250275,0.052596,0.135998,0.007953,0.124329,0.006138,0.139213,0.004992,0.367917,0.002806,0.066334,0.003225,0.117687,0.006227,0.287944,0.001025,0.04339,0.0,0.079744,0.005221,0.115467,0.004843,0.254167,0.048957,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,6,0.4625,0.047911,0.236876,0.050816,0.135986,0.008015,0.124798,0.006133,0.139539,0.004935,0.366977,0.002555,0.064837,0.003212,0.117744,0.006197,0.287944,0.001025,0.04339,0.0,0.080483,0.005147,0.11538,0.004775,0.266667,0.050527,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,7,0.475,0.043136,0.248427,0.047108,0.136186,0.007973,0.124617,0.0059,0.138987,0.005111,0.367344,0.002672,0.066387,0.003196,0.119699,0.006202,0.287944,0.001025,0.04339,0.0,0.080012,0.004988,0.11478,0.004635,0.227083,0.043192,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,8,0.477083,0.045662,0.251428,0.046632,0.136338,0.00808,0.124019,0.005912,0.138954,0.005042,0.366448,0.00313,0.065981,0.003279,0.118578,0.006244,0.287944,0.001025,0.04339,0.0,0.080435,0.005087,0.115817,0.004879,0.254167,0.052934,80
contact_implicit_tamp,heldout_combined_contact_uncertainty,9,0.45,0.042465,0.225885,0.046249,0.135071,0.008259,0.123353,0.005961,0.139202,0.005122,0.367582,0.002865,0.065095,0.00314,0.118459,0.006265,0.287944,0.001025,0.04339,0.0,0.079678,0.004964,0.115216,0.004681,0.23125,0.047386,80
contingent_pomdp_tamp,heldout_combined_contact_uncertainty,0,0.508333,0.048236,0.325503,0.052232,0.111956,0.006904,0.102328,0.004757,0.118689,0.003722,0.427397,0.002964,0.058852,0.002682,0.100539,0.004913,0.296327,0.001071,0.045928,0.0,0.070583,0.004097,0.096834,0.003723,0.235417,0.056846,80
contingent_pomdp_tamp,heldout_combined_contact_uncertainty,1,0.495833,0.039829,0.312564,0.04227,0.112509,0.006899,0.10208,0.004835,0.117728,0.003676,0.428359,0.002732,0.059083,0.002759,0.10081,0.004869,0.296327,0.001071,0.045928,0.0,0.070739,0.004055,0.097741,0.003621,0.245833,0.050984,80
contingent_pomdp_tamp,heldout_combined_contact_uncertainty,2,0.466667,0.042861,0.282762,0.043727,0.113145,0.006785,0.102095,0.004734,0.118479,0.003827,0.42679,0.002855,0.058787,0.002589,0.101052,0.004705,0.296327,0.001071,0.045928,0.0,0.070835,0.004026,0.097558,0.003683,0.254167,0.051642,80
