method,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_precondition_violation,ci95_mean_precondition_violation,mean_mean_belief_ece,ci95_mean_belief_ece,mean_mean_branch_entropy_error,ci95_mean_branch_entropy_error,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_damage_rate,ci95_mean_damage_rate,mean_mean_wasted_action,ci95_mean_wasted_action,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_probe_overhead,ci95_mean_probe_overhead,mean_mean_irreversible_commitment,ci95_mean_irreversible_commitment,mean_mean_plan_depth_blowup,ci95_mean_plan_depth_blowup,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,groups
deterministic_symbolic_tamp,0.32875,0.014606,-0.017921,0.011742,0.246747,0.000519,0.192328,0.000424,0.199515,0.000372,0.172754,0.000704,0.103712,0.000316,0.17676,0.000311,0.130043,0.0,0.043642,0.0,0.119182,0.000283,0.166526,0.00027,0.37875,0.013918,10
robust_geometric_tamp,0.387917,0.011816,0.067667,0.012544,0.207696,0.000341,0.17099,0.000313,0.177112,0.000247,0.233016,0.000643,0.081162,0.000235,0.158481,0.000361,0.259902,0.0,0.042442,0.0,0.097051,0.000235,0.146766,0.000333,0.326875,0.01093,10
receding_horizon_mpc,0.441667,0.013543,0.157102,0.013529,0.181107,0.000333,0.154011,0.000218,0.164458,0.000332,0.294411,0.000322,0.078852,0.000161,0.143966,0.000221,0.247621,0.0,0.044591,0.0,0.095699,0.000299,0.136994,0.00025,0.279583,0.017807,10
learned_failure_classifier,0.446875,0.014888,0.190132,0.015285,0.165204,0.000382,0.137726,0.000274,0.156458,0.000239,0.324927,0.000597,0.074904,0.00019,0.131957,0.000356,0.228617,0.0,0.044388,0.0,0.091748,0.0003,0.130577,0.00015,0.276042,0.014587,10
ensemble_belief_planner,0.465417,0.016233,0.245087,0.016223,0.136272,0.000353,0.111134,0.000175,0.127538,0.000353,0.364498,0.000461,0.068811,0.00029,0.117112,0.000323,0.271074,0.0,0.042004,0.0,0.083052,0.000363,0.107982,0.000296,0.258333,0.016356,10
conformal_risk_tamp,0.431875,0.012827,0.194364,0.012718,0.143434,0.000463,0.121968,0.000245,0.134899,0.000268,0.330281,0.000695,0.061272,0.000146,0.127336,0.000323,0.309156,0.0,0.035711,0.0,0.074935,0.000218,0.112995,0.000192,0.287708,0.013356,10
smooth_precondition_world_model,0.448542,0.013693,0.174981,0.01325,0.180094,0.000389,0.148019,0.000353,0.160738,0.000186,0.293994,0.000661,0.078163,0.000139,0.139185,0.00042,0.213498,0.0,0.041055,0.0,0.096226,0.000212,0.133901,0.000313,0.276042,0.008889,10
contact_implicit_tamp,0.476042,0.008527,0.251034,0.008564,0.135423,0.000495,0.124033,0.00029,0.139279,0.000223,0.367059,0.000573,0.065491,0.000348,0.118022,0.000557,0.287944,0.0,0.04339,0.0,0.080171,0.000257,0.115127,0.000317,0.249792,0.008914,10
contingent_pomdp_tamp,0.504167,0.015732,0.320676,0.015622,0.11312,0.000355,0.102384,0.000228,0.118148,0.000337,0.426758,0.000758,0.058915,0.000221,0.100121,0.000383,0.296327,0.0,0.045928,0.0,0.070458,0.000206,0.097428,0.000214,0.229375,0.014423,10
risk_aware_tamp,0.495417,0.015264,0.30295,0.01528,0.116362,0.00029,0.106572,0.000239,0.120781,0.000275,0.395019,0.000527,0.048978,0.000397,0.106922,0.000344,0.328206,0.0,0.040025,0.0,0.06162,0.00031,0.099653,0.000259,0.234167,0.014863,10
learned_contact_belief_state,0.52,0.009609,0.357581,0.009723,0.100774,0.000332,0.084892,0.000214,0.106673,0.000379,0.43231,0.000791,0.059657,0.000279,0.093149,0.00035,0.26126,0.0,0.044152,0.0,0.07352,0.000251,0.090196,0.000182,0.22,0.009969,10
damage_aware_planner,0.477708,0.01599,0.27214,0.01595,0.129278,0.000308,0.11532,0.00019,0.128847,0.000266,0.373056,0.00074,0.045094,0.000211,0.111582,0.000298,0.323479,0.0,0.039838,0.0,0.061731,0.000273,0.106129,0.000254,0.25125,0.015086,10
proposed_contact_belief_tamp_v4,0.559792,0.01219,0.463477,0.01235,0.06279,0.000386,0.068152,0.000327,0.097984,0.000282,0.517012,0.000573,0.045296,0.000344,0.073401,0.000379,0.215839,0.0,0.048264,0.0,0.061803,0.000273,0.080839,0.000342,0.185417,0.012113,10
contact_belief_branch_audit_v5,0.63,0.005279,0.612386,0.005126,0.018533,0.000374,0.025871,0.00029,0.056916,0.000156,0.575753,0.000689,0.025352,0.000306,0.046832,0.00035,0.223011,0.0,0.044707,0.0,0.03387,0.000293,0.043499,0.000202,0.142708,0.009951,10
oracle_contact_outcome_planner,0.665,0.011878,0.637264,0.011956,0.021969,0.000362,0.044106,0.000177,0.063889,0.00024,0.575321,0.000675,0.034077,0.000273,0.049781,0.000312,0.201315,0.0,0.040973,0.0,0.042366,0.00031,0.051912,0.000266,0.122708,0.012496,10
oracle_hybrid_contact_planner,0.694375,0.010509,0.681212,0.010599,0.014021,0.000465,0.037826,0.000275,0.059342,0.000231,0.596328,0.000721,0.031576,0.000221,0.045128,0.00024,0.198034,0.0,0.04401,0.0,0.038149,0.000284,0.04756,0.000355,0.0,0.0,10
