method,split,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_precondition_violation,ci95_mean_precondition_violation,mean_mean_belief_ece,ci95_mean_belief_ece,mean_mean_branch_entropy_error,ci95_mean_branch_entropy_error,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_damage_rate,ci95_mean_damage_rate,mean_mean_wasted_action,ci95_mean_wasted_action,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_probe_overhead,ci95_mean_probe_overhead,mean_mean_irreversible_commitment,ci95_mean_irreversible_commitment,mean_mean_plan_depth_blowup,ci95_mean_plan_depth_blowup,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,groups
learned_failure_classifier,nominal,0.54625,0.012722,0.381694,0.012497,0.109304,0.000252,0.09681,0.000244,0.099925,0.000288,0.333932,0.000811,0.054805,0.000254,0.092478,0.000482,0.201454,0.0,0.02472,0.0,0.065355,0.000239,0.082358,0.000318,0.242083,0.018035,10
learned_failure_classifier,seen_shift,0.520208,0.016128,0.325958,0.016062,0.127196,0.000342,0.110573,0.000169,0.117399,0.000325,0.330733,0.000614,0.061497,0.000186,0.104967,0.000229,0.210698,0.0,0.03044,0.0,0.073634,0.000251,0.096593,0.00034,0.249583,0.022455,10
learned_failure_classifier,unseen_object,0.489792,0.012847,0.273389,0.012756,0.14197,0.000337,0.118377,0.000328,0.127335,0.000271,0.329672,0.000473,0.065584,0.000284,0.117614,0.000193,0.215549,0.0,0.033788,0.0,0.081316,0.000181,0.104958,0.000266,0.258542,0.015679,10
learned_failure_classifier,unseen_contact,0.484792,0.013434,0.260073,0.013286,0.148386,0.000271,0.125469,0.000218,0.136966,0.000206,0.328802,0.000628,0.067762,0.000331,0.116279,0.000258,0.219218,0.0,0.036872,0.0,0.079892,0.000304,0.112896,0.000388,0.258125,0.015393,10
learned_failure_classifier,unseen_compliance,0.478958,0.013726,0.256595,0.013647,0.141539,0.000353,0.122911,0.000232,0.134405,0.000361,0.328037,0.000655,0.070237,0.000231,0.116994,0.00037,0.220188,0.0,0.036372,0.0,0.08184,0.000205,0.111231,0.000346,0.252917,0.018625,10
learned_failure_classifier,probe_latency,0.478542,0.010974,0.253638,0.011132,0.142746,0.000309,0.124113,0.000144,0.13716,0.000186,0.328387,0.00068,0.068815,0.000265,0.117838,0.000449,0.222874,0.0,0.040252,0.0,0.082805,0.000307,0.113865,0.00023,0.2625,0.017621,10
learned_failure_classifier,sensor_dropout,0.45625,0.017174,0.200575,0.016799,0.165193,0.000466,0.150538,0.000253,0.167027,0.000332,0.325469,0.000545,0.070422,0.000234,0.130569,0.000251,0.225028,0.0,0.047284,0.0,0.083861,0.000339,0.136028,0.000388,0.279583,0.019619,10
learned_failure_classifier,heldout_combined_contact_uncertainty,0.446875,0.014888,0.190132,0.015285,0.165204,0.000382,0.137726,0.000274,0.156458,0.000239,0.324927,0.000597,0.074904,0.00019,0.131957,0.000356,0.228617,0.0,0.044388,0.0,0.091748,0.0003,0.130577,0.00015,0.276042,0.014587,10
ensemble_belief_planner,nominal,0.551458,0.012711,0.408266,0.012741,0.089714,0.000305,0.080688,0.000246,0.08705,0.00014,0.372583,0.00068,0.050921,0.000257,0.084301,0.000234,0.24276,0.0,0.025622,0.0,0.060359,0.000328,0.072405,0.000303,0.2425,0.009913,10
ensemble_belief_planner,seen_shift,0.515833,0.011759,0.348206,0.011733,0.104521,0.000247,0.090921,0.000266,0.099682,0.000321,0.37071,0.000506,0.057511,0.000336,0.093977,0.000344,0.25225,0.0,0.029996,0.0,0.067318,0.000395,0.082807,0.000202,0.250417,0.012501,10
ensemble_belief_planner,unseen_object,0.507292,0.008993,0.320957,0.008971,0.117626,0.000421,0.096634,0.000178,0.106795,0.000336,0.369443,0.000844,0.060331,0.000323,0.104738,0.000299,0.25727,0.0,0.032678,0.0,0.074323,0.00027,0.088939,0.000227,0.244792,0.010773,10
ensemble_belief_planner,unseen_contact,0.482292,0.01375,0.289255,0.013777,0.122068,0.00033,0.102281,0.000278,0.113346,0.000149,0.368353,0.00057,0.062407,0.000295,0.103663,0.000302,0.261047,0.0,0.035017,0.0,0.073346,0.000211,0.094511,0.000263,0.259167,0.017956,10
ensemble_belief_planner,unseen_compliance,0.495417,0.018117,0.304074,0.018116,0.115775,0.000494,0.100458,0.000268,0.111774,0.000271,0.36766,0.001025,0.065054,0.000266,0.104437,0.000294,0.262102,0.0,0.034924,0.0,0.075243,0.000235,0.093514,0.000217,0.234792,0.018078,10
ensemble_belief_planner,probe_latency,0.48875,0.010547,0.294911,0.01051,0.117255,0.000445,0.101472,0.00026,0.113565,0.000442,0.367401,0.000718,0.063758,0.000292,0.105,0.000304,0.265403,0.0,0.039689,0.0,0.075851,0.000313,0.09541,0.000375,0.254792,0.012956,10
ensemble_belief_planner,sensor_dropout,0.497708,0.014791,0.280425,0.01483,0.134777,0.000479,0.120836,0.00021,0.13453,0.000244,0.364528,0.000692,0.064858,0.00027,0.115674,0.000406,0.267144,0.0,0.042984,0.0,0.076308,0.000241,0.110634,0.000237,0.238958,0.018373,10
ensemble_belief_planner,heldout_combined_contact_uncertainty,0.465417,0.016233,0.245087,0.016223,0.136272,0.000353,0.111134,0.000175,0.127538,0.000353,0.364498,0.000461,0.068811,0.00029,0.117112,0.000323,0.271074,0.0,0.042004,0.0,0.083052,0.000363,0.107982,0.000296,0.258333,0.016356,10
conformal_risk_tamp,nominal,0.556042,0.017467,0.397452,0.017485,0.091913,0.000171,0.087989,0.000142,0.09289,0.000278,0.33889,0.000593,0.046814,0.000227,0.090052,0.000423,0.281485,0.0,0.023395,0.0,0.055712,0.00021,0.076857,0.000344,0.238333,0.017176,10
conformal_risk_tamp,seen_shift,0.505417,0.010334,0.321814,0.010347,0.108318,0.000299,0.099177,0.000321,0.105878,0.000195,0.336227,0.000618,0.051555,0.000287,0.101494,0.000207,0.290976,0.0,0.026748,0.0,0.061929,0.00022,0.087259,0.000267,0.260417,0.013693,10
conformal_risk_tamp,unseen_object,0.493333,0.018441,0.290776,0.018438,0.122069,0.000255,0.105529,0.000309,0.113204,0.000277,0.334391,0.000711,0.05402,0.000267,0.11321,0.000341,0.295934,0.0,0.028782,0.0,0.067587,0.000318,0.093344,0.000201,0.255417,0.017454,10
conformal_risk_tamp,unseen_contact,0.47375,0.008126,0.263355,0.008286,0.127996,0.000198,0.111763,0.000347,0.120313,0.00028,0.33324,0.000867,0.056001,0.00036,0.112411,0.00035,0.299685,0.0,0.030578,0.0,0.066999,0.000217,0.099243,0.000303,0.259583,0.013518,10
conformal_risk_tamp,unseen_compliance,0.479583,0.012634,0.271792,0.012489,0.121389,0.000265,0.109804,0.000283,0.118749,0.000313,0.334815,0.000636,0.058588,0.000389,0.112716,0.000358,0.300673,0.0,0.030455,0.0,0.068396,0.000298,0.09835,0.00022,0.250417,0.017053,10
conformal_risk_tamp,probe_latency,0.480417,0.017592,0.270695,0.01753,0.122276,0.000334,0.110672,0.000326,0.120298,0.000269,0.332711,0.000762,0.057006,0.000254,0.113472,0.000296,0.303177,0.0,0.033784,0.0,0.068734,0.000224,0.10057,0.000335,0.261458,0.016505,10
conformal_risk_tamp,sensor_dropout,0.454583,0.011956,0.21944,0.011933,0.142319,0.000298,0.132444,0.000195,0.141981,0.000315,0.329806,0.000776,0.057456,0.000276,0.125827,0.000431,0.305493,0.0,0.036685,0.0,0.069515,0.000217,0.115738,0.000344,0.280417,0.012771,10
conformal_risk_tamp,heldout_combined_contact_uncertainty,0.431875,0.012827,0.194364,0.012718,0.143434,0.000463,0.121968,0.000245,0.134899,0.000268,0.330281,0.000695,0.061272,0.000146,0.127336,0.000323,0.309156,0.0,0.035711,0.0,0.074935,0.000218,0.112995,0.000192,0.287708,0.013356,10
smooth_precondition_world_model,nominal,0.554583,0.01405,0.377272,0.013994,0.119041,0.000311,0.104035,0.000316,0.101945,0.000291,0.301918,0.000923,0.056851,0.000246,0.096787,0.000192,0.187659,0.0,0.022813,0.0,0.067887,0.000324,0.084056,0.000316,0.239792,0.012242,10
smooth_precondition_world_model,seen_shift,0.518125,0.009816,0.309664,0.009884,0.138724,0.000255,0.118767,0.00026,0.120539,0.000277,0.300146,0.000851,0.063703,0.000314,0.109824,0.000445,0.196654,0.0,0.028392,0.0,0.076457,0.000296,0.099093,0.000174,0.247292,0.011486,10
smooth_precondition_world_model,unseen_object,0.501875,0.014804,0.269975,0.01462,0.154906,0.000233,0.126984,0.000168,0.131092,0.000327,0.298852,0.000503,0.067764,0.000349,0.123225,0.000333,0.201317,0.0,0.031572,0.0,0.084819,0.000335,0.107495,0.000266,0.243542,0.013806,10
smooth_precondition_world_model,unseen_contact,0.47875,0.011466,0.237514,0.011351,0.162013,0.000465,0.134788,0.000252,0.140917,0.000318,0.297251,0.000608,0.070681,0.000293,0.122044,0.000372,0.20487,0.0,0.034594,0.0,0.083624,0.000185,0.115402,0.000242,0.264583,0.017975,10
smooth_precondition_world_model,unseen_compliance,0.498333,0.015801,0.260134,0.015616,0.153962,0.000467,0.131996,0.000219,0.138586,0.000157,0.297249,0.000517,0.073221,0.000187,0.122744,0.000323,0.205737,0.0,0.033903,0.0,0.085771,0.00028,0.113982,0.000268,0.239167,0.015754,10
smooth_precondition_world_model,probe_latency,0.478958,0.014538,0.238755,0.014335,0.155451,0.00024,0.13369,0.00021,0.140782,0.000175,0.297103,0.001046,0.071579,0.000398,0.123827,0.000419,0.207607,0.0,0.036426,0.0,0.086681,0.000189,0.116522,0.000293,0.265625,0.021592,10
smooth_precondition_world_model,sensor_dropout,0.456667,0.014453,0.18305,0.014031,0.18024,0.000392,0.1615,0.000343,0.172397,0.000372,0.294701,0.00081,0.073148,0.000234,0.137866,0.000378,0.210319,0.0,0.044745,0.0,0.087992,0.000377,0.139684,0.000138,0.278542,0.018851,10
smooth_precondition_world_model,heldout_combined_contact_uncertainty,0.448542,0.013693,0.174981,0.01325,0.180094,0.000389,0.148019,0.000353,0.160738,0.000186,0.293994,0.000661,0.078163,0.000139,0.139185,0.00042,0.213498,0.0,0.041055,0.0,0.096226,0.000212,0.133901,0.000313,0.276042,0.008889,10
contact_implicit_tamp,nominal,0.574167,0.019337,0.427362,0.019377,0.08954,0.000266,0.088494,0.000384,0.091947,0.00026,0.375386,0.000565,0.049147,0.000208,0.084606,0.000393,0.259919,0.0,0.025386,0.0,0.058678,0.000192,0.075161,0.000232,0.222708,0.020976,10
contact_implicit_tamp,seen_shift,0.54375,0.012622,0.371578,0.012767,0.104374,0.000334,0.100588,0.00014,0.107127,0.000309,0.372671,0.000829,0.054965,0.000216,0.095184,0.000263,0.269362,0.0,0.030384,0.0,0.065282,0.00025,0.087108,0.000334,0.228542,0.019163,10
contact_implicit_tamp,unseen_object,0.516042,0.015544,0.325553,0.015655,0.117082,0.000176,0.106817,0.000253,0.115303,0.000292,0.371949,0.000848,0.057445,0.000344,0.105527,0.000396,0.274343,0.0,0.033384,0.0,0.071672,0.000267,0.09409,0.000253,0.235,0.009961,10
contact_implicit_tamp,unseen_contact,0.501875,0.024945,0.304058,0.025077,0.121227,0.0004,0.113462,0.000275,0.12325,0.000161,0.370668,0.000472,0.059814,0.000221,0.104928,0.000414,0.278096,0.0,0.036067,0.0,0.070766,0.000253,0.100394,0.000418,0.242708,0.024426,10
contact_implicit_tamp,unseen_compliance,0.515208,0.014211,0.319008,0.014211,0.116429,0.000311,0.111135,0.000252,0.121456,0.00019,0.370765,0.00114,0.06189,0.000285,0.105456,0.000302,0.279128,0.0,0.035806,0.0,0.072308,0.00035,0.099078,0.000285,0.2175,0.017528,10
contact_implicit_tamp,probe_latency,0.500833,0.010841,0.302175,0.010794,0.117314,0.000438,0.112187,0.000232,0.123179,0.00028,0.370511,0.000388,0.060944,0.000191,0.106037,0.000341,0.282227,0.0,0.040293,0.0,0.073365,0.00027,0.101235,0.000153,0.245833,0.011024,10
contact_implicit_tamp,sensor_dropout,0.49625,0.017375,0.271039,0.017251,0.137249,0.000217,0.134815,0.000266,0.148773,0.000386,0.36754,0.000499,0.061575,0.000214,0.117294,0.000534,0.284108,0.0,0.04517,0.0,0.073928,0.000365,0.119643,0.00028,0.239583,0.015034,10
contact_implicit_tamp,heldout_combined_contact_uncertainty,0.476042,0.008527,0.251034,0.008564,0.135423,0.000495,0.124033,0.00029,0.139279,0.000223,0.367059,0.000573,0.065491,0.000348,0.118022,0.000557,0.287944,0.0,0.04339,0.0,0.080171,0.000257,0.115127,0.000317,0.249792,0.008914,10
contingent_pomdp_tamp,nominal,0.594167,0.015349,0.476544,0.01527,0.07374,0.000417,0.074486,0.000195,0.081529,0.000327,0.435071,0.000595,0.045415,0.000239,0.074388,0.000476,0.266632,0.0,0.027594,0.0,0.053228,0.000236,0.066701,0.000285,0.204792,0.014276,10
contingent_pomdp_tamp,seen_shift,0.566667,0.013027,0.428474,0.01295,0.086495,0.000391,0.08356,0.000252,0.093154,0.00036,0.433092,0.000853,0.049726,0.000141,0.082385,0.000329,0.276392,0.0,0.032284,0.0,0.058293,0.000284,0.07561,0.000165,0.215417,0.013016,10
contingent_pomdp_tamp,unseen_object,0.540833,0.012298,0.387281,0.01236,0.096722,0.000321,0.088679,0.000322,0.099844,0.000252,0.431995,0.000903,0.052428,0.000164,0.090126,0.000306,0.28161,0.0,0.03523,0.0,0.063727,0.000284,0.081134,0.000292,0.215,0.012707,10
contingent_pomdp_tamp,unseen_contact,0.5375,0.01372,0.376618,0.013535,0.102185,0.00022,0.09381,0.000335,0.106106,0.000212,0.430564,0.000512,0.054255,0.000355,0.08958,0.000369,0.28551,0.0,0.037727,0.0,0.063161,0.0003,0.086292,0.000237,0.215,0.015324,10
contingent_pomdp_tamp,unseen_compliance,0.520833,0.01639,0.362311,0.016377,0.096366,0.00026,0.092085,0.0002,0.104022,0.00022,0.430432,0.000868,0.0561,0.000337,0.089869,0.000196,0.286671,0.0,0.037792,0.0,0.064203,0.000197,0.085136,0.000405,0.213125,0.015532,10
contingent_pomdp_tamp,probe_latency,0.527083,0.014236,0.36599,0.014364,0.09727,0.000136,0.093171,0.000221,0.105981,0.00018,0.430312,0.00086,0.054813,0.00031,0.090806,0.000162,0.29079,0.0,0.043931,0.0,0.064978,0.00028,0.086641,0.000255,0.224375,0.017185,10
contingent_pomdp_tamp,sensor_dropout,0.519792,0.009257,0.337693,0.00912,0.112972,0.000274,0.110513,0.000193,0.125522,0.000215,0.42749,0.000681,0.055701,0.000262,0.099497,0.000493,0.291975,0.0,0.046276,0.0,0.065456,0.00018,0.101429,0.000216,0.22375,0.012829,10
contingent_pomdp_tamp,heldout_combined_contact_uncertainty,0.504167,0.015732,0.320676,0.015622,0.11312,0.000355,0.102384,0.000228,0.118148,0.000337,0.426758,0.000758,0.058915,0.000221,0.100121,0.000383,0.296327,0.0,0.045928,0.0,0.070458,0.000206,0.097428,0.000214,0.229375,0.014423,10
risk_aware_tamp,nominal,0.583542,0.013887,0.456185,0.013767,0.073936,0.000473,0.077589,0.000261,0.085358,0.00034,0.403687,0.000425,0.039623,0.000244,0.077852,0.000387,0.298921,0.0,0.025795,0.0,0.047836,0.000228,0.069536,0.000321,0.217708,0.017412,10
risk_aware_tamp,seen_shift,0.554792,0.009891,0.407087,0.009797,0.087168,0.000329,0.0871,0.000239,0.096243,0.000316,0.401365,0.000988,0.042744,0.000165,0.087146,0.000325,0.308709,0.0,0.029368,0.0,0.05207,0.000296,0.078253,0.000138,0.220833,0.011597,10
risk_aware_tamp,unseen_object,0.530208,0.008742,0.367,0.00876,0.098328,0.000365,0.092424,0.00025,0.102713,0.000259,0.399158,0.000772,0.044654,0.000195,0.095942,0.000309,0.313893,0.0,0.031636,0.0,0.056152,0.000172,0.083319,0.000216,0.222292,0.007891,10
risk_aware_tamp,unseen_contact,0.529375,0.012585,0.359614,0.012693,0.103885,0.000447,0.097601,0.000357,0.108606,0.000297,0.399079,0.00066,0.045681,0.000168,0.095493,0.000366,0.317783,0.0,0.033534,0.0,0.055451,0.000355,0.088045,0.00021,0.2225,0.01472,10
risk_aware_tamp,unseen_compliance,0.530208,0.012493,0.362905,0.012465,0.098034,0.000318,0.095957,0.000268,0.107076,0.000357,0.398825,0.000609,0.046782,0.000323,0.09589,0.000505,0.318897,0.0,0.033641,0.0,0.056541,0.00021,0.087587,0.000166,0.210625,0.016983,10
risk_aware_tamp,probe_latency,0.511667,0.012916,0.341699,0.012948,0.099163,0.000435,0.096866,0.000246,0.10879,0.000312,0.398459,0.000637,0.046192,0.000235,0.096792,0.00039,0.32242,0.0,0.03867,0.0,0.056989,0.000229,0.088937,0.000318,0.240208,0.018959,10
risk_aware_tamp,sensor_dropout,0.498958,0.017144,0.30782,0.01707,0.115329,0.000378,0.115157,0.000249,0.127418,0.000278,0.395513,0.000728,0.046655,0.000277,0.106595,0.000352,0.324038,0.0,0.040047,0.0,0.057325,0.000178,0.102535,0.000345,0.243542,0.013576,10
risk_aware_tamp,heldout_combined_contact_uncertainty,0.495417,0.015264,0.30295,0.01528,0.116362,0.00029,0.106572,0.000239,0.120781,0.000275,0.395019,0.000527,0.048978,0.000397,0.106922,0.000344,0.328206,0.0,0.040025,0.0,0.06162,0.00031,0.099653,0.000259,0.234167,0.014863,10
learned_contact_belief_state,nominal,0.598333,0.011706,0.4954,0.011551,0.067475,0.000292,0.064484,0.000126,0.076532,0.000322,0.441159,0.001004,0.04577,0.000207,0.070085,0.000273,0.231678,0.0,0.027402,0.0,0.054893,0.000241,0.063254,0.000163,0.198542,0.011175,10
learned_contact_belief_state,seen_shift,0.575417,0.015385,0.454016,0.015412,0.07803,0.000448,0.071254,0.000332,0.085461,0.00023,0.439282,0.000746,0.05035,0.000246,0.077182,0.000303,0.241397,0.0,0.031564,0.0,0.060673,0.000214,0.071259,0.000254,0.207083,0.020518,10
learned_contact_belief_state,unseen_object,0.547708,0.017949,0.411926,0.017917,0.087569,0.000363,0.075074,0.000361,0.091031,0.000224,0.437194,0.00053,0.05285,0.000213,0.084479,0.000307,0.246594,0.0,0.034222,0.0,0.066155,0.000205,0.075916,0.000366,0.211042,0.012827,10
learned_contact_belief_state,unseen_contact,0.545417,0.012996,0.404251,0.01297,0.091387,0.000434,0.078682,0.00019,0.095903,0.000305,0.436667,0.000347,0.054584,0.000182,0.083401,0.000413,0.250479,0.0,0.036431,0.0,0.065395,0.000251,0.080131,0.000264,0.210417,0.014066,10
learned_contact_belief_state,unseen_compliance,0.544167,0.01061,0.404601,0.010813,0.086026,0.000389,0.077203,0.000165,0.094921,0.000349,0.436394,0.000942,0.056887,0.00032,0.083931,0.000344,0.251634,0.0,0.036592,0.0,0.0663,0.000211,0.079121,0.000157,0.203125,0.015135,10
learned_contact_belief_state,probe_latency,0.549167,0.020563,0.407107,0.020643,0.086944,0.000467,0.077969,0.000209,0.096011,0.000169,0.435321,0.00069,0.055402,0.000314,0.084762,0.000284,0.25575,0.0,0.042683,0.0,0.067297,0.000274,0.080548,0.000351,0.205,0.024592,10
learned_contact_belief_state,sensor_dropout,0.543125,0.013801,0.384626,0.013699,0.098844,0.000562,0.091164,0.000269,0.112157,0.000235,0.432985,0.000769,0.056336,0.000274,0.091231,0.000326,0.256932,0.0,0.04402,0.0,0.067846,0.000292,0.092584,0.000214,0.211042,0.019017,10
learned_contact_belief_state,heldout_combined_contact_uncertainty,0.52,0.009609,0.357581,0.009723,0.100774,0.000332,0.084892,0.000214,0.106673,0.000379,0.43231,0.000791,0.059657,0.000279,0.093149,0.00035,0.26126,0.0,0.044152,0.0,0.07352,0.000251,0.090196,0.000182,0.22,0.009969,10
damage_aware_planner,nominal,0.5775,0.012442,0.440619,0.012379,0.082777,0.000244,0.083568,0.000188,0.088399,0.000185,0.381514,0.000385,0.037189,0.000196,0.080918,0.000369,0.294885,0.0,0.025002,0.0,0.04828,0.000297,0.072381,0.000282,0.21875,0.016413,10
