method,split,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_precondition_violation,ci95_mean_precondition_violation,mean_mean_belief_ece,ci95_mean_belief_ece,mean_mean_branch_entropy_error,ci95_mean_branch_entropy_error,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_damage_rate,ci95_mean_damage_rate,mean_mean_wasted_action,ci95_mean_wasted_action,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_probe_overhead,ci95_mean_probe_overhead,mean_mean_irreversible_commitment,ci95_mean_irreversible_commitment,mean_mean_plan_depth_blowup,ci95_mean_plan_depth_blowup,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,groups
deterministic_symbolic_tamp,nominal,0.456042,0.016429,0.221877,0.016317,0.164111,0.000365,0.130851,0.000274,0.120027,0.000253,0.181018,0.000276,0.071906,0.0002,0.119007,0.000433,0.106099,0.0,0.021546,0.0,0.081039,0.000297,0.099033,0.000351,0.325,0.018292,10
deterministic_symbolic_tamp,seen_shift,0.401458,0.017228,0.126613,0.016981,0.190985,0.000233,0.151441,0.000337,0.144724,0.000355,0.178495,0.000548,0.082909,0.000235,0.137035,0.00031,0.114633,0.0,0.028744,0.0,0.092909,0.000225,0.118784,0.000255,0.349792,0.01672,10
deterministic_symbolic_tamp,unseen_object,0.383542,0.016697,0.079064,0.015037,0.213336,0.000265,0.162542,0.000195,0.158932,0.000334,0.177677,0.000505,0.088998,0.000243,0.155052,0.000394,0.119005,0.0,0.032716,0.0,0.104288,0.000248,0.130488,0.000325,0.348125,0.017318,10
deterministic_symbolic_tamp,unseen_contact,0.370625,0.014965,0.058471,0.013662,0.221643,0.000514,0.173711,0.000304,0.172463,0.000134,0.176895,0.000363,0.092617,0.000296,0.154008,0.000268,0.122366,0.0,0.036635,0.0,0.10249,0.000244,0.141279,0.000318,0.353125,0.017014,10
deterministic_symbolic_tamp,unseen_compliance,0.370833,0.017109,0.0598,0.015971,0.212188,0.000391,0.169964,0.000291,0.168868,0.000336,0.176406,0.000567,0.096605,0.00031,0.1552,0.000366,0.123101,0.0,0.035434,0.0,0.104977,0.000333,0.139391,0.000357,0.342083,0.018188,10
deterministic_symbolic_tamp,probe_latency,0.371458,0.013868,0.058195,0.013338,0.213849,0.000316,0.171802,0.000221,0.172135,0.000245,0.175985,0.000629,0.094374,0.000288,0.156773,0.000416,0.124141,0.0,0.036761,0.0,0.106448,0.000237,0.14315,0.000287,0.351667,0.016308,10
deterministic_symbolic_tamp,sensor_dropout,0.338125,0.008458,-0.013415,0.00861,0.248318,0.000401,0.211011,0.000403,0.214809,0.000325,0.173488,0.000532,0.097118,0.000153,0.175977,0.000466,0.127394,0.0,0.049726,0.0,0.107661,0.000292,0.174433,0.00025,0.382083,0.016538,10
deterministic_symbolic_tamp,heldout_combined_contact_uncertainty,0.32875,0.014606,-0.017921,0.011742,0.246747,0.000519,0.192328,0.000424,0.199515,0.000372,0.172754,0.000704,0.103712,0.000316,0.17676,0.000311,0.130043,0.0,0.043642,0.0,0.119182,0.000283,0.166526,0.00027,0.37875,0.013918,10
robust_geometric_tamp,nominal,0.522708,0.009038,0.307611,0.008927,0.136686,0.000232,0.117881,0.000177,0.109657,0.000258,0.24154,0.000587,0.058493,0.000362,0.10812,0.000232,0.234124,0.0,0.022576,0.0,0.068191,0.000354,0.090238,0.000268,0.26,0.011721,10
robust_geometric_tamp,seen_shift,0.473333,0.017901,0.223074,0.018043,0.159318,0.000286,0.135509,0.000228,0.130779,0.000331,0.238868,0.000367,0.066241,0.000331,0.12403,0.00023,0.243156,0.0,0.02878,0.0,0.077145,0.000251,0.107001,0.000249,0.2925,0.024144,10
robust_geometric_tamp,unseen_object,0.449375,0.013693,0.173718,0.013782,0.178856,0.000341,0.145193,0.00031,0.142756,0.000245,0.238045,0.000856,0.070501,0.000252,0.139334,0.000334,0.247822,0.0,0.032278,0.0,0.086185,0.000211,0.117116,0.000311,0.286042,0.013774,10
robust_geometric_tamp,unseen_contact,0.434167,0.018813,0.148893,0.01836,0.185653,0.000454,0.154985,0.000316,0.154106,0.000292,0.236058,0.000471,0.073266,0.000308,0.138726,0.000536,0.251381,0.0,0.035644,0.0,0.084466,0.000336,0.125828,0.000264,0.297083,0.017133,10
robust_geometric_tamp,unseen_compliance,0.440208,0.011929,0.156933,0.011183,0.177817,0.000263,0.151517,0.000186,0.15117,0.000219,0.23626,0.000804,0.076043,0.000235,0.139246,0.000363,0.252237,0.0,0.034786,0.0,0.086684,0.00024,0.124284,0.000278,0.281875,0.015615,10
robust_geometric_tamp,probe_latency,0.433958,0.012755,0.149149,0.01273,0.179563,0.000419,0.153436,0.000281,0.153694,0.000251,0.236022,0.000594,0.074436,0.000325,0.140772,0.000297,0.253911,0.0,0.03703,0.0,0.087491,0.000347,0.127356,0.000219,0.299583,0.015636,10
robust_geometric_tamp,sensor_dropout,0.408958,0.01687,0.086143,0.016762,0.209737,0.000292,0.187139,0.000319,0.190139,0.000198,0.23261,0.00063,0.076277,0.000108,0.157724,0.000311,0.256768,0.0,0.04693,0.0,0.088702,0.000207,0.153599,0.000259,0.317292,0.019182,10
robust_geometric_tamp,heldout_combined_contact_uncertainty,0.387917,0.011816,0.067667,0.012544,0.207696,0.000341,0.17099,0.000313,0.177112,0.000247,0.233016,0.000643,0.081162,0.000235,0.158481,0.000361,0.259902,0.0,0.042442,0.0,0.097051,0.000235,0.146766,0.000333,0.326875,0.01093,10
receding_horizon_mpc,nominal,0.532083,0.014875,0.346229,0.014717,0.119637,0.00047,0.106856,0.000248,0.103793,0.000316,0.30304,0.000807,0.057095,0.00022,0.099745,0.00022,0.22086,0.0,0.024355,0.0,0.067431,0.000322,0.085331,0.000323,0.255,0.020947,10
receding_horizon_mpc,seen_shift,0.486875,0.014559,0.268633,0.014577,0.139533,0.000278,0.122556,0.000338,0.12276,0.000204,0.300179,0.000549,0.064511,0.000259,0.113509,0.000358,0.230015,0.0,0.030348,0.0,0.076154,0.000268,0.100745,0.000183,0.277292,0.019167,10
receding_horizon_mpc,unseen_object,0.472083,0.022532,0.230645,0.022005,0.156212,0.000369,0.13113,0.000344,0.133337,0.000358,0.299204,0.000596,0.068534,0.000279,0.126967,0.000219,0.234806,0.0,0.033822,0.0,0.084514,0.000272,0.109765,0.000412,0.270625,0.019349,10
receding_horizon_mpc,unseen_contact,0.457708,0.020381,0.206926,0.019841,0.162287,0.00044,0.139581,0.000256,0.143658,0.000197,0.298202,0.000589,0.071176,0.000441,0.126617,0.000165,0.238436,0.0,0.037058,0.0,0.08323,0.000323,0.11777,0.000311,0.275625,0.019753,10
receding_horizon_mpc,unseen_compliance,0.461875,0.016492,0.213306,0.016178,0.155675,0.00034,0.136804,0.000178,0.141378,0.000113,0.2979,0.000715,0.074017,0.000301,0.126467,0.000236,0.239377,0.0,0.036455,0.0,0.085052,0.000227,0.116113,0.00035,0.264583,0.02066,10
receding_horizon_mpc,probe_latency,0.460417,0.011881,0.209503,0.01183,0.157215,0.00037,0.138066,0.000233,0.143669,0.000249,0.297618,0.00076,0.072389,0.000336,0.127916,0.00024,0.241857,0.0,0.040024,0.0,0.086394,0.000312,0.118651,0.000331,0.275208,0.013993,10
receding_horizon_mpc,sensor_dropout,0.451458,0.015603,0.165295,0.015163,0.183627,0.000289,0.168299,0.000251,0.176398,0.000162,0.294995,0.000795,0.074204,0.000257,0.143348,0.000342,0.244149,0.0,0.047965,0.0,0.087291,0.000267,0.14274,0.000243,0.281458,0.017657,10
receding_horizon_mpc,heldout_combined_contact_uncertainty,0.441667,0.013543,0.157102,0.013529,0.181107,0.000333,0.154011,0.000218,0.164458,0.000332,0.294411,0.000322,0.078852,0.000161,0.143966,0.000221,0.247621,0.0,0.044591,0.0,0.095699,0.000299,0.136994,0.00025,0.279583,0.017807,10
