variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.6000,0.4000,0.0115
observed_only_behavior_clone,nominal,1,600,0.5817,0.4183,0.0232
observed_only_behavior_clone,nominal,2,600,0.5917,0.4083,0.0075
observed_only_behavior_clone,nominal,3,600,0.5783,0.4217,0.0162
observed_only_behavior_clone,nominal,4,600,0.6067,0.3933,0.0050
observed_only_behavior_clone,nominal,5,600,0.6033,0.3967,0.0082
observed_only_behavior_clone,nominal,6,600,0.6067,0.3933,0.0012
observed_only_behavior_clone,hidden_mode_shift,0,600,0.4117,0.5883,0.0029
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4150,0.5850,0.0101
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4050,0.5950,0.0005
observed_only_behavior_clone,hidden_mode_shift,3,600,0.4350,0.5650,0.0202
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4217,0.5783,0.0003
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3683,0.6317,0.0471
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4167,0.5833,0.0091
observed_only_behavior_clone,embodiment_shift,0,600,0.4250,0.5750,0.0164
observed_only_behavior_clone,embodiment_shift,1,600,0.4383,0.5617,0.0194
observed_only_behavior_clone,embodiment_shift,2,600,0.4050,0.5950,0.0321
observed_only_behavior_clone,embodiment_shift,3,600,0.4500,0.5500,0.0026
observed_only_behavior_clone,embodiment_shift,4,600,0.4767,0.5233,0.0221
observed_only_behavior_clone,embodiment_shift,5,600,0.4317,0.5683,0.0164
observed_only_behavior_clone,embodiment_shift,6,600,0.4750,0.5250,0.0167
observed_only_behavior_clone,combined_stress,0,600,0.2983,0.7017,0.0254
observed_only_behavior_clone,combined_stress,1,600,0.3233,0.6767,0.0168
observed_only_behavior_clone,combined_stress,2,600,0.3133,0.6867,0.0062
observed_only_behavior_clone,combined_stress,3,600,0.3700,0.6300,0.0402
observed_only_behavior_clone,combined_stress,4,600,0.3200,0.6800,0.0170
observed_only_behavior_clone,combined_stress,5,600,0.3450,0.6550,0.0145
observed_only_behavior_clone,combined_stress,6,600,0.3233,0.6767,0.0174
data_augmentation_wam,nominal,0,600,0.6633,0.3367,0.0194
data_augmentation_wam,nominal,1,600,0.6267,0.3733,0.0144
data_augmentation_wam,nominal,2,600,0.6400,0.3600,0.0101
data_augmentation_wam,nominal,3,600,0.6667,0.3333,0.0114
data_augmentation_wam,nominal,4,600,0.6550,0.3450,0.0051
data_augmentation_wam,nominal,5,600,0.6800,0.3200,0.0271
data_augmentation_wam,nominal,6,600,0.6067,0.3933,0.0442
data_augmentation_wam,hidden_mode_shift,0,600,0.4800,0.5200,0.0136
data_augmentation_wam,hidden_mode_shift,1,600,0.4933,0.5067,0.0026
