risk_budget,method,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_fixed_risk_utility,ci95_fixed_risk_utility,mean_coverage,ci95_coverage,mean_risk_score,ci95_risk_score,mean_precondition_violation,ci95_precondition_violation,mean_damage_rate,ci95_damage_rate,mean_irreversible_commitment,ci95_irreversible_commitment,mean_wasted_action,ci95_wasted_action,groups
0.03,deterministic_symbolic_tamp,0,0.3,0.044027,-0.041281,0.043599,-0.052494,0.001811,0.0,0.0,0.162469,0.009056,0.245996,0.014373,0.103706,0.00597,0.118491,0.008999,0.176197,0.010683,80
0.03,deterministic_symbolic_tamp,1,0.316667,0.043331,-0.029725,0.047248,-0.052598,0.001823,0.0,0.0,0.162992,0.009117,0.246893,0.014449,0.103641,0.005971,0.118989,0.009039,0.177732,0.010787,80
0.03,deterministic_symbolic_tamp,2,0.347917,0.039921,-0.000546,0.043722,-0.052566,0.001828,0.0,0.0,0.162829,0.009139,0.247859,0.014526,0.102784,0.005935,0.119381,0.008831,0.176596,0.011015,80
0.03,deterministic_symbolic_tamp,3,0.354167,0.042455,-0.001723,0.04693,-0.052537,0.001818,0.0,0.0,0.162683,0.009091,0.247071,0.014584,0.103073,0.005972,0.118802,0.00887,0.176804,0.01073,80
0.03,deterministic_symbolic_tamp,4,0.364583,0.043909,0.009823,0.048926,-0.052547,0.001807,0.0,0.0,0.162733,0.009033,0.245873,0.014431,0.104473,0.005923,0.118927,0.008987,0.176725,0.010561,80
0.03,deterministic_symbolic_tamp,5,0.310417,0.042996,-0.034664,0.046263,-0.052482,0.001807,0.0,0.0,0.162411,0.009037,0.24569,0.014407,0.103733,0.005877,0.119329,0.008992,0.175961,0.010841,80
0.03,deterministic_symbolic_tamp,6,0.333333,0.050326,-0.01223,0.055469,-0.052686,0.00182,0.0,0.0,0.163429,0.009101,0.248138,0.014813,0.104327,0.005807,0.119368,0.008893,0.176981,0.010615,80
0.03,deterministic_symbolic_tamp,7,0.34375,0.048391,-0.003973,0.05243,-0.052637,0.001825,0.0,0.0,0.163185,0.009124,0.246823,0.014496,0.103931,0.005926,0.120169,0.009013,0.17646,0.010888,80
0.03,deterministic_symbolic_tamp,8,0.320833,0.046407,-0.02058,0.049055,-0.052595,0.001809,0.0,0.0,0.162975,0.009046,0.247053,0.014479,0.103896,0.005886,0.118971,0.008875,0.17702,0.010935,80
0.03,deterministic_symbolic_tamp,9,0.295833,0.041895,-0.044313,0.044048,-0.052573,0.001793,0.0,0.0,0.162865,0.008963,0.246071,0.014446,0.103551,0.00572,0.11939,0.008957,0.177124,0.010574,80
0.03,robust_geometric_tamp,0,0.404167,0.049232,0.087462,0.054357,-0.047362,0.001481,0.0,0.0,0.136812,0.007405,0.207234,0.012576,0.081099,0.004288,0.096641,0.00664,0.158399,0.009281,80
0.03,robust_geometric_tamp,1,0.404167,0.040998,0.080283,0.049492,-0.047394,0.001444,0.0,0.0,0.136971,0.007218,0.207931,0.012131,0.080545,0.004234,0.096741,0.006638,0.159197,0.008998,80
0.03,robust_geometric_tamp,2,0.402083,0.041781,0.080511,0.044585,-0.047393,0.001464,0.0,0.0,0.136964,0.00732,0.208246,0.012337,0.081086,0.004417,0.096858,0.006547,0.157322,0.009051,80
0.03,robust_geometric_tamp,3,0.370833,0.040668,0.047238,0.049944,-0.047405,0.001475,0.0,0.0,0.137024,0.007373,0.207423,0.012465,0.080811,0.004422,0.097141,0.006639,0.158801,0.009276,80
0.03,robust_geometric_tamp,4,0.4125,0.050652,0.097471,0.053965,-0.047487,0.001479,0.0,0.0,0.137436,0.007396,0.208447,0.012557,0.081621,0.004465,0.097456,0.006561,0.15867,0.009195,80
0.03,robust_geometric_tamp,5,0.375,0.045941,0.060324,0.047402,-0.047402,0.001455,0.0,0.0,0.137011,0.007274,0.207613,0.012536,0.08101,0.00417,0.09689,0.006623,0.159076,0.009028,80
0.03,robust_geometric_tamp,6,0.4,0.044485,0.078188,0.049361,-0.04744,0.001472,0.0,0.0,0.1372,0.007359,0.208201,0.012415,0.08118,0.004343,0.097265,0.006765,0.158648,0.009224,80
0.03,robust_geometric_tamp,7,0.358333,0.04505,0.035559,0.049677,-0.047435,0.001469,0.0,0.0,0.137174,0.007345,0.207609,0.012434,0.081878,0.004292,0.096661,0.00677,0.158797,0.009286,80
0.03,robust_geometric_tamp,8,0.366667,0.046634,0.046485,0.046572,-0.047448,0.00147,0.0,0.0,0.137242,0.00735,0.20767,0.012448,0.081325,0.004301,0.097825,0.006706,0.157908,0.009327,80
0.03,robust_geometric_tamp,9,0.385417,0.043717,0.063149,0.04914,-0.047326,0.001467,0.0,0.0,0.136629,0.007337,0.206583,0.012357,0.081062,0.004307,0.097034,0.006718,0.157988,0.009255,80
0.03,receding_horizon_mpc,0,0.4125,0.047201,0.126055,0.049202,-0.045227,0.001324,0.0,0.0,0.126133,0.006621,0.18106,0.010793,0.078665,0.004172,0.095896,0.006567,0.144346,0.007967,80
0.03,receding_horizon_mpc,1,0.4375,0.042056,0.150417,0.047092,-0.045312,0.001322,0.0,0.0,0.126561,0.00661,0.181583,0.010778,0.07936,0.004052,0.095859,0.006628,0.144425,0.00806,80
0.03,receding_horizon_mpc,2,0.466667,0.047353,0.181567,0.053291,-0.045301,0.001339,0.0,0.0,0.126503,0.006697,0.181918,0.010763,0.079301,0.004224,0.095593,0.006497,0.143746,0.008168,80
0.03,receding_horizon_mpc,3,0.402083,0.047457,0.118555,0.051735,-0.045157,0.001338,0.0,0.0,0.125785,0.006691,0.180563,0.010706,0.078646,0.004259,0.095783,0.006729,0.143578,0.008136,80
0.03,receding_horizon_mpc,4,0.439583,0.042003,0.154379,0.042887,-0.045157,0.001325,0.0,0.0,0.125783,0.006627,0.181134,0.01078,0.078679,0.004121,0.094615,0.006404,0.143545,0.007989,80
0.03,receding_horizon_mpc,5,0.460417,0.046214,0.174895,0.050998,-0.045259,0.001319,0.0,0.0,0.126295,0.006596,0.181466,0.01056,0.078769,0.004174,0.095702,0.006496,0.144393,0.008226,80
0.03,receding_horizon_mpc,6,0.435417,0.044063,0.153036,0.050049,-0.045249,0.001336,0.0,0.0,0.126243,0.006678,0.181548,0.010841,0.078701,0.004045,0.095824,0.006497,0.143658,0.008421,80
0.03,receding_horizon_mpc,7,0.441667,0.047955,0.158921,0.054833,-0.045263,0.001325,0.0,0.0,0.126317,0.006624,0.181055,0.010605,0.078855,0.004155,0.096586,0.006584,0.143732,0.008141,80
0.03,receding_horizon_mpc,8,0.46875,0.038588,0.183338,0.040859,-0.045174,0.001333,0.0,0.0,0.125871,0.006665,0.180275,0.010855,0.078775,0.004168,0.095577,0.006315,0.143994,0.008304,80
