ablation,task,regime,split,seed,episodes,success,success_probability,precondition_violation,belief_ece,recovery_success,damage_rate,wasted_action,intervention_cost,data_efficiency_proxy
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,4,84,0.7024,0.5705,0.066,0.0745,0.5666,0.0452,0.0715,0.2161,0.5946
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,5,84,0.5238,0.5615,0.0688,0.0754,0.5742,0.0467,0.0778,0.2161,0.6114
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,6,84,0.5595,0.5676,0.0567,0.0711,0.5657,0.0471,0.0864,0.2161,0.6094
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,0,84,0.7024,0.5735,0.0475,0.0718,0.5828,0.0456,0.0763,0.2152,0.6173
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,1,84,0.5119,0.5664,0.0465,0.0647,0.5637,0.0379,0.0834,0.2152,0.6054
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,2,84,0.5595,0.5555,0.0536,0.0713,0.5489,0.0431,0.0859,0.2152,0.6066
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,3,84,0.5952,0.5699,0.0479,0.0763,0.5709,0.0422,0.0814,0.2152,0.6291
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,4,84,0.4643,0.5608,0.0544,0.0657,0.5581,0.0523,0.0727,0.2152,0.6215
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,5,84,0.5357,0.5576,0.0513,0.075,0.5495,0.0444,0.0838,0.2152,0.6165
full_contact_belief_tamp,drawer_retrieval,release_uncertainty,combined_stress,6,84,0.6071,0.5588,0.0501,0.0639,0.5526,0.0521,0.0754,0.2152,0.6121
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,0,84,0.5714,0.5286,0.0822,0.0744,0.5542,0.042,0.095,0.2188,0.6107
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,1,84,0.5,0.5535,0.0792,0.0768,0.5579,0.0553,0.0967,0.2188,0.6068
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,2,84,0.6667,0.5428,0.082,0.0716,0.5375,0.047,0.093,0.2188,0.6025
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,3,84,0.6071,0.5481,0.0789,0.0804,0.5509,0.0482,0.0973,0.2188,0.6269
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,4,84,0.4167,0.5517,0.0831,0.0786,0.5676,0.0535,0.0913,0.2188,0.6304
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,5,84,0.5,0.5419,0.0823,0.08,0.5511,0.0454,0.1007,0.2188,0.6105
full_contact_belief_tamp,drawer_retrieval,combined_contact_uncertainty,combined_stress,6,84,0.5476,0.5548,0.0727,0.0784,0.5748,0.0395,0.0967,0.2188,0.6245
full_contact_belief_tamp,cable_routing,nominal,combined_stress,0,84,0.4762,0.5849,0.0136,0.0469,0.5585,0.0375,0.0495,0.2001,0.6157
full_contact_belief_tamp,cable_routing,nominal,combined_stress,1,84,0.4643,0.566,0.0227,0.0567,0.5532,0.0343,0.044,0.2001,0.6127
full_contact_belief_tamp,cable_routing,nominal,combined_stress,2,84,0.619,0.5886,0.0164,0.0466,0.5784,0.0333,0.0399,0.2001,0.6188
full_contact_belief_tamp,cable_routing,nominal,combined_stress,3,84,0.5714,0.5722,0.0203,0.0552,0.5815,0.0342,0.046,0.2001,0.6178
full_contact_belief_tamp,cable_routing,nominal,combined_stress,4,84,0.5357,0.5699,0.0157,0.0597,0.576,0.0348,0.0429,0.2001,0.6274
full_contact_belief_tamp,cable_routing,nominal,combined_stress,5,84,0.6071,0.5958,0.0255,0.0453,0.5574,0.0359,0.0474,0.2001,0.6205
full_contact_belief_tamp,cable_routing,nominal,combined_stress,6,84,0.6071,0.5881,0.0241,0.0504,0.5723,0.0372,0.0427,0.2001,0.6078
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,0,84,0.6548,0.5421,0.0614,0.0756,0.5573,0.0392,0.0671,0.2138,0.6257
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,1,84,0.5357,0.5364,0.0671,0.0646,0.5631,0.0492,0.0617,0.2138,0.6296
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,2,84,0.5595,0.5513,0.0678,0.0652,0.5671,0.0425,0.0612,0.2138,0.6235
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,3,84,0.5119,0.5544,0.0728,0.0718,0.5737,0.0413,0.0639,0.2138,0.6175
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,4,84,0.5357,0.5505,0.0629,0.0688,0.5682,0.0403,0.0698,0.2138,0.6103
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,5,84,0.5476,0.5514,0.0618,0.06,0.563,0.0412,0.0585,0.2138,0.6172
full_contact_belief_tamp,cable_routing,hidden_friction,combined_stress,6,84,0.5595,0.5568,0.0672,0.0743,0.5752,0.0401,0.0578,0.2138,0.6192
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,0,84,0.5714,0.5617,0.0521,0.0668,0.567,0.0427,0.0646,0.2147,0.6172
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,1,84,0.4881,0.5523,0.0489,0.0704,0.5527,0.0492,0.0717,0.2147,0.6175
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,2,84,0.6429,0.5547,0.0493,0.0751,0.558,0.0413,0.076,0.2147,0.6131
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,3,84,0.5952,0.5541,0.0427,0.0707,0.5711,0.0459,0.0757,0.2147,0.6089
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,4,84,0.4524,0.5549,0.0558,0.0688,0.5471,0.0426,0.0775,0.2147,0.6113
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,5,84,0.5476,0.5613,0.0575,0.0708,0.5697,0.0474,0.0701,0.2147,0.6247
full_contact_belief_tamp,cable_routing,pose_ambiguity,combined_stress,6,84,0.5119,0.5537,0.0518,0.0699,0.5584,0.0392,0.0755,0.2147,0.6175
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,0,84,0.5357,0.5349,0.0669,0.0708,0.5635,0.0456,0.0766,0.2156,0.62
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,1,84,0.5476,0.5427,0.0633,0.0737,0.5551,0.0441,0.0727,0.2156,0.6165
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,2,84,0.5238,0.5553,0.058,0.0727,0.5775,0.0466,0.0871,0.2156,0.6144
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,3,84,0.5833,0.5459,0.0649,0.0676,0.5522,0.047,0.0715,0.2156,0.6215
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,4,84,0.5,0.5469,0.0612,0.0774,0.5728,0.0433,0.0768,0.2156,0.6216
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,5,84,0.5357,0.5395,0.0725,0.0746,0.5627,0.0506,0.0852,0.2156,0.6163
full_contact_belief_tamp,cable_routing,compliance_ambiguity,combined_stress,6,84,0.4286,0.544,0.0508,0.0662,0.559,0.0503,0.0791,0.2156,0.6189
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,0,84,0.4524,0.5341,0.0633,0.0679,0.5613,0.052,0.0841,0.2161,0.6253
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,1,84,0.5833,0.5564,0.0779,0.0727,0.5719,0.0489,0.0765,0.2161,0.6119
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,2,84,0.5,0.5376,0.0588,0.073,0.5583,0.0475,0.0787,0.2161,0.6105
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,3,84,0.5714,0.5572,0.0636,0.0693,0.5575,0.0507,0.0857,0.2161,0.6283
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,4,84,0.4762,0.5516,0.0677,0.0687,0.56,0.0437,0.0817,0.2161,0.6236
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,5,84,0.5833,0.5304,0.0715,0.0734,0.5664,0.0554,0.0858,0.2161,0.6092
full_contact_belief_tamp,cable_routing,jamming_ambiguity,combined_stress,6,84,0.6548,0.554,0.0676,0.0812,0.5599,0.0452,0.0824,0.2161,0.6271
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,0,84,0.619,0.5295,0.0554,0.068,0.5669,0.0569,0.0816,0.2152,0.6265
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,1,84,0.5595,0.5474,0.0568,0.0675,0.5725,0.0486,0.0819,0.2152,0.6093
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,2,84,0.5595,0.5476,0.0587,0.0652,0.5771,0.049,0.0718,0.2152,0.6136
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,3,84,0.5238,0.5434,0.0523,0.0674,0.572,0.0472,0.087,0.2152,0.6096
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,4,84,0.5595,0.5396,0.049,0.0691,0.5576,0.0444,0.0757,0.2152,0.6021
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,5,84,0.4881,0.539,0.0577,0.0693,0.5662,0.0514,0.082,0.2152,0.6149
full_contact_belief_tamp,cable_routing,release_uncertainty,combined_stress,6,84,0.5595,0.5549,0.0558,0.0734,0.5767,0.0437,0.0851,0.2152,0.613
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,0,84,0.4643,0.5241,0.0829,0.0748,0.569,0.0584,0.0969,0.2188,0.6149
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,1,84,0.4405,0.5328,0.0858,0.0741,0.562,0.056,0.0953,0.2188,0.6359
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,2,84,0.5119,0.5286,0.0816,0.0773,0.5667,0.0475,0.1012,0.2188,0.6375
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,3,84,0.4524,0.5142,0.0766,0.0795,0.5628,0.0546,0.0967,0.2188,0.6135
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,4,84,0.5119,0.5116,0.084,0.079,0.5616,0.0564,0.1044,0.2188,0.6172
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,5,84,0.5952,0.5205,0.0863,0.0729,0.585,0.0586,0.0965,0.2188,0.6267
full_contact_belief_tamp,cable_routing,combined_contact_uncertainty,combined_stress,6,84,0.5714,0.5243,0.09,0.0783,0.5617,0.0527,0.0986,0.2188,0.6187
full_contact_belief_tamp,tool_levering,nominal,combined_stress,0,84,0.6071,0.5792,0.0325,0.0491,0.5687,0.0353,0.0414,0.2001,0.6149
full_contact_belief_tamp,tool_levering,nominal,combined_stress,1,84,0.6786,0.5898,0.0275,0.0563,0.5496,0.0455,0.0478,0.2001,0.6101
full_contact_belief_tamp,tool_levering,nominal,combined_stress,2,84,0.5833,0.5855,0.0308,0.0549,0.549,0.0335,0.0507,0.2001,0.6158
full_contact_belief_tamp,tool_levering,nominal,combined_stress,3,84,0.619,0.5686,0.0186,0.051,0.579,0.0359,0.0544,0.2001,0.6153
full_contact_belief_tamp,tool_levering,nominal,combined_stress,4,84,0.5,0.5869,0.0147,0.052,0.5577,0.0335,0.0516,0.2001,0.635
full_contact_belief_tamp,tool_levering,nominal,combined_stress,5,84,0.6071,0.5823,0.0288,0.0589,0.5579,0.0379,0.0452,0.2001,0.6223
full_contact_belief_tamp,tool_levering,nominal,combined_stress,6,84,0.5833,0.5758,0.0165,0.0508,0.562,0.0341,0.0401,0.2001,0.6202
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,0,84,0.5,0.5476,0.0689,0.0736,0.5487,0.0504,0.0698,0.2138,0.6091
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,1,84,0.5476,0.554,0.0653,0.0752,0.5471,0.0527,0.0726,0.2138,0.6156
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,2,84,0.5,0.5423,0.0638,0.0724,0.5542,0.0466,0.0569,0.2138,0.6156
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,3,84,0.4762,0.538,0.0696,0.0644,0.5372,0.0456,0.0727,0.2138,0.6228
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,4,84,0.5357,0.5537,0.0587,0.0678,0.5642,0.0473,0.0593,0.2138,0.6207
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,5,84,0.5833,0.535,0.0686,0.0616,0.5549,0.0429,0.0581,0.2138,0.6045
full_contact_belief_tamp,tool_levering,hidden_friction,combined_stress,6,84,0.4881,0.5549,0.0601,0.0705,0.5491,0.0471,0.0642,0.2138,0.6162
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,0,84,0.5952,0.5605,0.0525,0.0702,0.554,0.0452,0.0593,0.2147,0.6105
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,1,84,0.5714,0.5582,0.06,0.0659,0.5723,0.045,0.0738,0.2147,0.6221
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,2,84,0.631,0.5508,0.0568,0.0775,0.5433,0.0477,0.0705,0.2147,0.6209
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,3,84,0.5476,0.5575,0.0596,0.0634,0.5352,0.0429,0.0695,0.2147,0.6175
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,4,84,0.631,0.5592,0.0481,0.0687,0.5575,0.0405,0.0727,0.2147,0.6336
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,5,84,0.5833,0.5766,0.0519,0.061,0.5626,0.0489,0.0775,0.2147,0.6232
full_contact_belief_tamp,tool_levering,pose_ambiguity,combined_stress,6,84,0.5952,0.5477,0.0552,0.0584,0.5572,0.0514,0.0739,0.2147,0.622
full_contact_belief_tamp,tool_levering,compliance_ambiguity,combined_stress,0,84,0.5238,0.5495,0.06,0.0704,0.5507,0.0469,0.0897,0.2156,0.6043
