ablation,task,regime,split,seed,episodes,success,success_probability,precondition_violation,belief_ece,recovery_success,damage_rate,wasted_action,intervention_cost,data_efficiency_proxy
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,0,84,0.5595,0.5887,0.0143,0.0519,0.5857,0.0422,0.055,0.2001,0.6243
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,1,84,0.5952,0.5941,0.0157,0.0509,0.5427,0.0384,0.0528,0.2001,0.6044
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,2,84,0.5952,0.5807,0.0221,0.0496,0.5667,0.0349,0.0401,0.2001,0.6138
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,3,84,0.6667,0.5897,0.0237,0.0509,0.58,0.0399,0.0446,0.2001,0.6099
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,4,84,0.5476,0.5935,0.0221,0.048,0.5802,0.0412,0.0426,0.2001,0.6202
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,5,84,0.5357,0.5947,0.0278,0.0547,0.5685,0.0329,0.0483,0.2001,0.6151
full_contact_belief_tamp,peg_assembly,nominal,combined_stress,6,84,0.5357,0.5749,0.0207,0.053,0.5614,0.0354,0.0452,0.2001,0.6361
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,0,84,0.5476,0.5511,0.0689,0.0689,0.5416,0.0514,0.0638,0.2138,0.6102
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,1,84,0.5357,0.5625,0.0716,0.0633,0.5474,0.0401,0.0659,0.2138,0.6187
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,2,84,0.5595,0.5476,0.0559,0.0671,0.5496,0.0369,0.0704,0.2138,0.614
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,3,84,0.4881,0.5458,0.076,0.0672,0.5322,0.0489,0.0687,0.2138,0.6168
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,4,84,0.5238,0.5398,0.0617,0.0613,0.5627,0.0535,0.0697,0.2138,0.6172
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,5,84,0.6071,0.5501,0.0764,0.0707,0.5617,0.0438,0.0697,0.2138,0.6097
full_contact_belief_tamp,peg_assembly,hidden_friction,combined_stress,6,84,0.5119,0.5601,0.0592,0.0624,0.5636,0.0413,0.0662,0.2138,0.6256
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,0,84,0.5,0.5534,0.0485,0.0644,0.5459,0.0432,0.0742,0.2147,0.6189
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,1,84,0.6071,0.5598,0.0501,0.0576,0.5565,0.0507,0.0867,0.2147,0.6045
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,2,84,0.631,0.5621,0.0564,0.0729,0.5668,0.0489,0.0732,0.2147,0.6308
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,3,84,0.6071,0.5655,0.0565,0.0682,0.549,0.0418,0.0562,0.2147,0.6317
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,4,84,0.5952,0.5675,0.0532,0.077,0.5659,0.0504,0.0808,0.2147,0.6158
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,5,84,0.5714,0.5594,0.0502,0.0711,0.5472,0.0477,0.0603,0.2147,0.6262
full_contact_belief_tamp,peg_assembly,pose_ambiguity,combined_stress,6,84,0.6429,0.5483,0.0548,0.0669,0.5575,0.0385,0.0738,0.2147,0.6066
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,0,84,0.5595,0.5462,0.0612,0.0693,0.5455,0.0515,0.081,0.2156,0.6283
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,1,84,0.5238,0.549,0.0661,0.0678,0.5442,0.0508,0.0766,0.2156,0.6123
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,2,84,0.5833,0.5516,0.0639,0.072,0.5497,0.0559,0.0836,0.2156,0.6194
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,3,84,0.5476,0.545,0.0561,0.0672,0.5544,0.0469,0.0799,0.2156,0.6205
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,4,84,0.5119,0.5555,0.0601,0.0724,0.5557,0.0463,0.08,0.2156,0.6178
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,5,84,0.5714,0.5372,0.0763,0.0734,0.555,0.0439,0.074,0.2156,0.6187
full_contact_belief_tamp,peg_assembly,compliance_ambiguity,combined_stress,6,84,0.6548,0.545,0.064,0.0759,0.5577,0.0488,0.0789,0.2156,0.6154
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,0,84,0.5833,0.5417,0.0791,0.0725,0.5658,0.0496,0.0873,0.2161,0.6133
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,1,84,0.631,0.5426,0.0699,0.071,0.5553,0.0496,0.0828,0.2161,0.6153
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,2,84,0.5833,0.5326,0.0732,0.0787,0.5512,0.049,0.0911,0.2161,0.6021
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,3,84,0.5119,0.5489,0.0739,0.0717,0.5621,0.0478,0.092,0.2161,0.6253
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,4,84,0.4524,0.5448,0.0635,0.0688,0.544,0.0595,0.0854,0.2161,0.6126
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,5,84,0.5952,0.543,0.0625,0.0787,0.5626,0.0518,0.0843,0.2161,0.6175
full_contact_belief_tamp,peg_assembly,jamming_ambiguity,combined_stress,6,84,0.5119,0.5316,0.0645,0.07,0.5608,0.0603,0.0806,0.2161,0.6125
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,0,84,0.4762,0.5527,0.0605,0.0634,0.5664,0.0561,0.0801,0.2152,0.6275
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,1,84,0.5119,0.5523,0.0448,0.0749,0.5586,0.0496,0.0856,0.2152,0.6131
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,2,84,0.5,0.5486,0.0526,0.0623,0.5618,0.0535,0.0714,0.2152,0.6226
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,3,84,0.5476,0.5411,0.059,0.0681,0.5671,0.0564,0.0839,0.2152,0.6159
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,4,84,0.5119,0.5532,0.0538,0.0706,0.5512,0.0453,0.0875,0.2152,0.6145
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,5,84,0.5833,0.5469,0.0555,0.0701,0.5387,0.0529,0.0807,0.2152,0.626
full_contact_belief_tamp,peg_assembly,release_uncertainty,combined_stress,6,84,0.6786,0.541,0.0499,0.0706,0.5579,0.05,0.0763,0.2152,0.6111
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,0,84,0.5714,0.5181,0.0968,0.0774,0.5367,0.0589,0.1013,0.2188,0.6049
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,1,84,0.5357,0.5139,0.0921,0.0771,0.5606,0.0614,0.1038,0.2188,0.6184
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,2,84,0.5119,0.5141,0.0952,0.0807,0.5609,0.0577,0.0948,0.2188,0.6098
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,3,84,0.5238,0.5288,0.0903,0.0749,0.5429,0.055,0.1021,0.2188,0.6162
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,4,84,0.5357,0.5267,0.0877,0.0729,0.5661,0.0546,0.0959,0.2188,0.6161
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,5,84,0.5833,0.5237,0.089,0.0804,0.5363,0.0515,0.0938,0.2188,0.6196
full_contact_belief_tamp,peg_assembly,combined_contact_uncertainty,combined_stress,6,84,0.5357,0.5296,0.0881,0.0752,0.5501,0.0522,0.095,0.2188,0.6138
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,0,84,0.5476,0.6028,0.0199,0.058,0.5816,0.0361,0.0422,0.2001,0.6181
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,1,84,0.5476,0.6025,0.0184,0.0526,0.5671,0.0363,0.0491,0.2001,0.6115
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,2,84,0.631,0.606,0.0237,0.0463,0.5669,0.0375,0.0428,0.2001,0.6211
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,3,84,0.7024,0.6156,0.0123,0.0553,0.5798,0.0381,0.039,0.2001,0.6111
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,4,84,0.619,0.5967,0.0203,0.0529,0.5847,0.0345,0.0497,0.2001,0.6201
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,5,84,0.6071,0.6027,0.0197,0.0518,0.5583,0.0409,0.0444,0.2001,0.6225
full_contact_belief_tamp,drawer_retrieval,nominal,combined_stress,6,84,0.5952,0.5959,0.0192,0.0517,0.5737,0.0356,0.0381,0.2001,0.6134
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,0,84,0.5595,0.5583,0.061,0.0729,0.5658,0.0354,0.0641,0.2138,0.6175
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,1,84,0.631,0.5747,0.0646,0.076,0.5674,0.0451,0.0695,0.2138,0.6341
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,2,84,0.5476,0.5621,0.0656,0.072,0.5523,0.047,0.063,0.2138,0.621
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,3,84,0.5833,0.5655,0.0608,0.0741,0.5786,0.0432,0.0632,0.2138,0.6119
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,4,84,0.5357,0.5828,0.0594,0.0615,0.5392,0.0416,0.0606,0.2138,0.6125
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,5,84,0.6071,0.5601,0.0691,0.0715,0.555,0.0426,0.0626,0.2138,0.6039
full_contact_belief_tamp,drawer_retrieval,hidden_friction,combined_stress,6,84,0.5714,0.5769,0.0652,0.0757,0.5553,0.0389,0.063,0.2138,0.6124
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,0,84,0.631,0.5741,0.0525,0.069,0.575,0.045,0.0695,0.2147,0.6178
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,1,84,0.619,0.5774,0.0486,0.0708,0.5564,0.0362,0.0678,0.2147,0.6195
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,2,84,0.5952,0.5696,0.0477,0.0693,0.5736,0.0379,0.0745,0.2147,0.6135
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,3,84,0.6071,0.5813,0.0587,0.0768,0.565,0.0496,0.0724,0.2147,0.6112
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,4,84,0.6429,0.5695,0.053,0.0772,0.5737,0.0414,0.0592,0.2147,0.6231
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,5,84,0.631,0.5675,0.0543,0.0674,0.561,0.0456,0.0652,0.2147,0.6187
full_contact_belief_tamp,drawer_retrieval,pose_ambiguity,combined_stress,6,84,0.7024,0.5713,0.0514,0.0705,0.5609,0.0417,0.0732,0.2147,0.6072
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,0,84,0.5,0.5753,0.0541,0.0722,0.5468,0.0444,0.0835,0.2156,0.6207
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,1,84,0.5238,0.5665,0.0596,0.0657,0.5665,0.0437,0.0733,0.2156,0.6078
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,2,84,0.5357,0.5686,0.0604,0.0773,0.558,0.0367,0.0812,0.2156,0.6218
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,3,84,0.5476,0.5608,0.0547,0.0706,0.5598,0.05,0.0809,0.2156,0.6223
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,4,84,0.5595,0.5686,0.059,0.0697,0.5617,0.0461,0.0755,0.2156,0.617
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,5,84,0.5714,0.5676,0.0558,0.0748,0.5628,0.0418,0.0764,0.2156,0.6297
full_contact_belief_tamp,drawer_retrieval,compliance_ambiguity,combined_stress,6,84,0.6667,0.5759,0.0582,0.0761,0.5511,0.0478,0.0728,0.2156,0.6144
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,0,84,0.5476,0.5637,0.0673,0.0713,0.5659,0.0403,0.0822,0.2161,0.6007
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,1,84,0.5595,0.5601,0.0611,0.0691,0.5555,0.0486,0.0807,0.2161,0.6044
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,2,84,0.5,0.5569,0.068,0.0701,0.581,0.0492,0.086,0.2161,0.6294
full_contact_belief_tamp,drawer_retrieval,jamming_ambiguity,combined_stress,3,84,0.4881,0.5619,0.0684,0.0775,0.5534,0.0403,0.0762,0.2161,0.6208
