ablation,mean_mean_success,ci95_mean_success,mean_mean_utility,ci95_mean_utility,mean_mean_precondition_violation,ci95_mean_precondition_violation,mean_mean_belief_ece,ci95_mean_belief_ece,mean_mean_branch_entropy_error,ci95_mean_branch_entropy_error,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_damage_rate,ci95_mean_damage_rate,mean_mean_wasted_action,ci95_mean_wasted_action,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_probe_overhead,ci95_mean_probe_overhead,mean_mean_irreversible_commitment,ci95_mean_irreversible_commitment,mean_mean_plan_depth_blowup,ci95_mean_plan_depth_blowup,groups,interpretation
full_contact_belief_branch_audit_v5,0.633333,0.017642,0.615613,0.017614,0.018463,0.000281,0.026025,0.000286,0.056974,0.000171,0.575181,0.000535,0.025266,0.000245,0.046894,0.000375,0.223011,0.0,0.044707,0.0,0.033743,0.000263,0.04386,0.000305,10,all components
minus_contact_belief_state,0.580833,0.010953,0.453715,0.011106,0.093041,0.00034,0.111909,0.000216,0.12489,0.000253,0.508911,0.000952,0.036694,0.000323,0.091322,0.000192,0.227009,0.0,0.059462,0.0,0.045626,0.000174,0.093863,0.000282,10,collapses uncertain contact outcomes into Boolean preconditions
minus_recovery_affordance_graph,0.58375,0.00888,0.487562,0.008942,0.060031,0.000394,0.044752,0.000242,0.080377,0.000374,0.423122,0.000566,0.036247,0.000346,0.080759,0.000417,0.206609,0.0,0.05295,0.0,0.045569,0.000265,0.071706,0.000232,10,cannot plan repair branches after failed contact
minus_contact_probe_selector,0.591458,0.01627,0.525851,0.016179,0.048588,0.000332,0.075051,0.000265,0.088313,0.000284,0.51341,0.000493,0.036152,0.00024,0.065215,0.000296,0.181634,0.0,0.027439,0.0,0.045513,0.000222,0.068755,0.000263,10,does not reduce uncertainty before irreversible steps
minus_chance_constraint,0.599583,0.014338,0.5287,0.014323,0.062533,0.00038,0.044631,0.000255,0.071201,0.000283,0.575496,0.000548,0.053966,0.000203,0.056109,0.000272,0.197007,0.0,0.05295,0.0,0.064437,0.000221,0.05782,0.000269,10,over-commits to risky contact branches
minus_damage_model,0.612708,0.015003,0.549865,0.01485,0.03543,0.000305,0.044767,0.000141,0.071106,0.000239,0.57515,0.000811,0.066911,0.000354,0.059206,0.000212,0.197007,0.0,0.05295,0.0,0.061445,0.000225,0.057926,0.000252,10,ignores irreversible side effects
minus_branch_budget,0.618125,0.013948,0.549454,0.013857,0.03553,0.00031,0.044481,0.000248,0.087274,0.000348,0.541582,0.000758,0.036063,0.000223,0.078416,0.000409,0.206609,0.0,0.05295,0.0,0.060963,0.000336,0.081624,0.000234,10,lets contact branch search explode under uncertainty
minus_entropy_calibration,0.599792,0.014294,0.504832,0.014186,0.06628,0.000303,0.09096,0.000242,0.136795,0.000304,0.551496,0.000691,0.036566,0.000269,0.068249,0.00048,0.211009,0.0,0.06479,0.0,0.045629,0.000315,0.102994,0.000225,10,uses belief mass without calibrated entropy
minus_irreversible_resource_accounting,0.607083,0.012507,0.548373,0.012393,0.0355,0.000319,0.044401,0.000385,0.07086,0.00038,0.575888,0.000695,0.047445,0.000267,0.064755,0.000407,0.192874,0.0,0.05295,0.0,0.078348,0.000235,0.057864,0.000247,10,does not count consumed recovery affordances
v4_only_contact_belief_tamp,0.568333,0.016668,0.472376,0.016686,0.062345,0.000389,0.067953,0.000267,0.09826,0.000224,0.517155,0.000533,0.045372,0.00031,0.073228,0.000318,0.215839,0.0,0.048264,0.0,0.061648,0.000326,0.080701,0.000286,10,previous contact-belief planner without v5 branch audit
