method,split,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,mean_regret_to_oracle,ci95_regret_to_oracle,groups
deterministic_symbolic_tamp,nominal,0,0.502083,0.043678,0.267328,0.048842,0.163651,0.008848,0.130528,0.005888,0.120054,0.004805,0.180993,0.002295,0.072336,0.003695,0.119336,0.006218,0.106099,0.000466,0.021546,0.0,0.081156,0.005137,0.097959,0.004544,0.277083,0.044992,80
deterministic_symbolic_tamp,nominal,1,0.464583,0.042582,0.229749,0.045838,0.164105,0.008599,0.130137,0.006149,0.119666,0.004833,0.180856,0.002719,0.07201,0.003454,0.119193,0.006267,0.106099,0.000466,0.021546,0.0,0.080636,0.00513,0.099188,0.004631,0.314583,0.05099,80
deterministic_symbolic_tamp,nominal,2,0.445833,0.04417,0.211342,0.046477,0.164521,0.008637,0.131354,0.006071,0.120134,0.004771,0.180428,0.002477,0.071841,0.003349,0.119909,0.006237,0.106099,0.000466,0.021546,0.0,0.081224,0.005016,0.098055,0.004789,0.341667,0.051618,80
deterministic_symbolic_tamp,nominal,3,0.435417,0.044444,0.201946,0.047209,0.163072,0.008518,0.131278,0.00627,0.120301,0.004632,0.181465,0.002547,0.071973,0.003685,0.119704,0.006245,0.106099,0.000466,0.021546,0.0,0.08046,0.005029,0.099386,0.004427,0.333333,0.054513,80
deterministic_symbolic_tamp,nominal,4,0.45,0.049786,0.217693,0.054056,0.163392,0.008458,0.130802,0.006129,0.119687,0.004722,0.180673,0.00226,0.071455,0.003384,0.11868,0.006338,0.106099,0.000466,0.021546,0.0,0.080704,0.005281,0.099389,0.004558,0.339583,0.05795,80
deterministic_symbolic_tamp,nominal,5,0.445833,0.048192,0.210911,0.050776,0.164285,0.008535,0.131116,0.006074,0.119898,0.004721,0.180612,0.002525,0.07141,0.003373,0.119003,0.006233,0.106099,0.000466,0.021546,0.0,0.081228,0.005069,0.099192,0.004559,0.327083,0.049801,80
deterministic_symbolic_tamp,nominal,6,0.49375,0.046287,0.259696,0.049495,0.164,0.008595,0.130687,0.006178,0.12099,0.00488,0.181698,0.002404,0.071752,0.003683,0.119469,0.006302,0.106099,0.000466,0.021546,0.0,0.081857,0.005039,0.099649,0.004451,0.283333,0.046995,80
deterministic_symbolic_tamp,nominal,7,0.414583,0.045384,0.180189,0.049938,0.164691,0.008465,0.131346,0.005959,0.119878,0.004833,0.181342,0.002596,0.072235,0.003426,0.117461,0.006358,0.106099,0.000466,0.021546,0.0,0.080744,0.005188,0.099209,0.004557,0.35,0.055617,80
deterministic_symbolic_tamp,nominal,8,0.466667,0.048411,0.23197,0.052545,0.164482,0.008582,0.130998,0.006052,0.120084,0.004874,0.181477,0.002576,0.072272,0.003624,0.118643,0.006186,0.106099,0.000466,0.021546,0.0,0.080653,0.005144,0.099021,0.004505,0.310417,0.050908,80
deterministic_symbolic_tamp,nominal,9,0.441667,0.048306,0.207949,0.052171,0.164907,0.008242,0.130265,0.006246,0.119583,0.004734,0.180637,0.002615,0.071775,0.00353,0.118668,0.006032,0.106099,0.000466,0.021546,0.0,0.081723,0.005263,0.099284,0.004764,0.372917,0.055812,80
deterministic_symbolic_tamp,seen_shift,0,0.395833,0.044399,0.118967,0.049478,0.190918,0.010473,0.151587,0.007409,0.144626,0.005623,0.177767,0.002803,0.083251,0.004418,0.137186,0.007499,0.114633,0.000577,0.028744,0.0,0.092706,0.006227,0.119384,0.00549,0.345833,0.051903,80
deterministic_symbolic_tamp,seen_shift,1,0.379167,0.042693,0.107384,0.046257,0.191439,0.010619,0.151529,0.007627,0.145299,0.00581,0.178818,0.002445,0.082528,0.004247,0.137331,0.007855,0.114633,0.000577,0.028744,0.0,0.093394,0.006284,0.118718,0.005331,0.358333,0.052974,80
deterministic_symbolic_tamp,seen_shift,2,0.3875,0.046407,0.110781,0.052541,0.191466,0.010568,0.151011,0.007363,0.143684,0.005782,0.180295,0.00267,0.082988,0.004377,0.137812,0.00766,0.114633,0.000577,0.028744,0.0,0.092892,0.006213,0.119122,0.005716,0.379167,0.057226,80
deterministic_symbolic_tamp,seen_shift,3,0.389583,0.045366,0.115421,0.04816,0.191053,0.010598,0.151214,0.007391,0.144588,0.00566,0.178075,0.002493,0.083563,0.004179,0.136972,0.007625,0.114633,0.000577,0.028744,0.0,0.093655,0.006281,0.118654,0.005406,0.360417,0.060235,80
deterministic_symbolic_tamp,seen_shift,4,0.347917,0.042383,0.075183,0.043846,0.190835,0.010601,0.151684,0.007751,0.145545,0.005801,0.177282,0.002912,0.082799,0.004474,0.137202,0.007567,0.114633,0.000577,0.028744,0.0,0.09295,0.006302,0.117906,0.00552,0.397917,0.051812,80
deterministic_symbolic_tamp,seen_shift,5,0.420833,0.044247,0.143482,0.049624,0.190796,0.010292,0.151259,0.007527,0.145042,0.005665,0.177874,0.002062,0.083351,0.004331,0.137294,0.007375,0.114633,0.000577,0.028744,0.0,0.092788,0.006391,0.118567,0.005466,0.314583,0.055127,80
deterministic_symbolic_tamp,seen_shift,6,0.420833,0.046115,0.146952,0.051363,0.191045,0.01053,0.150308,0.00729,0.144022,0.00581,0.179479,0.002616,0.08293,0.004525,0.136176,0.00765,0.114633,0.000577,0.028744,0.0,0.092932,0.006386,0.119239,0.005399,0.3375,0.048957,80
deterministic_symbolic_tamp,seen_shift,7,0.439583,0.046939,0.166956,0.049301,0.190663,0.010394,0.151816,0.00741,0.14518,0.005676,0.178769,0.002598,0.082458,0.004269,0.137367,0.007552,0.114633,0.000577,0.028744,0.0,0.092705,0.006243,0.118763,0.005408,0.360417,0.048426,80
