stress_level,method,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,groups
0.0,conformal_risk_tamp,0,0.558333,0.044294,0.400129,0.045044,0.094394,0.005221,0.089648,0.003527,0.094517,0.00317,0.337983,0.00247,0.043797,0.001716,0.089579,0.003967,0.279031,0.000642,0.023754,0.0,0.054162,0.002758,0.077853,0.003081,80
0.0,conformal_risk_tamp,1,0.572917,0.047865,0.414059,0.048756,0.093996,0.00521,0.089297,0.003622,0.0938,0.003265,0.336335,0.002785,0.045288,0.001704,0.089645,0.004128,0.279031,0.000642,0.023754,0.0,0.054204,0.002675,0.077582,0.002983,80
0.0,conformal_risk_tamp,2,0.552083,0.045235,0.394098,0.046771,0.093423,0.005273,0.08848,0.003601,0.09397,0.0031,0.338878,0.002172,0.045072,0.001701,0.089875,0.00431,0.279031,0.000642,0.023754,0.0,0.054104,0.002417,0.077645,0.003164,80
0.0,conformal_risk_tamp,3,0.5625,0.042455,0.404147,0.044015,0.094449,0.005256,0.088538,0.003518,0.093992,0.003132,0.340105,0.002338,0.045099,0.001796,0.08988,0.004239,0.279031,0.000642,0.023754,0.0,0.054012,0.002561,0.077701,0.003028,80
0.0,conformal_risk_tamp,4,0.589583,0.044992,0.431149,0.046013,0.093485,0.005251,0.089182,0.003457,0.093686,0.003266,0.338653,0.002424,0.04484,0.001715,0.090298,0.004167,0.279031,0.000642,0.023754,0.0,0.054546,0.002436,0.078423,0.003242,80
0.0,conformal_risk_tamp,5,0.56875,0.042976,0.410507,0.044232,0.093786,0.005441,0.089433,0.003676,0.094333,0.0031,0.338531,0.002341,0.04501,0.00173,0.088913,0.004171,0.279031,0.000642,0.023754,0.0,0.05445,0.002575,0.078193,0.003118,80
0.0,conformal_risk_tamp,6,0.5625,0.047344,0.404655,0.048293,0.092956,0.005372,0.088074,0.003502,0.094183,0.003186,0.339753,0.002553,0.045526,0.001645,0.09015,0.00431,0.279031,0.000642,0.023754,0.0,0.053842,0.002528,0.077821,0.003191,80
0.0,conformal_risk_tamp,7,0.60625,0.039942,0.447836,0.040407,0.093309,0.00514,0.088947,0.003462,0.094701,0.003098,0.339687,0.002372,0.045782,0.001685,0.090233,0.004209,0.279031,0.000642,0.023754,0.0,0.053869,0.002561,0.077929,0.002984,80
0.0,conformal_risk_tamp,8,0.5625,0.044399,0.40432,0.046047,0.094303,0.005395,0.088438,0.003566,0.093898,0.003236,0.339525,0.002315,0.044982,0.001838,0.089509,0.004114,0.279031,0.000642,0.023754,0.0,0.054108,0.002597,0.077696,0.002879,80
0.0,conformal_risk_tamp,9,0.520833,0.047344,0.362761,0.048659,0.092425,0.00524,0.088589,0.003527,0.094603,0.003277,0.337473,0.002409,0.044789,0.0017,0.090821,0.004124,0.279031,0.000642,0.023754,0.0,0.054415,0.002479,0.077759,0.003033,80
0.0,contingent_pomdp_tamp,0,0.566667,0.047424,0.448896,0.048979,0.076467,0.004049,0.074471,0.002973,0.083013,0.002359,0.435723,0.002736,0.043646,0.001529,0.074317,0.003008,0.264277,0.000612,0.028122,0.0,0.052061,0.002466,0.06764,0.002277,80
0.0,contingent_pomdp_tamp,1,0.614583,0.045235,0.498598,0.045898,0.074408,0.004261,0.074709,0.002804,0.082669,0.002468,0.437215,0.002462,0.04337,0.00149,0.073591,0.002936,0.264277,0.000612,0.028122,0.0,0.052392,0.002491,0.067263,0.002047,80
0.0,contingent_pomdp_tamp,2,0.566667,0.04294,0.44985,0.043263,0.074796,0.004309,0.07492,0.002765,0.083034,0.002228,0.434828,0.002309,0.043571,0.001557,0.074766,0.003009,0.264277,0.000612,0.028122,0.0,0.051037,0.002236,0.067186,0.002321,80
0.0,contingent_pomdp_tamp,3,0.604167,0.042455,0.487143,0.043077,0.076006,0.004157,0.074456,0.003012,0.083078,0.002429,0.437839,0.002586,0.043625,0.001793,0.074774,0.002934,0.264277,0.000612,0.028122,0.0,0.051482,0.002402,0.066986,0.002265,80
0.0,contingent_pomdp_tamp,4,0.572917,0.045699,0.454554,0.046504,0.076173,0.004195,0.075302,0.003008,0.082519,0.002278,0.435629,0.002312,0.044927,0.001554,0.074167,0.002962,0.264277,0.000612,0.028122,0.0,0.052412,0.002348,0.067676,0.002252,80
0.0,contingent_pomdp_tamp,5,0.616667,0.044409,0.498908,0.045673,0.075076,0.00423,0.076067,0.002813,0.083829,0.002253,0.434573,0.00265,0.043785,0.001615,0.074071,0.002975,0.264277,0.000612,0.028122,0.0,0.052951,0.002333,0.067789,0.002327,80
0.0,contingent_pomdp_tamp,6,0.58125,0.044634,0.464155,0.045595,0.074824,0.004197,0.07541,0.003058,0.082951,0.002354,0.434688,0.00287,0.043694,0.001522,0.074622,0.002838,0.264277,0.000612,0.028122,0.0,0.051973,0.002436,0.066819,0.002076,80
0.0,contingent_pomdp_tamp,7,0.639583,0.042482,0.5221,0.043437,0.074547,0.003967,0.075505,0.002927,0.082197,0.002435,0.436606,0.002398,0.044588,0.001567,0.07546,0.003018,0.264277,0.000612,0.028122,0.0,0.052221,0.002317,0.06743,0.002019,80
0.0,contingent_pomdp_tamp,8,0.5875,0.045748,0.469348,0.046738,0.075665,0.004345,0.075359,0.002964,0.082366,0.002269,0.433195,0.002854,0.043498,0.001565,0.075609,0.002811,0.264277,0.000612,0.028122,0.0,0.052019,0.00227,0.067521,0.002099,80
0.0,contingent_pomdp_tamp,9,0.595833,0.042614,0.478968,0.04382,0.074331,0.004168,0.075256,0.002945,0.082753,0.002207,0.436547,0.002691,0.04428,0.001635,0.073591,0.002982,0.264277,0.000612,0.028122,0.0,0.053034,0.002328,0.067731,0.002351,80
0.0,risk_aware_tamp,0,0.595833,0.045303,0.467057,0.045077,0.075989,0.004206,0.078486,0.003075,0.086814,0.002538,0.402842,0.002458,0.039451,0.001306,0.078818,0.003402,0.296483,0.00066,0.026204,0.0,0.047041,0.00177,0.070617,0.002598,80
0.0,risk_aware_tamp,1,0.589583,0.043465,0.461727,0.043814,0.075179,0.004427,0.07853,0.003147,0.085801,0.00266,0.403216,0.002776,0.038358,0.001386,0.079319,0.003066,0.296483,0.00066,0.026204,0.0,0.047273,0.001866,0.070656,0.002397,80
0.0,risk_aware_tamp,2,0.65,0.045978,0.52294,0.046383,0.075202,0.004531,0.078905,0.003101,0.086452,0.002576,0.402367,0.00262,0.038295,0.001307,0.077387,0.003272,0.296483,0.00066,0.026204,0.0,0.046627,0.001926,0.069803,0.002525,80
