ablation,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,groups
full_contact_belief_branch_audit_v5,0,0.64375,0.040153,0.625708,0.040433,0.018328,0.002062,0.026584,0.001571,0.056756,0.001536,0.574283,0.002785,0.025684,0.001148,0.04644,0.001579,0.223011,0.001189,0.044707,0.0,0.034176,0.001746,0.044026,0.00123,80
full_contact_belief_branch_audit_v5,1,0.654167,0.038006,0.636965,0.039212,0.018122,0.002131,0.025795,0.001475,0.057082,0.001423,0.575365,0.002947,0.025553,0.001141,0.046159,0.00183,0.223011,0.001189,0.044707,0.0,0.033724,0.001709,0.043116,0.001447,80
full_contact_belief_branch_audit_v5,2,0.585417,0.041902,0.567424,0.042826,0.019362,0.002145,0.026073,0.001535,0.056989,0.001481,0.574951,0.002743,0.024482,0.001314,0.047106,0.001808,0.223011,0.001189,0.044707,0.0,0.034003,0.001929,0.043749,0.001512,80
full_contact_belief_branch_audit_v5,3,0.616667,0.041662,0.599223,0.041433,0.017856,0.002077,0.025749,0.001545,0.056916,0.001455,0.574818,0.002506,0.025318,0.001138,0.047068,0.001833,0.223011,0.001189,0.044707,0.0,0.033105,0.001728,0.044444,0.001508,80
full_contact_belief_branch_audit_v5,4,0.589583,0.041477,0.57198,0.041724,0.018076,0.002049,0.026082,0.001396,0.057493,0.001373,0.575969,0.002957,0.025153,0.001139,0.047301,0.001625,0.223011,0.001189,0.044707,0.0,0.03396,0.001684,0.043917,0.001234,80
full_contact_belief_branch_audit_v5,5,0.6625,0.042693,0.645252,0.042987,0.018212,0.002236,0.025001,0.001631,0.056819,0.001252,0.574091,0.003451,0.025183,0.001258,0.046838,0.001768,0.223011,0.001189,0.044707,0.0,0.03326,0.001842,0.043024,0.001454,80
full_contact_belief_branch_audit_v5,6,0.633333,0.040844,0.616015,0.040955,0.018451,0.002163,0.026469,0.001616,0.057334,0.001366,0.575073,0.002852,0.024877,0.001153,0.045741,0.001994,0.223011,0.001189,0.044707,0.0,0.0343,0.001987,0.043595,0.00138,80
full_contact_belief_branch_audit_v5,7,0.645833,0.045895,0.627853,0.046138,0.018489,0.002114,0.026483,0.001456,0.056544,0.001474,0.574818,0.003153,0.025227,0.001082,0.047502,0.001869,0.223011,0.001189,0.044707,0.0,0.033393,0.001638,0.044206,0.00131,80
full_contact_belief_branch_audit_v5,8,0.633333,0.042861,0.615642,0.042686,0.018893,0.002093,0.025911,0.001629,0.056873,0.001395,0.577105,0.00284,0.025317,0.001046,0.047156,0.001742,0.223011,0.001189,0.044707,0.0,0.033407,0.001686,0.044146,0.001313,80
full_contact_belief_branch_audit_v5,9,0.66875,0.042502,0.650073,0.043038,0.018842,0.002273,0.026104,0.001688,0.056935,0.001441,0.575337,0.003079,0.025867,0.001019,0.047627,0.001835,0.223011,0.001189,0.044707,0.0,0.0341,0.001788,0.044377,0.001294,80
