ablation,seed,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,groups
minus_contact_belief_state,0,0.60625,0.045847,0.479618,0.04849,0.092619,0.005772,0.111549,0.005869,0.125138,0.003932,0.5081,0.002887,0.036126,0.001238,0.091422,0.003792,0.227009,0.001189,0.059462,0.0,0.045755,0.001807,0.093096,0.003008,80
minus_contact_belief_state,1,0.595833,0.048192,0.468299,0.049521,0.092781,0.005885,0.111878,0.006086,0.124545,0.003998,0.505221,0.00291,0.03659,0.001135,0.091294,0.003609,0.227009,0.001189,0.059462,0.0,0.045608,0.001794,0.094076,0.002915,80
minus_contact_belief_state,2,0.59375,0.046795,0.467702,0.04853,0.091984,0.005881,0.111922,0.005994,0.124519,0.003963,0.509796,0.002709,0.036213,0.001279,0.090745,0.003801,0.227009,0.001189,0.059462,0.0,0.045942,0.001941,0.094182,0.002862,80
minus_contact_belief_state,3,0.5875,0.043477,0.460555,0.045332,0.093149,0.005966,0.111999,0.005776,0.125293,0.004032,0.509797,0.003197,0.036812,0.001228,0.091095,0.003651,0.227009,0.001189,0.059462,0.0,0.045278,0.001734,0.093739,0.002983,80
minus_contact_belief_state,4,0.560417,0.047297,0.433017,0.048632,0.0927,0.006131,0.112002,0.005874,0.124106,0.003939,0.508668,0.002968,0.037772,0.001252,0.091149,0.003842,0.227009,0.001189,0.059462,0.0,0.045814,0.001615,0.093776,0.002895,80
minus_contact_belief_state,5,0.55625,0.044992,0.429285,0.045791,0.093041,0.006217,0.111493,0.005942,0.12523,0.004034,0.508465,0.002564,0.036216,0.001228,0.091424,0.003805,0.227009,0.001189,0.059462,0.0,0.045262,0.001891,0.094267,0.002847,80
minus_contact_belief_state,6,0.577083,0.045736,0.44996,0.046065,0.093223,0.006032,0.112608,0.005943,0.125146,0.003834,0.510692,0.002807,0.036881,0.001159,0.091788,0.003876,0.227009,0.001189,0.059462,0.0,0.045622,0.001755,0.093035,0.002951,80
minus_contact_belief_state,7,0.566667,0.045237,0.439319,0.04768,0.093672,0.006138,0.111641,0.005852,0.125314,0.003851,0.508866,0.002977,0.036624,0.001055,0.091098,0.00383,0.227009,0.001189,0.059462,0.0,0.045299,0.001664,0.094164,0.002953,80
minus_contact_belief_state,8,0.566667,0.048131,0.438648,0.050584,0.093849,0.00606,0.111685,0.00597,0.124683,0.003858,0.509236,0.002905,0.037295,0.001282,0.09156,0.003745,0.227009,0.001189,0.059462,0.0,0.046071,0.001776,0.09414,0.002922,80
minus_contact_belief_state,9,0.597917,0.039282,0.470744,0.040754,0.093395,0.006068,0.112314,0.006057,0.12493,0.003903,0.51027,0.003111,0.036415,0.001264,0.091644,0.003981,0.227009,0.001189,0.059462,0.0,0.045613,0.001826,0.094149,0.003038,80
minus_recovery_affordance_graph,0,0.591667,0.041459,0.494447,0.042986,0.060562,0.004831,0.045045,0.001323,0.081191,0.002365,0.423031,0.002889,0.03619,0.001142,0.082269,0.004159,0.206609,0.001189,0.05295,0.0,0.045505,0.001867,0.072138,0.002808,80
minus_recovery_affordance_graph,1,0.570833,0.046042,0.474484,0.046135,0.06089,0.004765,0.045101,0.001542,0.079097,0.002499,0.424805,0.003285,0.036688,0.001204,0.080775,0.004084,0.206609,0.001189,0.05295,0.0,0.045329,0.001726,0.071331,0.00284,80
minus_recovery_affordance_graph,2,0.608333,0.049343,0.512678,0.050052,0.058632,0.004658,0.044456,0.001468,0.079993,0.002336,0.421777,0.002872,0.035737,0.00115,0.081498,0.004026,0.206609,0.001189,0.05295,0.0,0.045476,0.00181,0.072214,0.002964,80
minus_recovery_affordance_graph,3,0.6,0.042146,0.504113,0.04218,0.059965,0.004703,0.044526,0.001566,0.080751,0.002356,0.423745,0.002879,0.037121,0.001248,0.079998,0.004063,0.206609,0.001189,0.05295,0.0,0.04467,0.001645,0.071251,0.003085,80
minus_recovery_affordance_graph,4,0.56875,0.042976,0.472772,0.044679,0.059736,0.004835,0.045375,0.001626,0.080722,0.002259,0.422095,0.002685,0.035612,0.001118,0.080283,0.004131,0.206609,0.001189,0.05295,0.0,0.046123,0.00182,0.071679,0.002896,80
minus_recovery_affordance_graph,5,0.570833,0.046042,0.474351,0.047053,0.060602,0.004818,0.044649,0.001641,0.080526,0.002283,0.423566,0.002522,0.036465,0.001103,0.080872,0.004066,0.206609,0.001189,0.05295,0.0,0.045371,0.001991,0.071491,0.002954,80
minus_recovery_affordance_graph,6,0.595833,0.038885,0.499711,0.040274,0.060001,0.004904,0.044076,0.00147,0.080948,0.00235,0.423765,0.00278,0.036698,0.001242,0.080199,0.003714,0.206609,0.001189,0.05295,0.0,0.046135,0.001795,0.071241,0.002698,80
minus_recovery_affordance_graph,7,0.570833,0.043008,0.474977,0.043196,0.05989,0.004612,0.044901,0.001573,0.080326,0.002387,0.423272,0.002456,0.03571,0.001071,0.08052,0.004102,0.206609,0.001189,0.05295,0.0,0.04588,0.001878,0.071843,0.002768,80
minus_recovery_affordance_graph,8,0.583333,0.043873,0.48764,0.044799,0.059685,0.004518,0.044958,0.001636,0.08029,0.002349,0.422903,0.002936,0.035572,0.001313,0.080635,0.003971,0.206609,0.001189,0.05295,0.0,0.045636,0.00198,0.071733,0.00286,80
minus_recovery_affordance_graph,9,0.577083,0.043075,0.480445,0.043602,0.060344,0.004669,0.044434,0.001436,0.079924,0.00235,0.422263,0.002816,0.036676,0.001234,0.080541,0.00421,0.206609,0.001189,0.05295,0.0,0.045568,0.001827,0.072142,0.002918,80
minus_contact_probe_selector,0,0.5625,0.042851,0.497046,0.043114,0.048341,0.003257,0.075094,0.002682,0.08819,0.002429,0.512935,0.002485,0.036136,0.001247,0.06473,0.002224,0.181634,0.001189,0.027439,0.0,0.045809,0.001954,0.06882,0.001842,80
minus_contact_probe_selector,1,0.595833,0.048192,0.53029,0.049307,0.04833,0.003057,0.075315,0.002559,0.087542,0.002404,0.513228,0.002739,0.037033,0.001266,0.064718,0.00238,0.181634,0.001189,0.027439,0.0,0.045097,0.001676,0.068546,0.00196,80
minus_contact_probe_selector,2,0.59375,0.045699,0.527663,0.046524,0.049208,0.003203,0.075713,0.002352,0.087838,0.002308,0.514219,0.003099,0.036083,0.001256,0.066035,0.002273,0.181634,0.001189,0.027439,0.0,0.045636,0.001786,0.068531,0.002074,80
minus_contact_probe_selector,3,0.560417,0.042403,0.4947,0.043378,0.049086,0.003015,0.075571,0.002467,0.088987,0.00227,0.514945,0.003033,0.036387,0.001187,0.064996,0.002054,0.181634,0.001189,0.027439,0.0,0.045116,0.001756,0.068833,0.001894,80
minus_contact_probe_selector,4,0.560417,0.045847,0.495626,0.046409,0.047585,0.003075,0.075116,0.002643,0.08819,0.002362,0.513149,0.002973,0.035607,0.001257,0.065118,0.002019,0.181634,0.001189,0.027439,0.0,0.045675,0.001878,0.068569,0.002058,80
minus_contact_probe_selector,5,0.608333,0.043525,0.542509,0.043126,0.049164,0.003077,0.074654,0.002603,0.08866,0.00231,0.512197,0.002666,0.035834,0.001117,0.064555,0.002246,0.181634,0.001189,0.027439,0.0,0.045192,0.001755,0.069646,0.001836,80
minus_contact_probe_selector,6,0.625,0.048446,0.559635,0.048091,0.048109,0.003234,0.074592,0.002593,0.088945,0.002342,0.513478,0.002985,0.036219,0.001215,0.065599,0.002131,0.181634,0.001189,0.027439,0.0,0.045486,0.00186,0.068051,0.001963,80
minus_contact_probe_selector,7,0.589583,0.044992,0.524208,0.045168,0.048381,0.003183,0.074352,0.002528,0.088454,0.002461,0.513694,0.003161,0.036164,0.001341,0.065572,0.001944,0.181634,0.001189,0.027439,0.0,0.045207,0.00172,0.068527,0.001903,80
minus_contact_probe_selector,8,0.635417,0.037252,0.569468,0.037766,0.04904,0.003011,0.074989,0.002567,0.088155,0.002254,0.512567,0.003104,0.035825,0.001214,0.06527,0.00209,0.181634,0.001189,0.027439,0.0,0.045723,0.001774,0.069061,0.001973,80
minus_contact_probe_selector,9,0.583333,0.048271,0.517367,0.047778,0.048639,0.002938,0.075112,0.002529,0.088164,0.002352,0.513692,0.002829,0.03623,0.001067,0.065562,0.002075,0.181634,0.001189,0.027439,0.0,0.046186,0.001638,0.068962,0.00187,80
minus_chance_constraint,0,0.585417,0.043484,0.514477,0.043759,0.062323,0.002342,0.045049,0.001534,0.071236,0.001295,0.575087,0.002891,0.054132,0.00264,0.056237,0.001573,0.197007,0.001048,0.05295,0.0,0.063921,0.003774,0.058075,0.001532,80
minus_chance_constraint,1,0.58125,0.043871,0.510476,0.044957,0.062311,0.002457,0.044189,0.001643,0.071647,0.001381,0.575519,0.002552,0.054667,0.002358,0.05507,0.001899,0.197007,0.001048,0.05295,0.0,0.064969,0.003644,0.057349,0.001434,80
minus_chance_constraint,2,0.614583,0.039667,0.544094,0.039742,0.061541,0.002452,0.045214,0.00138,0.07096,0.00133,0.575207,0.003383,0.054053,0.002514,0.056201,0.001684,0.197007,0.001048,0.05295,0.0,0.064807,0.003725,0.057245,0.001373,80
minus_chance_constraint,3,0.577083,0.047546,0.505985,0.048265,0.063036,0.002597,0.044483,0.001475,0.071053,0.001263,0.574027,0.002797,0.053503,0.002545,0.056172,0.001723,0.197007,0.001048,0.05295,0.0,0.064304,0.003759,0.057677,0.001491,80
minus_chance_constraint,4,0.595833,0.041408,0.525527,0.041961,0.06197,0.002517,0.043968,0.001583,0.07029,0.001538,0.576963,0.003046,0.054024,0.002255,0.056508,0.001714,0.197007,0.001048,0.05295,0.0,0.064491,0.003646,0.057774,0.001373,80
minus_chance_constraint,5,0.6375,0.041408,0.566282,0.042211,0.063518,0.002373,0.044769,0.001491,0.071435,0.001395,0.576001,0.002737,0.054095,0.002476,0.055968,0.001831,0.197007,0.001048,0.05295,0.0,0.063921,0.003861,0.057621,0.00124,80
minus_chance_constraint,6,0.60625,0.042799,0.535162,0.043568,0.063079,0.002436,0.044314,0.001576,0.07166,0.001324,0.575016,0.002729,0.053571,0.002469,0.056475,0.00188,0.197007,0.001048,0.05295,0.0,0.064176,0.003553,0.057561,0.001429,80
minus_chance_constraint,7,0.5625,0.040418,0.491469,0.040751,0.062952,0.002539,0.044484,0.001505,0.070821,0.001402,0.576775,0.002745,0.053964,0.002694,0.056518,0.001848,0.197007,0.001048,0.05295,0.0,0.064505,0.003731,0.057986,0.001501,80
minus_chance_constraint,8,0.614583,0.044482,0.543925,0.045379,0.061995,0.002453,0.044767,0.001711,0.071794,0.001448,0.574912,0.00304,0.053776,0.002589,0.055733,0.001807,0.197007,0.001048,0.05295,0.0,0.06455,0.003542,0.058212,0.001282,80
minus_chance_constraint,9,0.620833,0.047911,0.549603,0.048434,0.062607,0.002505,0.045071,0.001664,0.071111,0.001459,0.575455,0.00311,0.053873,0.002544,0.056209,0.001865,0.197007,0.001048,0.05295,0.0,0.064729,0.00349,0.058699,0.00133,80
minus_damage_model,0,0.635417,0.046523,0.57308,0.046349,0.035224,0.002473,0.04464,0.001644,0.071197,0.001326,0.575015,0.002629,0.066048,0.003189,0.059034,0.002194,0.197007,0.001048,0.05295,0.0,0.061891,0.003258,0.057744,0.001648,80
minus_damage_model,1,0.5625,0.042851,0.500285,0.043955,0.035355,0.002639,0.045018,0.001588,0.071101,0.001532,0.576076,0.002649,0.065983,0.003323,0.059002,0.002233,0.197007,0.001048,0.05295,0.0,0.061448,0.003226,0.058281,0.001476,80
minus_damage_model,2,0.608333,0.037705,0.546272,0.038722,0.035508,0.002365,0.044538,0.001537,0.071225,0.00155,0.577262,0.002767,0.066341,0.003211,0.059487,0.002213,0.197007,0.001048,0.05295,0.0,0.061024,0.003364,0.057196,0.001446,80
minus_damage_model,3,0.625,0.039198,0.561885,0.040408,0.035049,0.002327,0.044981,0.001578,0.071373,0.001499,0.57292,0.002997,0.067174,0.003302,0.058973,0.002303,0.197007,0.001048,0.05295,0.0,0.061193,0.003183,0.058223,0.001462,80
minus_damage_model,4,0.6,0.044103,0.536978,0.044666,0.035083,0.002339,0.044787,0.001485,0.070893,0.001602,0.573718,0.003075,0.067462,0.003539,0.058737,0.001832,0.197007,0.001048,0.05295,0.0,0.061381,0.003465,0.058211,0.001377,80
minus_damage_model,5,0.627083,0.038214,0.563493,0.03818,0.036211,0.002463,0.044919,0.001794,0.070721,0.001467,0.574156,0.002539,0.067465,0.003384,0.059023,0.002189,0.197007,0.001048,0.05295,0.0,0.061317,0.003362,0.057917,0.001391,80
minus_damage_model,6,0.65,0.045237,0.586503,0.045304,0.036163,0.002306,0.044761,0.001546,0.071021,0.001411,0.57489,0.003122,0.066951,0.00321,0.059081,0.002076,0.197007,0.001048,0.05295,0.0,0.062182,0.003413,0.058131,0.001471,80
minus_damage_model,7,0.597917,0.04452,0.535278,0.045385,0.034992,0.002313,0.044324,0.00162,0.070638,0.00139,0.575444,0.002776,0.067236,0.003273,0.059706,0.002011,0.197007,0.001048,0.05295,0.0,0.061043,0.003501,0.057764,0.001393,80
minus_damage_model,8,0.604167,0.038711,0.540605,0.039851,0.035859,0.002283,0.045016,0.001506,0.07199,0.001496,0.575547,0.002551,0.067136,0.00345,0.059779,0.0022,0.197007,0.001048,0.05295,0.0,0.0614,0.003334,0.058427,0.001473,80
minus_damage_model,9,0.616667,0.040428,0.554271,0.040561,0.034852,0.00277,0.04469,0.001531,0.070906,0.001463,0.57647,0.002721,0.067312,0.003262,0.059233,0.002155,0.197007,0.001048,0.05295,0.0,0.061574,0.003412,0.057368,0.001456,80
minus_branch_budget,0,0.614583,0.04486,0.546355,0.045023,0.034773,0.002382,0.044331,0.001509,0.08723,0.003245,0.542215,0.0026,0.035841,0.001217,0.079124,0.004161,0.206609,0.001189,0.05295,0.0,0.060843,0.003266,0.081602,0.004051,80
minus_branch_budget,1,0.595833,0.040998,0.527258,0.041326,0.034763,0.002094,0.045349,0.001597,0.087836,0.003228,0.541231,0.002805,0.036362,0.001188,0.078345,0.003993,0.206609,0.001189,0.05295,0.0,0.060506,0.003082,0.082035,0.004031,80
minus_branch_budget,2,0.610417,0.045736,0.542167,0.046764,0.035424,0.002528,0.043999,0.001537,0.088195,0.003058,0.542217,0.002831,0.036139,0.001235,0.077611,0.004024,0.206609,0.001189,0.05295,0.0,0.061347,0.003193,0.080891,0.003936,80
minus_branch_budget,3,0.635417,0.045792,0.565331,0.046401,0.036194,0.002345,0.044396,0.001458,0.086966,0.003121,0.539568,0.002872,0.036591,0.001148,0.079637,0.003931,0.206609,0.001189,0.05295,0.0,0.061093,0.003264,0.081703,0.004092,80
minus_branch_budget,4,0.604167,0.046262,0.535853,0.046784,0.035498,0.002596,0.044064,0.001563,0.087854,0.003342,0.543024,0.003186,0.035955,0.000978,0.078606,0.003871,0.206609,0.001189,0.05295,0.0,0.060575,0.0031,0.081532,0.004062,80
minus_branch_budget,5,0.589583,0.049631,0.520601,0.050799,0.036132,0.002489,0.044653,0.001585,0.086918,0.003152,0.541091,0.002514,0.036311,0.001251,0.078611,0.003716,0.206609,0.001189,0.05295,0.0,0.059874,0.003267,0.081704,0.003878,80
minus_branch_budget,6,0.597917,0.042976,0.529628,0.04341,0.035401,0.002371,0.044766,0.001611,0.086321,0.002965,0.541722,0.002891,0.035827,0.001238,0.077424,0.003946,0.206609,0.001189,0.05295,0.0,0.061672,0.003227,0.081979,0.004049,80
minus_branch_budget,7,0.647917,0.042303,0.579053,0.043399,0.035681,0.002322,0.044251,0.001609,0.08694,0.00299,0.542141,0.002846,0.036436,0.001147,0.078419,0.004026,0.206609,0.001189,0.05295,0.0,0.060929,0.0031,0.082087,0.003819,80
minus_branch_budget,8,0.652083,0.04278,0.583757,0.043391,0.035431,0.002693,0.044708,0.001574,0.087021,0.002975,0.542987,0.002935,0.035663,0.001177,0.078436,0.003938,0.206609,0.001189,0.05295,0.0,0.061557,0.003065,0.081541,0.00395,80
minus_branch_budget,9,0.633333,0.041662,0.56454,0.041972,0.036006,0.002314,0.044296,0.001373,0.087457,0.003244,0.539622,0.002983,0.035505,0.001155,0.077952,0.004056,0.206609,0.001189,0.05295,0.0,0.061231,0.003354,0.081167,0.003992,80
minus_entropy_calibration,0,0.577083,0.046831,0.481533,0.047072,0.066449,0.004918,0.091116,0.004694,0.13663,0.004373,0.54992,0.002779,0.036462,0.001147,0.069185,0.002638,0.211009,0.001189,0.06479,0.0,0.0455,0.001798,0.102891,0.003018,80
minus_entropy_calibration,1,0.602083,0.042898,0.507685,0.044043,0.065506,0.004998,0.09066,0.004785,0.13665,0.004144,0.551696,0.002834,0.036559,0.001221,0.068287,0.002482,0.211009,0.001189,0.06479,0.0,0.045397,0.001727,0.103029,0.003097,80
minus_entropy_calibration,2,0.597917,0.046012,0.503302,0.046985,0.066493,0.004691,0.090216,0.004834,0.13571,0.004235,0.552234,0.002478,0.037391,0.001216,0.067222,0.002387,0.211009,0.001189,0.06479,0.0,0.044721,0.001961,0.103432,0.003117,80
minus_entropy_calibration,3,0.583333,0.043487,0.488299,0.045793,0.066667,0.004666,0.090988,0.004753,0.136834,0.004162,0.552704,0.002924,0.036093,0.001268,0.068921,0.002518,0.211009,0.001189,0.06479,0.0,0.045555,0.001784,0.103341,0.003184,80
minus_entropy_calibration,4,0.56875,0.04674,0.474466,0.047583,0.066102,0.004728,0.090833,0.00486,0.13733,0.004372,0.553594,0.00265,0.036093,0.001246,0.067766,0.00243,0.211009,0.001189,0.06479,0.0,0.045836,0.001769,0.103399,0.00302,80
minus_entropy_calibration,5,0.64375,0.03973,0.548517,0.04107,0.066268,0.004614,0.091099,0.00465,0.137456,0.004352,0.550687,0.00301,0.036685,0.001194,0.068911,0.002516,0.211009,0.001189,0.06479,0.0,0.045223,0.001985,0.102311,0.003178,80
minus_entropy_calibration,6,0.583333,0.045013,0.48875,0.04597,0.06545,0.004906,0.091154,0.004614,0.137113,0.004274,0.550859,0.002984,0.036082,0.001325,0.067961,0.002486,0.211009,0.001189,0.06479,0.0,0.046639,0.001656,0.102906,0.003007,80
minus_entropy_calibration,7,0.602083,0.042103,0.506905,0.043317,0.066835,0.004776,0.091748,0.004694,0.136992,0.004366,0.550486,0.002688,0.036471,0.001188,0.067293,0.002477,0.211009,0.001189,0.06479,0.0,0.046,0.001872,0.10255,0.002882,80
minus_entropy_calibration,8,0.622917,0.046031,0.528081,0.046128,0.066214,0.004662,0.090853,0.004748,0.136563,0.004209,0.551129,0.002643,0.036736,0.001133,0.067679,0.002473,0.211009,0.001189,0.06479,0.0,0.04555,0.001959,0.10315,0.003031,80
minus_entropy_calibration,9,0.616667,0.045535,0.520778,0.046604,0.06682,0.004834,0.090929,0.004759,0.136669,0.004014,0.551655,0.003182,0.037085,0.00121,0.069264,0.002509,0.211009,0.001189,0.06479,0.0,0.045871,0.001836,0.102935,0.003151,80
minus_irreversible_resource_accounting,0,0.6,0.037027,0.541746,0.038092,0.034842,0.002468,0.044363,0.001506,0.069945,0.001249,0.575577,0.002858,0.048041,0.001712,0.064014,0.002798,0.192874,0.001036,0.05295,0.0,0.078199,0.005106,0.057757,0.00158,80
minus_irreversible_resource_accounting,1,0.597917,0.046378,0.5386,0.046916,0.035593,0.002381,0.045365,0.001523,0.07156,0.001463,0.575374,0.003068,0.047294,0.00197,0.065834,0.002698,0.192874,0.001036,0.05295,0.0,0.077929,0.004931,0.058148,0.001308,80
minus_irreversible_resource_accounting,2,0.59375,0.042641,0.535462,0.042507,0.035442,0.00248,0.043186,0.001491,0.071664,0.001368,0.576198,0.002778,0.046779,0.002012,0.064522,0.002792,0.192874,0.001036,0.05295,0.0,0.078762,0.00474,0.058004,0.001339,80
minus_irreversible_resource_accounting,3,0.635417,0.041942,0.576462,0.042902,0.035739,0.002396,0.044582,0.001562,0.070772,0.001484,0.57533,0.002461,0.048167,0.001955,0.064267,0.002701,0.192874,0.001036,0.05295,0.0,0.077717,0.004768,0.057821,0.001512,80
minus_irreversible_resource_accounting,4,0.604167,0.045153,0.545074,0.044719,0.035518,0.002485,0.043921,0.001586,0.071693,0.001382,0.573591,0.002946,0.047457,0.002015,0.065096,0.00248,0.192874,0.001036,0.05295,0.0,0.078293,0.004672,0.057059,0.001471,80
minus_irreversible_resource_accounting,5,0.6125,0.047129,0.553851,0.047741,0.035927,0.002384,0.043967,0.001341,0.070797,0.001309,0.575747,0.002866,0.047017,0.001802,0.064232,0.002729,0.192874,0.001036,0.05295,0.0,0.078593,0.004649,0.058249,0.001465,80
minus_irreversible_resource_accounting,6,0.629167,0.045748,0.570848,0.04663,0.035357,0.002335,0.044691,0.001415,0.070698,0.001524,0.577915,0.002943,0.047319,0.001925,0.065284,0.002665,0.192874,0.001036,0.05295,0.0,0.078113,0.004862,0.057626,0.001132,80
minus_irreversible_resource_accounting,7,0.633333,0.037391,0.573985,0.037379,0.036585,0.002495,0.044594,0.0015,0.070841,0.00142,0.576585,0.003296,0.04763,0.002007,0.064802,0.002779,0.192874,0.001036,0.05295,0.0,0.078734,0.004997,0.057503,0.001293,80
minus_irreversible_resource_accounting,8,0.589583,0.038081,0.530882,0.039265,0.034938,0.002549,0.045088,0.001486,0.070522,0.001539,0.576695,0.00311,0.047171,0.001831,0.065525,0.002506,0.192874,0.001036,0.05295,0.0,0.078853,0.004813,0.0584,0.001442,80
minus_irreversible_resource_accounting,9,0.575,0.042266,0.516823,0.042914,0.035063,0.002311,0.044254,0.001512,0.070107,0.001339,0.575867,0.002715,0.04758,0.001813,0.063971,0.00277,0.192874,0.001036,0.05295,0.0,0.078286,0.005069,0.058079,0.001317,80
v4_only_contact_belief_tamp,0,0.589583,0.041882,0.492578,0.041792,0.063241,0.004104,0.067754,0.00265,0.097944,0.00264,0.516536,0.002882,0.046189,0.001558,0.073129,0.002881,0.215839,0.001083,0.048264,0.0,0.061741,0.003456,0.081252,0.002678,80
v4_only_contact_belief_tamp,1,0.5375,0.04025,0.44186,0.042296,0.061752,0.003698,0.067444,0.002963,0.097687,0.002845,0.517362,0.002551,0.045512,0.00174,0.073258,0.002889,0.215839,0.001083,0.048264,0.0,0.062005,0.003216,0.08071,0.002612,80
v4_only_contact_belief_tamp,2,0.56875,0.047812,0.473722,0.048455,0.061347,0.003909,0.067326,0.002765,0.097995,0.002612,0.518348,0.003093,0.045312,0.001867,0.073293,0.003295,0.215839,0.001083,0.048264,0.0,0.06141,0.003253,0.080735,0.002609,80
v4_only_contact_belief_tamp,3,0.602083,0.0417,0.506724,0.041571,0.061884,0.003949,0.067508,0.002687,0.098626,0.002881,0.517101,0.003182,0.044875,0.001667,0.073783,0.002859,0.215839,0.001083,0.048264,0.0,0.060956,0.003119,0.080207,0.002684,80
v4_only_contact_belief_tamp,4,0.579167,0.044627,0.483608,0.044741,0.062015,0.003929,0.068308,0.002823,0.098361,0.002699,0.517674,0.002662,0.045143,0.00175,0.073096,0.003129,0.215839,0.001083,0.048264,0.0,0.061623,0.003146,0.080616,0.002572,80
v4_only_contact_belief_tamp,5,0.508333,0.041459,0.411947,0.040421,0.06303,0.003982,0.067967,0.002615,0.098861,0.002722,0.518508,0.00269,0.045324,0.00175,0.073006,0.002875,0.215839,0.001083,0.048264,0.0,0.06249,0.00324,0.081107,0.002776,80
v4_only_contact_belief_tamp,6,0.58125,0.037658,0.484364,0.038862,0.063029,0.003862,0.06848,0.002786,0.097938,0.002552,0.516456,0.002827,0.045865,0.001705,0.073317,0.003143,0.215839,0.001083,0.048264,0.0,0.061553,0.003225,0.08142,0.002598,80
v4_only_contact_belief_tamp,7,0.570833,0.043786,0.474355,0.04498,0.062477,0.004013,0.068387,0.002693,0.098393,0.002817,0.517104,0.003019,0.045286,0.001627,0.074028,0.003077,0.215839,0.001083,0.048264,0.0,0.062413,0.003326,0.080303,0.002554,80
v4_only_contact_belief_tamp,8,0.577083,0.050307,0.481015,0.050646,0.062095,0.003986,0.068387,0.002635,0.098313,0.00262,0.515728,0.002551,0.045763,0.001761,0.073295,0.002915,0.215839,0.001083,0.048264,0.0,0.061188,0.003371,0.079977,0.002603,80
