task,regime,split,method,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,mean_regret_to_oracle,ci95_regret_to_oracle,groups
peg_assembly,nominal,nominal,deterministic_symbolic_tamp,0.533333,0.136002,0.432182,0.137481,0.071373,0.00297,0.055225,0.001725,0.065502,0.001419,0.195327,0.005803,0.035642,0.002029,0.052926,0.003432,0.100043,0.0,0.021546,0.0,0.040128,0.001799,0.052262,0.00293,0.283333,0.119778,10
peg_assembly,nominal,seen_shift,deterministic_symbolic_tamp,0.616667,0.098,0.504102,0.098356,0.075457,0.002598,0.060972,0.003205,0.07672,0.001716,0.191443,0.004642,0.037796,0.002627,0.055785,0.002441,0.107134,0.0,0.028744,0.0,0.04002,0.002375,0.062728,0.00264,0.15,0.102726,10
peg_assembly,nominal,unseen_object,deterministic_symbolic_tamp,0.5,0.108889,0.377135,0.108976,0.081764,0.003239,0.062485,0.002446,0.08628,0.003158,0.189614,0.007876,0.039896,0.002299,0.058516,0.002759,0.110722,0.0,0.032716,0.0,0.042329,0.002029,0.069398,0.001897,0.266667,0.121254,10
peg_assembly,nominal,unseen_contact,deterministic_symbolic_tamp,0.616667,0.138165,0.491316,0.1387,0.080703,0.002306,0.063169,0.001575,0.090659,0.001617,0.190903,0.004037,0.040822,0.002292,0.060949,0.002931,0.113316,0.0,0.036635,0.0,0.04164,0.002524,0.072245,0.002516,0.1,0.087111,10
peg_assembly,nominal,unseen_compliance,deterministic_symbolic_tamp,0.516667,0.102726,0.391311,0.102103,0.07792,0.002342,0.063319,0.002716,0.088694,0.003051,0.18954,0.005494,0.043516,0.003065,0.0621,0.003488,0.114279,0.0,0.035434,0.0,0.040909,0.003461,0.071794,0.003095,0.2,0.094927,10
peg_assembly,nominal,probe_latency,deterministic_symbolic_tamp,0.516667,0.123674,0.392449,0.122895,0.077755,0.003827,0.06287,0.00275,0.089305,0.002355,0.194329,0.006917,0.042214,0.002044,0.06039,0.003497,0.115189,0.0,0.036761,0.0,0.041205,0.003007,0.074745,0.001883,0.25,0.121741,10
peg_assembly,nominal,sensor_dropout,deterministic_symbolic_tamp,0.633333,0.126985,0.497253,0.126866,0.081664,0.0029,0.067573,0.003057,0.115294,0.002564,0.198144,0.005118,0.043165,0.002146,0.062619,0.003304,0.11588,0.0,0.049726,0.0,0.04325,0.001564,0.090192,0.001678,0.133333,0.081485,10
peg_assembly,nominal,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.516667,0.178591,0.38006,0.177485,0.086304,0.002001,0.066211,0.003111,0.10338,0.002857,0.193656,0.003985,0.043331,0.002829,0.061947,0.003905,0.119685,0.0,0.043642,0.0,0.044697,0.002179,0.083198,0.002585,0.266667,0.16297,10
peg_assembly,hidden_friction,nominal,deterministic_symbolic_tamp,0.533333,0.106689,0.326783,0.104646,0.163379,0.003114,0.126454,0.003262,0.108215,0.002481,0.184352,0.004429,0.054565,0.003835,0.09899,0.002366,0.105685,0.0,0.021546,0.0,0.057165,0.00226,0.084777,0.00242,0.35,0.123674,10
peg_assembly,hidden_friction,seen_shift,deterministic_symbolic_tamp,0.45,0.161875,0.208028,0.161449,0.188811,0.003226,0.147068,0.002869,0.13349,0.002906,0.179075,0.005361,0.060554,0.002898,0.108317,0.004409,0.114116,0.0,0.028744,0.0,0.064791,0.00166,0.103915,0.002212,0.333333,0.200781,10
peg_assembly,hidden_friction,unseen_object,deterministic_symbolic_tamp,0.4,0.099798,0.136557,0.10119,0.203039,0.001906,0.15751,0.002398,0.147338,0.00241,0.178332,0.008451,0.065634,0.002467,0.120074,0.003532,0.118432,0.0,0.032716,0.0,0.069687,0.001896,0.10939,0.002407,0.366667,0.152444,10
peg_assembly,hidden_friction,unseen_contact,deterministic_symbolic_tamp,0.383333,0.119778,0.100745,0.121285,0.225284,0.003378,0.166493,0.003394,0.158508,0.0028,0.17775,0.005858,0.067318,0.003217,0.120215,0.00293,0.121746,0.0,0.036635,0.0,0.069101,0.001918,0.121331,0.00186,0.333333,0.14609,10
peg_assembly,hidden_friction,unseen_compliance,deterministic_symbolic_tamp,0.383333,0.154377,0.112748,0.151865,0.207474,0.002312,0.163541,0.002162,0.155372,0.001733,0.181683,0.008519,0.068352,0.001606,0.12158,0.002993,0.122484,0.0,0.035434,0.0,0.068933,0.002677,0.120945,0.003359,0.333333,0.200781,10
peg_assembly,hidden_friction,probe_latency,deterministic_symbolic_tamp,0.316667,0.076222,0.040963,0.074582,0.208171,0.003343,0.167572,0.002148,0.15786,0.002784,0.183643,0.004996,0.068401,0.001557,0.123127,0.00224,0.123515,0.0,0.036761,0.0,0.072522,0.001912,0.124205,0.003598,0.366667,0.136002,10
peg_assembly,hidden_friction,sensor_dropout,deterministic_symbolic_tamp,0.3,0.094927,-0.019821,0.095327,0.24012,0.002342,0.203374,0.003065,0.198287,0.001987,0.176522,0.005749,0.068489,0.003589,0.141639,0.003904,0.126659,0.0,0.049726,0.0,0.076129,0.002038,0.153364,0.002249,0.366667,0.106689,10
peg_assembly,hidden_friction,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.3,0.065333,-0.017645,0.064772,0.243808,0.004042,0.186701,0.001985,0.181984,0.002462,0.178392,0.006344,0.074472,0.001743,0.138481,0.004234,0.12933,0.0,0.043642,0.0,0.079628,0.002869,0.141933,0.001431,0.366667,0.117277,10
peg_assembly,pose_ambiguity,nominal,deterministic_symbolic_tamp,0.45,0.109432,0.241694,0.10864,0.151978,0.003514,0.128384,0.003122,0.113149,0.002565,0.185206,0.00686,0.055618,0.002318,0.109588,0.003454,0.106077,0.0,0.021546,0.0,0.064897,0.002303,0.088707,0.001864,0.35,0.185111,10
peg_assembly,pose_ambiguity,seen_shift,deterministic_symbolic_tamp,0.383333,0.188915,0.143813,0.188356,0.170959,0.002191,0.147815,0.002371,0.134866,0.002547,0.178525,0.004718,0.063231,0.002524,0.118154,0.001898,0.114601,0.0,0.028744,0.0,0.07086,0.001616,0.105823,0.002622,0.433333,0.196,10
peg_assembly,pose_ambiguity,unseen_object,deterministic_symbolic_tamp,0.4,0.155524,0.133499,0.15378,0.194577,0.002999,0.154904,0.002567,0.150591,0.001574,0.180907,0.00349,0.066851,0.003161,0.134909,0.00288,0.118968,0.0,0.032716,0.0,0.080785,0.003108,0.116374,0.001539,0.333333,0.217778,10
peg_assembly,pose_ambiguity,unseen_contact,deterministic_symbolic_tamp,0.366667,0.106689,0.086111,0.107299,0.20432,0.002272,0.168899,0.002672,0.16479,0.002766,0.179725,0.005717,0.068858,0.002381,0.132543,0.003726,0.122332,0.0,0.036635,0.0,0.077091,0.003367,0.127474,0.00239,0.366667,0.126985,10
peg_assembly,pose_ambiguity,unseen_compliance,deterministic_symbolic_tamp,0.416667,0.111578,0.140998,0.110603,0.194864,0.002677,0.163217,0.002248,0.158697,0.002165,0.180656,0.004714,0.072273,0.00189,0.133686,0.002446,0.123055,0.0,0.035434,0.0,0.079855,0.002205,0.123051,0.002248,0.316667,0.164779,10
peg_assembly,pose_ambiguity,probe_latency,deterministic_symbolic_tamp,0.383333,0.119778,0.10827,0.116546,0.197285,0.002833,0.165931,0.003637,0.159923,0.002564,0.182235,0.006663,0.068689,0.002874,0.136295,0.003379,0.124095,0.0,0.036761,0.0,0.079352,0.003018,0.126534,0.002732,0.25,0.155905,10
peg_assembly,pose_ambiguity,sensor_dropout,deterministic_symbolic_tamp,0.383333,0.119778,0.062743,0.118189,0.226122,0.002443,0.20318,0.001216,0.202693,0.001879,0.179899,0.008536,0.072387,0.002622,0.155512,0.001532,0.127403,0.0,0.049726,0.0,0.079004,0.002943,0.156593,0.002573,0.383333,0.154377,10
peg_assembly,pose_ambiguity,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.416667,0.13987,0.107964,0.131696,0.222816,0.002306,0.18613,0.00295,0.185611,0.002427,0.174296,0.007515,0.075503,0.002433,0.151395,0.002971,0.130001,0.0,0.043642,0.0,0.086647,0.001843,0.147528,0.001597,0.25,0.177258,10
peg_assembly,compliance_ambiguity,nominal,deterministic_symbolic_tamp,0.533333,0.160033,0.301707,0.161631,0.16752,0.00305,0.131664,0.002542,0.119848,0.00307,0.184875,0.006042,0.064477,0.002495,0.119415,0.003157,0.106558,0.0,0.021546,0.0,0.080727,0.002884,0.094193,0.001885,0.283333,0.119778,10
peg_assembly,compliance_ambiguity,seen_shift,deterministic_symbolic_tamp,0.35,0.132916,0.076256,0.131358,0.196894,0.003385,0.154229,0.002826,0.142961,0.002418,0.178314,0.005683,0.071967,0.00218,0.138707,0.004341,0.1152,0.0,0.028744,0.0,0.088843,0.00233,0.112405,0.002736,0.4,0.139446,10
peg_assembly,compliance_ambiguity,unseen_object,deterministic_symbolic_tamp,0.416667,0.111578,0.105572,0.11088,0.225132,0.002972,0.16457,0.002125,0.159618,0.002852,0.176034,0.00563,0.079907,0.003358,0.157389,0.003728,0.11963,0.0,0.032716,0.0,0.101737,0.002449,0.124948,0.003588,0.35,0.123674,10
peg_assembly,compliance_ambiguity,unseen_contact,deterministic_symbolic_tamp,0.383333,0.119778,0.069106,0.109505,0.230243,0.00143,0.176849,0.002552,0.171424,0.001738,0.17969,0.004638,0.085911,0.002344,0.157488,0.002644,0.123052,0.0,0.036635,0.0,0.098263,0.002465,0.133426,0.001835,0.35,0.113683,10
peg_assembly,compliance_ambiguity,unseen_compliance,deterministic_symbolic_tamp,0.433333,0.155524,0.116351,0.157342,0.224069,0.002484,0.172992,0.001388,0.1721,0.002129,0.175443,0.005661,0.082845,0.003359,0.158728,0.002078,0.123764,0.0,0.035434,0.0,0.099886,0.001749,0.130862,0.001698,0.3,0.144457,10
peg_assembly,compliance_ambiguity,probe_latency,deterministic_symbolic_tamp,0.35,0.149697,0.038759,0.143732,0.219568,0.003001,0.174895,0.002627,0.169477,0.002415,0.17413,0.005261,0.08503,0.003031,0.15889,0.003182,0.124814,0.0,0.036761,0.0,0.102593,0.002134,0.133941,0.00314,0.516667,0.141556,10
peg_assembly,compliance_ambiguity,sensor_dropout,deterministic_symbolic_tamp,0.233333,0.111045,-0.120318,0.102041,0.256297,0.001895,0.217404,0.002544,0.216329,0.001694,0.177499,0.003876,0.087904,0.001982,0.176671,0.001636,0.128287,0.0,0.049726,0.0,0.101856,0.00301,0.168105,0.002024,0.416667,0.170438,10
peg_assembly,compliance_ambiguity,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.383333,0.119778,0.021432,0.121424,0.255432,0.003003,0.195377,0.001831,0.196448,0.001738,0.173397,0.00548,0.089575,0.00288,0.176401,0.003536,0.130826,0.0,0.043642,0.0,0.113669,0.002872,0.15847,0.001382,0.283333,0.201076,10
