task,regime,split,method,mean_success,ci95_success,mean_utility,ci95_utility,mean_precondition_violation,ci95_precondition_violation,mean_belief_ece,ci95_belief_ece,mean_branch_entropy_error,ci95_branch_entropy_error,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_wasted_action,ci95_wasted_action,mean_intervention_cost,ci95_intervention_cost,mean_probe_overhead,ci95_probe_overhead,mean_irreversible_commitment,ci95_irreversible_commitment,mean_plan_depth_blowup,ci95_plan_depth_blowup,mean_regret_to_oracle,ci95_regret_to_oracle,groups
peg_assembly,jamming_ambiguity,nominal,deterministic_symbolic_tamp,0.483333,0.141556,0.226089,0.142287,0.186897,0.002285,0.135143,0.00286,0.123101,0.002023,0.175392,0.005832,0.068678,0.000751,0.132219,0.001413,0.106813,0.0,0.021546,0.0,0.095748,0.002232,0.102247,0.002858,0.333333,0.161508,10
peg_assembly,jamming_ambiguity,seen_shift,deterministic_symbolic_tamp,0.35,0.149697,0.050968,0.145697,0.221056,0.004054,0.159657,0.00198,0.149248,0.001441,0.17878,0.005036,0.078958,0.002787,0.154565,0.00199,0.115518,0.0,0.028744,0.0,0.108777,0.003398,0.12184,0.002729,0.383333,0.161875,10
peg_assembly,jamming_ambiguity,unseen_object,deterministic_symbolic_tamp,0.366667,0.117277,0.017888,0.117204,0.255016,0.002932,0.168951,0.003312,0.164059,0.002963,0.175174,0.006564,0.084577,0.001852,0.183485,0.003953,0.119981,0.0,0.032716,0.0,0.124951,0.002087,0.134163,0.002525,0.333333,0.14609,10
peg_assembly,jamming_ambiguity,unseen_contact,deterministic_symbolic_tamp,0.433333,0.121254,0.081677,0.120884,0.255711,0.003551,0.182527,0.001372,0.178953,0.003025,0.176372,0.004028,0.085401,0.003085,0.172039,0.003619,0.123434,0.0,0.036635,0.0,0.122259,0.002363,0.146047,0.001994,0.233333,0.130667,10
peg_assembly,jamming_ambiguity,unseen_compliance,deterministic_symbolic_tamp,0.383333,0.138165,0.044438,0.128238,0.246369,0.002047,0.177838,0.00271,0.176149,0.003694,0.179493,0.008268,0.089296,0.003112,0.175098,0.003445,0.124142,0.0,0.035434,0.0,0.125018,0.001708,0.141739,0.001387,0.3,0.144457,10
peg_assembly,jamming_ambiguity,probe_latency,deterministic_symbolic_tamp,0.416667,0.148105,0.064194,0.147139,0.24847,0.00287,0.179618,0.001728,0.176928,0.003,0.172931,0.006118,0.087883,0.003394,0.177819,0.00427,0.125196,0.0,0.036761,0.0,0.126347,0.003268,0.146331,0.002177,0.233333,0.147704,10
peg_assembly,jamming_ambiguity,sensor_dropout,deterministic_symbolic_tamp,0.383333,0.109432,-0.019531,0.108634,0.285006,0.001534,0.222937,0.003631,0.224218,0.00235,0.172367,0.007858,0.092258,0.002323,0.197729,0.003053,0.128753,0.0,0.049726,0.0,0.128608,0.00193,0.178844,0.002612,0.333333,0.153992,10
peg_assembly,jamming_ambiguity,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.216667,0.098,-0.159395,0.075414,0.287898,0.003535,0.202643,0.00289,0.206431,0.001977,0.168595,0.004203,0.097756,0.002491,0.201747,0.002563,0.131265,0.0,0.043642,0.0,0.14238,0.002163,0.170725,0.00396,0.566667,0.147704,10
peg_assembly,release_uncertainty,nominal,deterministic_symbolic_tamp,0.5,0.128839,0.268723,0.128077,0.151639,0.002883,0.133591,0.002726,0.119394,0.002131,0.177831,0.005766,0.076043,0.002199,0.126254,0.003143,0.106406,0.0,0.021546,0.0,0.074421,0.002661,0.096467,0.001944,0.35,0.123674,10
peg_assembly,release_uncertainty,seen_shift,deterministic_symbolic_tamp,0.35,0.132916,0.080522,0.131548,0.176209,0.00282,0.151125,0.003308,0.141312,0.002667,0.176342,0.0055,0.088539,0.001479,0.147195,0.003589,0.115014,0.0,0.028744,0.0,0.08162,0.00201,0.115716,0.00184,0.383333,0.146495,10
peg_assembly,release_uncertainty,unseen_object,deterministic_symbolic_tamp,0.366667,0.106689,0.067103,0.106649,0.192797,0.00424,0.164662,0.001981,0.156887,0.002567,0.177319,0.008425,0.095323,0.001937,0.161882,0.002027,0.119424,0.0,0.032716,0.0,0.091564,0.001606,0.126125,0.002246,0.35,0.171824,10
peg_assembly,release_uncertainty,unseen_contact,deterministic_symbolic_tamp,0.433333,0.155524,0.116085,0.154706,0.203483,0.002727,0.176154,0.002271,0.171256,0.001375,0.175272,0.006918,0.101109,0.002629,0.167501,0.002417,0.122826,0.0,0.036635,0.0,0.091383,0.00199,0.137062,0.002761,0.233333,0.121254,10
peg_assembly,release_uncertainty,unseen_compliance,deterministic_symbolic_tamp,0.3,0.094927,-0.006185,0.086813,0.195024,0.003137,0.169681,0.002975,0.168346,0.002091,0.176156,0.006076,0.104964,0.0025,0.165162,0.003416,0.123547,0.0,0.035434,0.0,0.092234,0.002413,0.135792,0.002921,0.4,0.155524,10
peg_assembly,release_uncertainty,probe_latency,deterministic_symbolic_tamp,0.283333,0.109432,-0.019744,0.096139,0.196309,0.002865,0.171194,0.002238,0.173186,0.002933,0.177921,0.007923,0.104961,0.001846,0.167687,0.003414,0.124593,0.0,0.036761,0.0,0.093835,0.002641,0.139653,0.002517,0.4,0.196,10
peg_assembly,release_uncertainty,sensor_dropout,deterministic_symbolic_tamp,0.366667,0.094927,0.004038,0.095914,0.23005,0.003,0.213168,0.002733,0.213592,0.001766,0.176375,0.009101,0.106147,0.002626,0.190026,0.002789,0.127986,0.0,0.049726,0.0,0.096094,0.002098,0.169174,0.001877,0.383333,0.161875,10
peg_assembly,release_uncertainty,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.333333,0.153992,-0.004014,0.135943,0.223277,0.003017,0.192844,0.002725,0.198303,0.002858,0.172097,0.006428,0.112252,0.001973,0.189442,0.003262,0.130569,0.0,0.043642,0.0,0.105171,0.002345,0.16034,0.001974,0.4,0.17009,10
peg_assembly,partial_observability_dropout,nominal,deterministic_symbolic_tamp,0.533333,0.160033,0.275762,0.162338,0.195922,0.002477,0.156996,0.002592,0.126768,0.00197,0.180048,0.006507,0.066777,0.003325,0.13025,0.003184,0.107087,0.0,0.021546,0.0,0.078385,0.002183,0.098293,0.002535,0.333333,0.188601,10
peg_assembly,partial_observability_dropout,seen_shift,deterministic_symbolic_tamp,0.533333,0.094927,0.225548,0.0935,0.231614,0.002594,0.184821,0.002225,0.150633,0.003076,0.180953,0.003036,0.081519,0.002346,0.149043,0.004796,0.115853,0.0,0.028744,0.0,0.088519,0.002073,0.121752,0.001567,0.183333,0.123674,10
peg_assembly,partial_observability_dropout,unseen_object,deterministic_symbolic_tamp,0.316667,0.123674,-0.016551,0.115297,0.25697,0.003552,0.201427,0.003199,0.166279,0.002937,0.180633,0.007556,0.083807,0.002008,0.165787,0.002205,0.120351,0.0,0.032716,0.0,0.103091,0.001362,0.134286,0.001462,0.383333,0.161875,10
peg_assembly,partial_observability_dropout,unseen_contact,deterministic_symbolic_tamp,0.35,0.123674,-0.006714,0.121451,0.270594,0.00363,0.213355,0.003293,0.183758,0.002037,0.174762,0.006687,0.08811,0.001808,0.165065,0.003941,0.123841,0.0,0.036635,0.0,0.097429,0.002188,0.145075,0.001931,0.316667,0.132916,10
peg_assembly,partial_observability_dropout,unseen_compliance,deterministic_symbolic_tamp,0.283333,0.154377,-0.038744,0.131349,0.256999,0.003582,0.209599,0.001832,0.176489,0.002322,0.176494,0.004877,0.092032,0.00238,0.166497,0.002916,0.12453,0.0,0.035434,0.0,0.100563,0.002497,0.141518,0.003073,0.433333,0.139446,10
peg_assembly,partial_observability_dropout,probe_latency,deterministic_symbolic_tamp,0.366667,0.065333,0.014165,0.066773,0.260723,0.002261,0.21107,0.002411,0.178897,0.002278,0.173593,0.00714,0.087804,0.002126,0.166893,0.002834,0.125591,0.0,0.036761,0.0,0.100987,0.002185,0.145489,0.002693,0.333333,0.108889,10
peg_assembly,partial_observability_dropout,sensor_dropout,deterministic_symbolic_tamp,0.35,0.102726,-0.049463,0.082157,0.310377,0.002677,0.263358,0.001354,0.229013,0.001552,0.171122,0.004646,0.0936,0.002637,0.193107,0.001874,0.129309,0.0,0.049726,0.0,0.10216,0.002584,0.182764,0.002269,0.383333,0.19509,10
peg_assembly,partial_observability_dropout,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.316667,0.185111,-0.041351,0.155659,0.302453,0.001918,0.237566,0.002512,0.208434,0.003073,0.174615,0.008403,0.097962,0.002376,0.188223,0.002211,0.131729,0.0,0.043642,0.0,0.113812,0.003015,0.170355,0.001794,0.433333,0.196,10
peg_assembly,irreversible_damage_risk,nominal,deterministic_symbolic_tamp,0.483333,0.132916,0.214186,0.132413,0.183561,0.002861,0.137949,0.002633,0.129783,0.000869,0.17526,0.004825,0.083319,0.002819,0.137858,0.00217,0.107187,0.0,0.021546,0.0,0.101766,0.002142,0.109404,0.002107,0.233333,0.099798,10
peg_assembly,irreversible_damage_risk,seen_shift,deterministic_symbolic_tamp,0.4,0.121254,0.084745,0.123281,0.208595,0.004081,0.160976,0.003079,0.158948,0.003224,0.170682,0.005276,0.097831,0.003164,0.15515,0.002937,0.115987,0.0,0.028744,0.0,0.117983,0.002516,0.131992,0.002797,0.383333,0.129298,10
peg_assembly,irreversible_damage_risk,unseen_object,deterministic_symbolic_tamp,0.416667,0.100391,0.063868,0.100176,0.235509,0.003387,0.173403,0.002398,0.173206,0.002919,0.170376,0.004255,0.103337,0.002335,0.181472,0.003346,0.1205,0.0,0.032716,0.0,0.131026,0.002618,0.143032,0.003225,0.316667,0.113683,10
peg_assembly,irreversible_damage_risk,unseen_contact,deterministic_symbolic_tamp,0.366667,0.117277,-0.00152,0.117157,0.244516,0.003065,0.185877,0.001624,0.185499,0.002346,0.174368,0.00375,0.110286,0.002989,0.184719,0.004002,0.123995,0.0,0.036635,0.0,0.131496,0.001698,0.153272,0.00237,0.416667,0.202252,10
peg_assembly,irreversible_damage_risk,unseen_compliance,deterministic_symbolic_tamp,0.4,0.130667,0.048706,0.117789,0.233686,0.00331,0.182589,0.001542,0.183996,0.00333,0.172936,0.007097,0.111505,0.002144,0.181182,0.003758,0.124702,0.0,0.035434,0.0,0.135066,0.002277,0.156621,0.001529,0.216667,0.138165,10
peg_assembly,irreversible_damage_risk,probe_latency,deterministic_symbolic_tamp,0.35,0.132916,-0.016165,0.133645,0.234329,0.00323,0.185004,0.002612,0.187693,0.002017,0.170166,0.003115,0.113241,0.001827,0.180597,0.002095,0.125765,0.0,0.036761,0.0,0.136115,0.00316,0.158634,0.001318,0.4,0.155524,10
peg_assembly,irreversible_damage_risk,sensor_dropout,deterministic_symbolic_tamp,0.266667,0.111045,-0.133574,0.098159,0.274024,0.003636,0.22857,0.002138,0.234929,0.001201,0.168202,0.007372,0.115369,0.002618,0.207069,0.005107,0.129407,0.0,0.049726,0.0,0.137444,0.002272,0.191403,0.002398,0.416667,0.170438,10
peg_assembly,irreversible_damage_risk,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.316667,0.132916,-0.086703,0.119565,0.273001,0.002468,0.209612,0.002796,0.217917,0.002452,0.163448,0.005347,0.122163,0.003072,0.206741,0.001708,0.13191,0.0,0.043642,0.0,0.154675,0.002576,0.184825,0.001765,0.45,0.188915,10
peg_assembly,branch_resource_depletion,nominal,deterministic_symbolic_tamp,0.5,0.161508,0.228738,0.161462,0.186862,0.002556,0.139858,0.002139,0.135273,0.002471,0.17333,0.006333,0.075013,0.00211,0.140925,0.003644,0.106858,0.0,0.021546,0.0,0.102863,0.001947,0.11835,0.001615,0.35,0.185111,10
peg_assembly,branch_resource_depletion,seen_shift,deterministic_symbolic_tamp,0.45,0.19509,0.136745,0.188932,0.215323,0.00334,0.160409,0.002538,0.163066,0.002155,0.168886,0.00685,0.087275,0.002762,0.16514,0.001993,0.115575,0.0,0.028744,0.0,0.116891,0.00172,0.139552,0.002419,0.366667,0.1809,10
peg_assembly,branch_resource_depletion,unseen_object,deterministic_symbolic_tamp,0.433333,0.087111,0.072977,0.087812,0.243688,0.002912,0.174135,0.001855,0.17906,0.001939,0.169848,0.005037,0.093103,0.003605,0.191693,0.002096,0.120044,0.0,0.032716,0.0,0.133816,0.002214,0.157043,0.003322,0.3,0.152444,10
peg_assembly,branch_resource_depletion,unseen_contact,deterministic_symbolic_tamp,0.3,0.136002,-0.047216,0.115525,0.249492,0.002005,0.186381,0.002901,0.194958,0.002741,0.164581,0.009618,0.100023,0.00296,0.188292,0.003952,0.123501,0.0,0.036635,0.0,0.131517,0.001718,0.166629,0.002537,0.416667,0.183826,10
peg_assembly,branch_resource_depletion,unseen_compliance,deterministic_symbolic_tamp,0.383333,0.119778,0.029791,0.105899,0.241002,0.002007,0.181876,0.001186,0.189596,0.002402,0.174072,0.005003,0.102649,0.002185,0.186108,0.00279,0.12421,0.0,0.035434,0.0,0.133351,0.001761,0.162425,0.002949,0.283333,0.175915,10
peg_assembly,branch_resource_depletion,probe_latency,deterministic_symbolic_tamp,0.333333,0.153992,-0.014133,0.132265,0.24381,0.003079,0.180945,0.002849,0.194097,0.001956,0.165771,0.004,0.102934,0.002329,0.190842,0.00274,0.125266,0.0,0.036761,0.0,0.135415,0.002184,0.170576,0.001734,0.45,0.21805,10
peg_assembly,branch_resource_depletion,sensor_dropout,deterministic_symbolic_tamp,0.3,0.094927,-0.105314,0.073955,0.282561,0.002518,0.22433,0.002532,0.24067,0.002516,0.168329,0.005507,0.103133,0.001884,0.213749,0.003489,0.128824,0.0,0.049726,0.0,0.135748,0.002213,0.203688,0.00226,0.366667,0.160033,10
peg_assembly,branch_resource_depletion,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.3,0.126985,-0.089957,0.095041,0.284001,0.003137,0.204456,0.00162,0.228443,0.001782,0.166533,0.0079,0.110308,0.003012,0.214303,0.002414,0.131342,0.0,0.043642,0.0,0.154032,0.002984,0.198074,0.002122,0.433333,0.139446,10
peg_assembly,combined_contact_uncertainty,nominal,deterministic_symbolic_tamp,0.55,0.182531,0.242363,0.175146,0.229126,0.003336,0.161536,0.002606,0.141458,0.002336,0.170135,0.00636,0.089018,0.003207,0.160755,0.002205,0.108048,0.0,0.021546,0.0,0.105659,0.001602,0.120326,0.002797,0.216667,0.188915,10
peg_assembly,combined_contact_uncertainty,seen_shift,deterministic_symbolic_tamp,0.4,0.147704,0.038159,0.13477,0.271626,0.002467,0.188473,0.001628,0.168895,0.002704,0.171321,0.006456,0.105028,0.002657,0.185891,0.00331,0.11705,0.0,0.028744,0.0,0.128275,0.00369,0.143268,0.002883,0.316667,0.132916,10
peg_assembly,combined_contact_uncertainty,unseen_object,deterministic_symbolic_tamp,0.483333,0.132916,0.060753,0.132126,0.308671,0.002505,0.204249,0.001875,0.18852,0.003367,0.167259,0.00645,0.113516,0.002744,0.215718,0.003007,0.121674,0.0,0.032716,0.0,0.145958,0.003413,0.158371,0.002442,0.233333,0.111045,10
peg_assembly,combined_contact_uncertainty,unseen_contact,deterministic_symbolic_tamp,0.316667,0.102726,-0.096792,0.080096,0.320142,0.002238,0.218242,0.00215,0.203522,0.002292,0.172197,0.005122,0.117431,0.003036,0.210575,0.002765,0.125281,0.0,0.036635,0.0,0.140542,0.001435,0.171523,0.001657,0.416667,0.148105,10
peg_assembly,combined_contact_uncertainty,unseen_compliance,deterministic_symbolic_tamp,0.283333,0.085045,-0.124823,0.062427,0.305079,0.00267,0.212173,0.001408,0.199459,0.002185,0.167192,0.006425,0.118941,0.002482,0.212657,0.00356,0.125948,0.0,0.035434,0.0,0.144722,0.00223,0.167125,0.002075,0.366667,0.144457,10
peg_assembly,combined_contact_uncertainty,probe_latency,deterministic_symbolic_tamp,0.2,0.081485,-0.188917,0.048926,0.304852,0.003664,0.216809,0.002392,0.204699,0.002013,0.164483,0.003756,0.118365,0.0035,0.214993,0.00412,0.127029,0.0,0.036761,0.0,0.147455,0.002318,0.172955,0.002324,0.5,0.128839,10
peg_assembly,combined_contact_uncertainty,sensor_dropout,deterministic_symbolic_tamp,0.2,0.144457,-0.174278,0.090249,0.357068,0.002671,0.268847,0.002337,0.252745,0.002937,0.1622,0.007518,0.124738,0.002239,0.239573,0.003039,0.131078,0.0,0.049726,0.0,0.150054,0.002573,0.209127,0.002211,0.55,0.188915,10
peg_assembly,combined_contact_uncertainty,heldout_combined_contact_uncertainty,deterministic_symbolic_tamp,0.266667,0.111045,-0.169847,0.057863,0.36036,0.003197,0.242652,0.002309,0.238479,0.001952,0.161784,0.004752,0.13236,0.003053,0.247289,0.00324,0.13338,0.0,0.043642,0.0,0.166542,0.002332,0.202627,0.00221,0.45,0.175915,10
