stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6869,0.0112
0.0,conformal_risk_filter,0.7064,0.0138
0.0,proposed_branch_mechanism,0.7648,0.0144
0.0,oracle_branch_upper_bound,0.8210,0.0130
0.2,scalar_uncertainty_planner,0.6267,0.0074
0.2,conformal_risk_filter,0.6602,0.0172
0.2,proposed_branch_mechanism,0.7331,0.0152
0.2,oracle_branch_upper_bound,0.8002,0.0126
0.4,scalar_uncertainty_planner,0.5695,0.0070
0.4,conformal_risk_filter,0.6210,0.0167
0.4,proposed_branch_mechanism,0.6976,0.0152
0.4,oracle_branch_upper_bound,0.7810,0.0090
0.6,scalar_uncertainty_planner,0.5167,0.0072
0.6,conformal_risk_filter,0.5755,0.0164
0.6,proposed_branch_mechanism,0.6679,0.0168
0.6,oracle_branch_upper_bound,0.7600,0.0105
0.8,scalar_uncertainty_planner,0.4655,0.0125
0.8,conformal_risk_filter,0.5262,0.0170
0.8,proposed_branch_mechanism,0.6395,0.0152
0.8,oracle_branch_upper_bound,0.7374,0.0124
1.0,scalar_uncertainty_planner,0.4117,0.0128
1.0,conformal_risk_filter,0.4795,0.0137
1.0,proposed_branch_mechanism,0.6093,0.0147
1.0,oracle_branch_upper_bound,0.7124,0.0146
